Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,claim,text,organization,lang_name,rating_label,rating_value,entity_strings,entities,nr_entities,num_words,probable_lang,Topic,Topic Name,Topic Representation
73,499,16548,5200,http://data.gesis.org/claimskg/creative_work/f1875c5f-31e5-504c-a116-318ed4fcff67,Biden exporting US strategic oil as gas prices remain at record highs,factcheck_afp,English,FALSE,1,,,0.0,12,en,1,1_gas_prices_pipeline_oil,"gas, prices, pipeline, oil, keystone, energy, ban, climate, fracking, the"
1882,3953,15094,3746,http://data.gesis.org/claimskg/creative_work/108e879c-2236-577d-8c0a-75af28de559b,Biden oil shutdown led to high energy prices,factcheck_afp,English,FALSE,1,,,0.0,8,en,1,1_gas_prices_pipeline_oil,"gas, prices, pipeline, oil, keystone, energy, ban, climate, fracking, the"
2011,4085,40768,1941,http://data.gesis.org/claimskg/creative_work/9ad12821-8a92-5ed0-a852-f9b883c9c016,Biden admits $5 gas is being done on purpose and this has been his plan all along.,politifact,English,False,1,,,0.0,17,en,1,1_gas_prices_pipeline_oil,"gas, prices, pipeline, oil, keystone, energy, ban, climate, fracking, the"
2271,4354,14059,2711,http://data.gesis.org/claimskg/creative_work/8139718c-5f87-59d8-92dc-c9172360c19b,Biden climate plan will cut American meat consumption,factcheck_afp,English,FALSE,1,,,0.0,8,en,1,1_gas_prices_pipeline_oil,"gas, prices, pipeline, oil, keystone, energy, ban, climate, fracking, the"
12419,16782,45244,6417,http://data.gesis.org/claimskg/creative_work/e756aa97-a996-5ad1-b451-f93b16ee3c35,"Diesel prices jumped from $1.69 to $3.19 since Biden took office, and the president is to blame.",politifact,English,False,1,Biden took office,['Biden took office'],1.0,17,en,1,1_gas_prices_pipeline_oil,"gas, prices, pipeline, oil, keystone, energy, ban, climate, fracking, the"
12666,17031,53953,6083,http://data.gesis.org/claimskg/creative_work/57e23fdc-9ab9-51fb-9cc3-dee7dd8446f4,The Biden family is so heavily invested in oil and energy in other countries.,politifact,English,MIXTURE,2,Biden family,['Biden family'],1.0,14,en,1,1_gas_prices_pipeline_oil,"gas, prices, pipeline, oil, keystone, energy, ban, climate, fracking, the"
13158,17529,43799,4972,http://data.gesis.org/claimskg/creative_work/f1f613d4-e580-5246-b70c-86383f5ea76a,Says Joe Biden executive orders caused price increases of 50 cents in gas and 10% in food.,politifact,English,False,1,Joe Biden,['Joe Biden'],1.0,17,en,1,1_gas_prices_pipeline_oil,"gas, prices, pipeline, oil, keystone, energy, ban, climate, fracking, the"
13537,17914,49392,1522,http://data.gesis.org/claimskg/creative_work/88cab2b2-4393-57cd-953f-be4b6bd1a27c,"Says that Biden’s ban on new federal leases will kill 120,000 Texas jobs.",politifact,English,MIXTURE,2,Texas,['Texas'],1.0,13,en,1,1_gas_prices_pipeline_oil,"gas, prices, pipeline, oil, keystone, energy, ban, climate, fracking, the"
15069,19457,47677,8850,http://data.gesis.org/claimskg/creative_work/14839be4-ba74-5a3a-a44d-61d82e77968b,Says Joe Biden is going to control how much meat you can eat.,politifact,English,False,1,Joe Biden,['Joe Biden'],1.0,13,en,1,1_gas_prices_pipeline_oil,"gas, prices, pipeline, oil, keystone, energy, ban, climate, fracking, the"
15116,19504,48160,290,http://data.gesis.org/claimskg/creative_work/450d5e26-48ac-5a70-a215-a5fc2bd613e6,We finally achieved that energy independence... under the Trump administration. President Biden squandered (it) away.,politifact,English,MIXTURE,2,Trump administration,['Trump administration'],1.0,15,en,1,1_gas_prices_pipeline_oil,"gas, prices, pipeline, oil, keystone, energy, ban, climate, fracking, the"
