Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,claim,text,organization,lang_name,rating_label,rating_value,entity_strings,entities,nr_entities,num_words,probable_lang,Topic,Topic Name,Topic Representation
1722,3754,15455,4107,http://data.gesis.org/claimskg/creative_work/7be92eaa-eae8-50cc-b295-13a69e4b2031,Photo shows Biden in 2020 on a plane without a mask,factcheck_afp,English,FALSE,1,,,0.0,11,en,14,14_mask_masks_wear_wearing,"mask, masks, wear, wearing, shows, gretchen, whitmer, pandemic, face, purportedly"
2338,4423,13518,2170,http://data.gesis.org/claimskg/creative_work/e31c6b41-0da9-5c4f-acb3-fa510cc8f39a,Biden wore a mask during a video call alone in a room,factcheck_afp,English,FALSE,1,,,0.0,12,en,14,14_mask_masks_wear_wearing,"mask, masks, wear, wearing, shows, gretchen, whitmer, pandemic, face, purportedly"
14472,18855,47578,8751,http://data.gesis.org/claimskg/creative_work/d76a54b4-6b91-5ea6-bfb1-5c1c702d84e4,Photo shows Joe Biden doesn’t wear a mask on a plane.,politifact,English,False,1,Joe Biden,['Joe Biden'],1.0,11,en,14,14_mask_masks_wear_wearing,"mask, masks, wear, wearing, shows, gretchen, whitmer, pandemic, face, purportedly"
17097,21602,39296,469,http://data.gesis.org/claimskg/creative_work/ef4a68e9-bb1b-546f-bd73-e9fcbbd6378d,An impersonator in a Joe Biden mask gave an interview as Joe Biden.,politifact,English,False,1,Joe Biden,['Joe Biden'],1.0,13,en,14,14_mask_masks_wear_wearing,"mask, masks, wear, wearing, shows, gretchen, whitmer, pandemic, face, purportedly"
20673,25614,16696,5348,http://data.gesis.org/claimskg/creative_work/080c4ed7-16d1-594c-a546-dffa2ecde3ab,Video shows Biden partying for his birthday during pandemic,factcheck_afp,English,FALSE,1,Biden,['Biden'],1.0,9,en,14,14_mask_masks_wear_wearing,"mask, masks, wear, wearing, shows, gretchen, whitmer, pandemic, face, purportedly"
23478,28713,12756,1408,http://data.gesis.org/claimskg/creative_work/b62563eb-3685-5993-86ce-ccbb139d7d24,Why didn't the Bidens wear a mask in meeting with Carters ?,factcheck_afp,English,FALSE,1,Bidens,['Bidens'],1.0,12,en,14,14_mask_masks_wear_wearing,"mask, masks, wear, wearing, shows, gretchen, whitmer, pandemic, face, purportedly"
28693,33978,8299,2061,http://data.gesis.org/claimskg/creative_work/cbead984-477e-5231-ab89-88e0a0ceea7c,A video shared on Facebook purportedly shows President-elect Joe Biden and others not wearing masks or practicing social distancing while celebrating his 78th birthday last week.,checkyourfact,English,FALSE,1,"Facebook, practicing social distancing","['Facebook', ' practicing social distancing']",2.0,26,en,14,14_mask_masks_wear_wearing,"mask, masks, wear, wearing, shows, gretchen, whitmer, pandemic, face, purportedly"
29376,34666,69769,7740,http://data.gesis.org/claimskg/creative_work/958eeb3f-a3f3-5689-98b9-edc669609853,U.S. President Joe Biden was the only world leader to wear a mask during an online climate summit in April 2021.,snopes,English,False,1,"U.S. President Joe Biden, climate summit","['U.S. President Joe Biden', ' climate summit']",2.0,21,en,14,14_mask_masks_wear_wearing,"mask, masks, wear, wearing, shows, gretchen, whitmer, pandemic, face, purportedly"
34405,39739,64778,2749,http://data.gesis.org/claimskg/creative_work/7f7a5bbb-c1ce-5d7d-8a58-4b307b7d16af,A video showed President-elect Joe Biden celebrating his birthday with a maskless group of people in 2020.,snopes,English,False,1,"Joe Biden, President-elect","['Joe Biden', ' President-elect']",2.0,17,en,14,14_mask_masks_wear_wearing,"mask, masks, wear, wearing, shows, gretchen, whitmer, pandemic, face, purportedly"
41784,47674,42074,3247,http://data.gesis.org/claimskg/creative_work/e4ec7edc-e754-5afe-b649-fde60a927463,"Photo shows Ron DeSantis holding a shirt that says, Your mask is as useless as Joe Biden.",politifact,English,False,1,"Joe Biden, Ron DeSantis","['Joe Biden', ' Ron DeSantis']",2.0,17,en,14,14_mask_masks_wear_wearing,"mask, masks, wear, wearing, shows, gretchen, whitmer, pandemic, face, purportedly"
