Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,claim,text,organization,lang_name,rating_label,rating_value,entity_strings,entities,nr_entities,num_words,probable_lang,Topic,Topic Name,Topic Representation
1224,3243,47406,8579,http://data.gesis.org/claimskg/creative_work/7381eca8-8cb3-5702-8fc5-6a3f2f4aebae,"Biden’s tax rate on a family making 75,000 dollars would go from 12% to 25%.",politifact,English,False,1,,,0.0,15,en,8,8_tax_taxes_your_raise,"tax, taxes, your, raise, percent, increase, home, wants, gains, capital"
2215,4297,39521,694,http://data.gesis.org/claimskg/creative_work/4695eeb5-9712-57ef-b703-58967bd75693,The Biden-backed infrastructure bill contains a provision establishing a per-mile driving tax.,politifact,English,False,1,,,0.0,12,en,8,8_tax_taxes_your_raise,"tax, taxes, your, raise, percent, increase, home, wants, gains, capital"
7475,11752,30132,985,http://data.gesis.org/claimskg/creative_work/ec589215-1e91-5d82-9d50-602a08aac1b1,"Joe Biden wants to get rid of something called stepped up basis, which increases the tax burden on individuals who inherited a family home.",truthorfiction,English,OTHER,-1,Joe Biden,['Joe Biden'],1.0,24,en,8,8_tax_taxes_your_raise,"tax, taxes, your, raise, percent, increase, home, wants, gains, capital"
8005,12306,63703,1674,http://data.gesis.org/claimskg/creative_work/1244320b-ae6e-56f4-9180-5090fa455385,Joe Biden's campaign has announced a planned policy of taxing 401(k) retirement accounts.,snopes,English,False,1,Joe Biden's,"[""Joe Biden's""]",1.0,13,en,8,8_tax_taxes_your_raise,"tax, taxes, your, raise, percent, increase, home, wants, gains, capital"
9319,13656,72869,1583,http://data.gesis.org/claimskg/creative_work/fb57e79d-df0c-55e1-8ad7-efda2454c9f9,President Joe Biden's Build Back Better bill/plan will establish a driving mileage tax.,snopes,English,MIXTURE,2,Joe Biden,['Joe Biden'],1.0,13,en,8,8_tax_taxes_your_raise,"tax, taxes, your, raise, percent, increase, home, wants, gains, capital"
12699,17064,42322,3495,http://data.gesis.org/claimskg/creative_work/111bebb1-f88a-5bfa-88cf-97ce5be97228,Biden's plan is a 14% tax hike on middle class families.,politifact,English,False,1,middle class,['middle class'],1.0,11,en,8,8_tax_taxes_your_raise,"tax, taxes, your, raise, percent, increase, home, wants, gains, capital"
13764,18144,48926,1056,http://data.gesis.org/claimskg/creative_work/a901b472-6ffb-5f6f-8290-6505f306d424,"Says Joe Biden passed a tax bill that gave us all these privileges for depreciation and for tax credits. We built a building, and we get tax credits like the hotel on Pennsylvania Ave.",politifact,English,MIXTURE,2,Joe Biden,['Joe Biden'],1.0,34,en,8,8_tax_taxes_your_raise,"tax, taxes, your, raise, percent, increase, home, wants, gains, capital"
14134,18515,50121,2251,http://data.gesis.org/claimskg/creative_work/d65d27e7-8ad9-5924-813d-a6c9f0a521ae,Joe Biden is proposing that any family who tries to pass a business or a farm down to their son or daughter or grandson or granddaughter are going to pay a huge new tax.,politifact,English,MIXTURE,2,Joe Biden,['Joe Biden'],1.0,34,en,8,8_tax_taxes_your_raise,"tax, taxes, your, raise, percent, increase, home, wants, gains, capital"
14617,19001,46323,7496,http://data.gesis.org/claimskg/creative_work/233b1f01-d83c-52c2-8947-f7479ebfcad9,Biden signs 45% capital gains tax. Kiss your inheritance goodbye.,politifact,English,False,1,capital gains tax,['capital gains tax'],1.0,10,en,8,8_tax_taxes_your_raise,"tax, taxes, your, raise, percent, increase, home, wants, gains, capital"
14640,19024,52650,4780,http://data.gesis.org/claimskg/creative_work/1e01d796-6c22-5b46-9f88-dcfbaec4b285,"Says Joe Biden told Americans, ‘If you elect me, your taxes are going to be raised, not cut.",politifact,English,MIXTURE,2,Joe Biden,['Joe Biden'],1.0,18,en,8,8_tax_taxes_your_raise,"tax, taxes, your, raise, percent, increase, home, wants, gains, capital"
