Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,claim,text,organization,lang_name,rating_label,rating_value,entity_strings,entities,nr_entities,num_words,probable_lang,Topic,Topic Name,Topic Representation
61064,67752,10643,4405,http://data.gesis.org/claimskg/creative_work/64ef2942-a185-53d4-b876-47234e556170,An image shared on Facebook claims Democratic presidential nominee Joe Biden proposed a nationwide 2 percent property tax increase.,checkyourfact,English,FALSE,1,"Democratic, Facebook, Joe Biden, property tax","['Democratic', ' Facebook', ' Joe Biden', ' property tax']",4.0,19,en,8,8_tax_taxes_your_raise,"tax, taxes, your, raise, percent, increase, home, wants, gains, capital"
64289,71188,70069,8040,http://data.gesis.org/claimskg/creative_work/64c4e3e0-927f-5b60-aa6d-02137dd9e3df,"During his 2020 presidential campaign, Democratic nominee Joe Biden proposed the largest tax increase in modern U.S. history.",snopes,English,False,1,"Democratic, Joe Biden, U.S. history, presidential campaign, tax increase","['Democratic', ' Joe Biden', ' U.S. history', ' presidential campaign', ' tax increase']",5.0,18,en,8,8_tax_taxes_your_raise,"tax, taxes, your, raise, percent, increase, home, wants, gains, capital"
56626,63113,10660,4422,http://data.gesis.org/claimskg/creative_work/d54fbfba-f855-5c45-818b-1ea70a39c8e8,"A viral Facebook post shared over 4,300 times claims Democratic presidential nominee Joe Biden wants to put a 3% annual federal tax on your home.",checkyourfact,English,FALSE,1,"3%, Democratic, Facebook, Joe Biden","['3%', ' Democratic', ' Facebook', ' Joe Biden']",4.0,25,en,8,8_tax_taxes_your_raise,"tax, taxes, your, raise, percent, increase, home, wants, gains, capital"
60009,66638,63281,1252,http://data.gesis.org/claimskg/creative_work/b18ed0a5-8bcb-57e0-94fa-5e469307594d,Joe Biden's tax plan includes a 3% federal property tax on privately-owned homes.,snopes,English,False,1,"3%, Joe Biden's, property tax, tax plan","['3%', "" Joe Biden's"", ' property tax', ' tax plan']",4.0,13,en,8,8_tax_taxes_your_raise,"tax, taxes, your, raise, percent, increase, home, wants, gains, capital"
53000,59388,10215,3977,http://data.gesis.org/claimskg/creative_work/5557050e-ae96-5c8c-b9ca-251739ea25d4,A post shared on Facebook claims Democratic presidential nominee Joe Biden plans to raise federal income taxes to 52 percent.,checkyourfact,English,FALSE,1,"Democratic, Facebook, Joe Biden","['Democratic', ' Facebook', ' Joe Biden']",3.0,20,en,8,8_tax_taxes_your_raise,"tax, taxes, your, raise, percent, increase, home, wants, gains, capital"
33708,39035,6551,313,http://data.gesis.org/claimskg/creative_work/32c8f018-4e24-5300-a1ee-19d022150440,"A post shared on Facebook over 126,000 times claims Democratic presidential nominee Joe Biden’s tax plan would raise income taxes from 12 percent to 25 percent for families making $75,000.",checkyourfact,English,FALSE,1,"Facebook, income taxes","['Facebook', ' income taxes']",2.0,30,en,8,8_tax_taxes_your_raise,"tax, taxes, your, raise, percent, increase, home, wants, gains, capital"
45264,51393,42517,3690,http://data.gesis.org/claimskg/creative_work/dba61b72-9c77-5982-bb37-5e0b1b32df8d,Says Joe Biden is proposing a tax increase that’s the largest in American history.,politifact,English,False,1,"American history, Joe Biden, tax increase","['American history', ' Joe Biden', ' tax increase']",3.0,14,en,8,8_tax_taxes_your_raise,"tax, taxes, your, raise, percent, increase, home, wants, gains, capital"
37599,43020,39144,317,http://data.gesis.org/claimskg/creative_work/7e6ef841-efb6-5408-af1e-9343f9d111fa,Says Joe Biden wants to put a 3% annual federal tax on your home.,politifact,English,False,1,"3%, Joe Biden","['3%', ' Joe Biden']",2.0,14,en,8,8_tax_taxes_your_raise,"tax, taxes, your, raise, percent, increase, home, wants, gains, capital"
41725,47614,42412,3585,http://data.gesis.org/claimskg/creative_work/f606c133-28e3-5805-8b06-72a1859ebe32,Joe Biden wants to raise taxes on 82% of all Americans.,politifact,English,False,1,"Joe Biden, raise taxes","['Joe Biden', ' raise taxes']",2.0,11,en,8,8_tax_taxes_your_raise,"tax, taxes, your, raise, percent, increase, home, wants, gains, capital"
37219,42626,16573,5225,http://data.gesis.org/claimskg/creative_work/b4c1ebd3-8d01-5b62-8505-b3727a69c48e,Joe Biden will raise taxes on 82 percent of Americans,factcheck_afp,English,FALSE,1,"Joe Biden, raise taxes","['Joe Biden', ' raise taxes']",2.0,10,en,8,8_tax_taxes_your_raise,"tax, taxes, your, raise, percent, increase, home, wants, gains, capital"
21370,26360,17251,5903,http://data.gesis.org/claimskg/creative_work/87fd2efb-dadb-546c-93b5-f3bd7c35bc4c,Joe Biden’s tax proposal will take a 40 percent cut of profits from Americans who sell their home,factcheck_afp,English,MIXTURE,2,Joe Biden,['Joe Biden'],1.0,18,en,8,8_tax_taxes_your_raise,"tax, taxes, your, raise, percent, increase, home, wants, gains, capital"
