Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,claim,text,organization,lang_name,rating_label,rating_value,entity_strings,entities,nr_entities,num_words,probable_lang,Topic,Topic Name
25116,30374,10656,4418,http://data.gesis.org/claimskg/creative_work/38f6a384-fb5d-52de-9ad5-178795086400,"An image shared on Facebook over 3,200 times purportedly shows former Vice President Joe Biden kneeling in protest after seeing an American flag during a visit to his hometown.",checkyourfact,English,OTHER,-1,"American flag, Facebook","['American flag', ' Facebook']",2.0,29,en,10,10_kneeling_biden_knelt_knee
62288,69010,8577,2339,http://data.gesis.org/claimskg/creative_work/ce83e7a2-7c87-5ce3-b109-e19e93c997d4,"An image shared on Facebook over 3,200 times purportedly shows Democratic presidential nominee Joe Biden kneeling during the national anthem at a Miami event.",checkyourfact,English,FALSE,1,"Democratic, Facebook, Joe Biden, Miami event, kneeling during the national anthem","['Democratic', ' Facebook', ' Joe Biden', ' Miami event', ' kneeling during the national anthem']",5.0,24,en,10,10_kneeling_biden_knelt_knee
43037,48997,66928,4899,http://data.gesis.org/claimskg/creative_work/2fd55dba-654e-5b8d-8199-accc923341f5,"An image shared widely in October 2020 showed Joe Biden taking a knee in protest, during the playing of the national anthem.",snopes,English,False,1,"Joe Biden, national anthem, taking a knee in protest","['Joe Biden', ' national anthem', ' taking a knee in protest']",3.0,22,en,10,10_kneeling_biden_knelt_knee
45318,51456,46522,7695,http://data.gesis.org/claimskg/creative_work/183f4f08-235f-54bd-af79-99fce46a2c01,Joe Biden takes a knee after spotting an American flag near his childhood home in Pennsylvania.,politifact,English,False,1,"American flag, Joe Biden, Pennsylvania","['American flag', ' Joe Biden', ' Pennsylvania']",3.0,16,en,10,10_kneeling_biden_knelt_knee
52119,58505,8668,2430,http://data.gesis.org/claimskg/creative_work/ee213fb1-fea3-581c-afe9-aec1dd2ed317,An image shared on Facebook allegedly shows President Joe Biden kneeling down to plead with the son of George Floyd.,checkyourfact,English,FALSE,1,"Facebook, George Floyd, President Joe Biden","['Facebook', ' George Floyd', ' President Joe Biden']",3.0,20,en,10,10_kneeling_biden_knelt_knee
60863,67537,29929,782,http://data.gesis.org/claimskg/creative_work/47d34fec-487a-5b64-a41c-018616a6954b,"Former Vice President Joe Biden took a knee after seeing a U.S. flag while visiting Scranton, Pennsylvania in July 2020.",truthorfiction,English,FALSE,1,"Pennsylvania, Scranton, U.S. flag, Vice President Joe Biden","['Pennsylvania', ' Scranton', ' U.S. flag', ' Vice President Joe Biden']",4.0,20,en,10,10_kneeling_biden_knelt_knee
61167,67862,66801,4772,http://data.gesis.org/claimskg/creative_work/5e068d2d-cceb-5198-ba50-b71516492a6e,A photograph shows U.S. President Joe Biden kneeling in front of George Floyd’s son to apologize for the death of his father while in police custody.,snopes,English,False,1,"George Floyd, U.S. President Joe Biden, death of his father, police custody","['George Floyd', ' U.S. President Joe Biden', ' death of his father', ' police custody']",4.0,26,en,10,10_kneeling_biden_knelt_knee
60818,67491,10230,3992,http://data.gesis.org/claimskg/creative_work/81c9338c-6a75-552c-a744-90cd123e4842,An image shared on Facebook purportedly shows President-elect Joe Biden kneeling and apologizing to George Floyd’s daughter.,checkyourfact,English,FALSE,1,"Facebook, George Floyd, Joe Biden, President-elect","['Facebook', ' George Floyd', ' Joe Biden', ' President-elect']",4.0,17,en,10,10_kneeling_biden_knelt_knee
38000,43425,39852,1025,http://data.gesis.org/claimskg/creative_work/c3ef59d5-4c46-58fd-bea3-28535d9d6203,Says Joe Biden took a knee during the national anthem.,politifact,English,False,1,"Joe Biden, national anthem","['Joe Biden', ' national anthem']",2.0,10,en,10,10_kneeling_biden_knelt_knee
61465,68172,9764,3526,http://data.gesis.org/claimskg/creative_work/b14f2835-3c77-5563-83b9-986e47a1e7e1,An image shared on Facebook claims President Joe Biden kneeled before former Israeli President Reuven Rivlin and pledged his unconditional support to Israeli.,checkyourfact,English,FALSE,1,"Facebook, Israeli, Israeli President, President Joe Biden","['Facebook', ' Israeli', ' Israeli President', ' President Joe Biden']",4.0,23,en,10,10_kneeling_biden_knelt_knee
65952,72967,34950,2700,http://data.gesis.org/claimskg/creative_work/523cc657-0dc0-55d2-9df8-e73b66d158d8,The new US President Joe Biden kneeling and apologising in front of the daughter of a black man who was strangled to death by white American police during the Trump administration,Vishvanews,English,FALSE,1,"President Joe Biden, Trump administration, US, apologising, black man, kneeling, strangled to death, white American","['President Joe Biden', ' Trump administration', ' US', ' apologising', ' black man', ' kneeling', ' strangled to death', ' white American']",8.0,31,en,10,10_kneeling_biden_knelt_knee
66062,73089,34420,2170,http://data.gesis.org/claimskg/creative_work/196412ab-e272-51f9-ac51-60708e18517c,US President Trump's new president Joe Biden has apologized for kneeling in front of the daughter of a black man who was strangled to death by white American police during the Trump administration.,Vishvanews,English,FALSE,1,"American police, President Trump's, Trump administration, US, apologized, black man, kneeling, president Joe Biden, strangled to death","['American police', "" President Trump's"", ' Trump administration', ' US', ' apologized', ' black man', ' kneeling', ' president Joe Biden', ' strangled to death']",9.0,33,en,10,10_kneeling_biden_knelt_knee
