Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,claim,text,organization,lang_name,rating_label,rating_value,entity_strings,entities,nr_entities,num_words,probable_lang,Topic,Topic Name
8123,12432,63461,1432,http://data.gesis.org/claimskg/creative_work/ef1f1d26-582a-50fc-9a0c-4b702c8bd4e7,"President-elect Joe Biden's campaign directed elections officials to consider ballots valid even if they are fake, manipulated, or cast by ineligible or deceased voters.",snopes,English,False,1,Joe Biden's campaign,"[""Joe Biden's campaign""]",1.0,24,en,1,1_biden_votes_ballots_voters
16517,20998,58159,289,http://data.gesis.org/claimskg/creative_work/b52c33e9-f2ff-5d40-9d0a-4ef828b98332,On the legitimacy of President Joe Biden's election.,politifact,English,OTHER,-1,President Joe Biden,['President Joe Biden'],1.0,8,en,1,1_biden_votes_ballots_voters
35269,40611,63356,1327,http://data.gesis.org/claimskg/creative_work/55e912be-0fd8-5e31-8e67-f9ffe8a9a76f,"In October 2020, Joe Biden admitted to perpetrating voter fraud.",snopes,English,False,1,"Joe Biden, voter fraud","['Joe Biden', ' voter fraud']",2.0,10,en,1,1_biden_votes_ballots_voters
29229,34519,69404,7375,http://data.gesis.org/claimskg/creative_work/fc36d7db-2cfa-5d34-9f14-7d3195b4291a,Joe Biden won key states in the 2020 U.S. presidential election due to fraudulent late-night vote dumps.,snopes,English,False,1,"2020 U.S. presidential election, Joe Biden","['2020 U.S. presidential election', ' Joe Biden']",2.0,17,en,1,1_biden_votes_ballots_voters
59408,65977,63984,1955,http://data.gesis.org/claimskg/creative_work/42429169-3fd8-588a-83da-5f18ed425655,Joe Biden received a fraudulent 'dump' of 143K ballots in Wisconsin in the early morning hours after Election Day 2020.,snopes,English,False,1,"Election Day 2020, Joe Biden, Wisconsin, early morning hours","['Election Day 2020', ' Joe Biden', ' Wisconsin', ' early morning hours']",4.0,20,en,1,1_biden_votes_ballots_voters
50586,56961,7479,1241,http://data.gesis.org/claimskg/creative_work/7d69c126-54d9-53f9-ad1e-4d362fcbf1d6,"A post on Twitter claims 6,000 fraudulent votes cast for President-elect Joe Biden were found in Arizona, reducing his roughly 10,000-vote lead to 4,000 votes.",checkyourfact,English,FALSE,1,"Joe Biden, President-elect, Twitter","['Joe Biden', ' President-elect', ' Twitter']",3.0,25,en,1,1_biden_votes_ballots_voters
40488,46244,29326,179,http://data.gesis.org/claimskg/creative_work/45f00c3f-759a-5384-a791-56e4c916315a,A mathematical principle known as Benford's Law proves that votes for Joe Biden were impossibly distributed and are therefore fraudulent.,truthorfiction,English,FALSE,1,"Benford's Law, Joe Biden","[""Benford's Law"", ' Joe Biden']",2.0,20,en,1,1_biden_votes_ballots_voters
25219,30477,47546,8719,http://data.gesis.org/claimskg/creative_work/77049ba2-514d-561c-8cee-567df8115fa9,Joe Biden announced to the world tonight that they are going to cheat by dumping ballots.,politifact,English,False,1,"Joe Biden, announced to the world","['Joe Biden', ' announced to the world']",2.0,16,en,1,1_biden_votes_ballots_voters
20972,25947,8249,2011,http://data.gesis.org/claimskg/creative_work/6e256eb8-27eb-5428-b136-a438eb5182f8,"A post shared on Instagram purports President Joe Biden announced a plan to cheat in the midterm elections, stating he asked Americans to be patient for all ballots to be counted.",checkyourfact,English,FALSE,1,Instagram,['Instagram'],1.0,31,en,1,1_biden_votes_ballots_voters
40710,46544,31179,2032,http://data.gesis.org/claimskg/creative_work/d925c8d6-2f5c-5dd6-a0b9-5de9c789568f,Only 3 percent of Trump voters believe President-Elect Joe Biden is the legitimate winner of the 2020 election.,truthorfiction,English,MIXTURE,2,"Joe Biden, President-Elect","['Joe Biden', ' President-Elect']",2.0,18,en,1,1_biden_votes_ballots_voters
63659,70530,59007,847,http://data.gesis.org/claimskg/creative_work/8e2b05b3-e964-5449-87ef-466260dd0d17,"An open letter to Joe Biden about voter fraud, in November 2020, was written by Mike Huckabee.",snopes,English,True,3,"Joe Biden, Mike Huckabee, November 2020, open letter, voter fraud","['Joe Biden', ' Mike Huckabee', ' November 2020', ' open letter', ' voter fraud']",5.0,17,en,1,1_biden_votes_ballots_voters
59686,66285,44404,5577,http://data.gesis.org/claimskg/creative_work/6fe75622-ae35-565c-bc29-2a4df55e1e44,The 2020 election results in Pennsylvania show a statistically impossible pattern and votes were manufactured for Joe Biden.,politifact,English,False,1,"2020, Joe Biden, Pennsylvania, election results","['2020', ' Joe Biden', ' Pennsylvania', ' election results']",4.0,18,en,1,1_biden_votes_ballots_voters
