Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,claim,text,organization,lang_name,rating_label,rating_value,entity_strings,entities,nr_entities,num_words,probable_lang,Topic,Topic Name
12170,16527,44357,5530,http://data.gesis.org/claimskg/creative_work/72ebc527-ea11-5cbd-89fb-5934ed9bc3d8,Photo shows Joe Biden asleep at his desk.,politifact,English,False,1,Joe Biden,['Joe Biden'],1.0,8,en,24,24_biden_asleep_snoring_joe
27309,32580,11017,4779,http://data.gesis.org/claimskg/creative_work/ebc3b05c-98dd-5f3e-a20e-7bdfad160551,An image shared on Facebook purportedly shows President Joe Biden asleep while in the Oval Office.,checkyourfact,English,FALSE,1,"Facebook, President Joe Biden","['Facebook', ' President Joe Biden']",2.0,16,en,24,24_biden_asleep_snoring_joe
40182,45834,17855,6507,http://data.gesis.org/claimskg/creative_work/f68beccf-0121-5ba4-823e-c3f76f8cc371,An image of U.S. President Joe Biden sleeping at Oval Office desk?,factcheck_afp,English,FALSE,1,"Oval Office desk, U.S. President Joe Biden","['Oval Office desk', ' U.S. President Joe Biden']",2.0,12,en,24,24_biden_asleep_snoring_joe
36253,41610,15870,4522,http://data.gesis.org/claimskg/creative_work/0467d642-da26-544e-ba69-87a5428ed4ec,Video shows Joe Biden asleep during a live TV interview,factcheck_afp,English,FALSE,1,"Joe Biden, live TV interview","['Joe Biden', ' live TV interview']",2.0,10,en,24,24_biden_asleep_snoring_joe
54027,60422,40463,1636,http://data.gesis.org/claimskg/creative_work/ae15228b-b10c-5ba9-9f64-5b261f58bf28,Says Joe Biden was asleep and snoring during a TV interview.,politifact,English,False,1,"Joe Biden, TV interview, snoring","['Joe Biden', ' TV interview', ' snoring']",3.0,11,en,24,24_biden_asleep_snoring_joe
33280,38603,6379,141,http://data.gesis.org/claimskg/creative_work/99ecabe3-5f21-565c-9253-52aed18d3a67,A video shared on Facebook purportedly shows President Joe Biden asleep during a meeting with Israeli Prime Minister Naftali Bennett.,checkyourfact,English,FALSE,1,"Facebook, President Joe Biden","['Facebook', ' President Joe Biden']",2.0,20,en,24,24_biden_asleep_snoring_joe
59655,66247,75606,1259,http://data.gesis.org/claimskg/creative_work/3d1a1897-fbb3-5ae8-89a8-841a7329977e,"A video recorded on Nov. 1, 2021, of U.S. President Joe Biden at the United Nation's climate summit showed him falling asleep.",snopes,English,OTHER,-1,"U.S. President Joe Biden, United Nation, climate summit, video recorded","['U.S. President Joe Biden', ' United Nation', ' climate summit', ' video recorded']",4.0,22,en,24,24_biden_asleep_snoring_joe
23993,29249,10765,4527,http://data.gesis.org/claimskg/creative_work/e59d4823-1277-5a5f-95a3-288d5592ad1e,A video shared on Facebook purportedly shows Democratic presidential nominee Joe Biden sleeping during a local morning TV interview.,checkyourfact,English,FALSE,1,"Facebook, TV interview","['Facebook', ' TV interview']",2.0,19,en,24,24_biden_asleep_snoring_joe
26627,31893,46601,7774,http://data.gesis.org/claimskg/creative_work/55200079-97ba-579e-8595-25cfa6cdaa55,Video shows Joe Biden sleeping at the Arab Conference in Saudi Arabia.,politifact,English,False,1,"Joe Biden, Saudi Arabia","['Joe Biden', ' Saudi Arabia']",2.0,12,en,24,24_biden_asleep_snoring_joe
28909,34195,45611,6784,http://data.gesis.org/claimskg/creative_work/be744683-591d-54cb-bc3e-386bef80c8b1,Says President Joe Biden fell asleep during a meeting with Israel’s prime minister.,politifact,English,False,1,"Israel, President Joe Biden","['Israel', ' President Joe Biden']",2.0,13,en,24,24_biden_asleep_snoring_joe
42897,48843,64515,2486,http://data.gesis.org/claimskg/creative_work/6c81f89f-4a1c-505f-afed-8d43f949cb92,"A video shows the U.S. President Joe Biden falling asleep during a conversation with Israeli Prime Minister Naftali Bennett, on Aug. 27, 2021.",snopes,English,False,1,"Israeli Prime Minister, Naftali Bennett, U.S. President Joe Biden","['Israeli Prime Minister', ' Naftali Bennett', ' U.S. President Joe Biden']",3.0,23,en,24,24_biden_asleep_snoring_joe
42403,48312,64346,2317,http://data.gesis.org/claimskg/creative_work/b560bffd-17cf-5a8c-8e96-60371b113bcd,A video shows 2020 U.S. Democratic presidential nominee Joe Biden falling asleep during a live television interview.,snopes,English,False,1,"Joe Biden, U.S. Democratic, live television","['Joe Biden', ' U.S. Democratic', ' live television']",3.0,17,en,24,24_biden_asleep_snoring_joe
