Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,claim,text,organization,lang_name,rating_label,rating_value,entity_strings,entities,nr_entities,num_words,probable_lang,Topic,Topic Name
48785,55065,42921,4094,http://data.gesis.org/claimskg/creative_work/0b1487ba-fbab-5d3c-961b-b325c799e499,Says Joe Biden and Kamala Harris distrusted COVID-19 vaccines.,politifact,English,False,1,"COVID-19 vaccines, Joe Biden, Kamala Harris","['COVID-19 vaccines', ' Joe Biden', ' Kamala Harris']",3.0,9,en,4,4_vaccine_vaccinations_vaccines_vaccinated
53230,59619,51469,3599,http://data.gesis.org/claimskg/creative_work/7f3c2045-00b7-5c85-8b9f-6611b2c40c82,Joe Biden and Kamala Harris continuously questioned the vaccine during the campaign but now they support vaccine cards and forced vaccinations.,politifact,English,MIXTURE,2,"Joe Biden, Kamala Harris, vaccine","['Joe Biden', ' Kamala Harris', ' vaccine']",3.0,21,en,4,4_vaccine_vaccinations_vaccines_vaccinated
41359,47239,41564,2737,http://data.gesis.org/claimskg/creative_work/988c1f6a-7e0f-58a1-acd3-3023f5261c82,Says President Joe Biden told people to get vaccinated against COVID-19 to protect themselves from hurricanes.,politifact,English,False,1,"COVID-19, President Joe Biden","['COVID-19', ' President Joe Biden']",2.0,16,en,4,4_vaccine_vaccinations_vaccines_vaccinated
49441,55796,72265,979,http://data.gesis.org/claimskg/creative_work/d0e3ddb0-68af-5527-a8ae-2c4c7e111695,"On Feb. 16, 2021, U.S. President Joe Biden falsely claimed a COVID-19 vaccine did not exist when he began his term.",snopes,English,MIXTURE,2,"COVID-19 vaccine, U.S. President Joe Biden, falsely claimed","['COVID-19 vaccine', ' U.S. President Joe Biden', ' falsely claimed']",3.0,21,en,4,4_vaccine_vaccinations_vaccines_vaccinated
50473,56848,9132,2894,http://data.gesis.org/claimskg/creative_work/97c60b13-ff8a-5fc0-9f14-24fd68f5a796,An image shared on Facebook claims President Joe Biden announced that Americans not vaccinated against COVID-19 before 2022 will be put in quarantine camps.,checkyourfact,English,FALSE,1,"COVID-19, Facebook, President Joe Biden","['COVID-19', ' Facebook', ' President Joe Biden']",3.0,24,en,4,4_vaccine_vaccinations_vaccines_vaccinated
58127,64646,8604,2366,http://data.gesis.org/claimskg/creative_work/654d8f90-8503-5d26-a851-1e127eb1b985,A tweet from the verified White House Twitter account claims there were no COVID-19 vaccines available before President Joe Biden took office in January 2021.,checkyourfact,English,FALSE,1,"January 2021, President Joe Biden, Twitter, White House","['January 2021', ' President Joe Biden', ' Twitter', ' White House']",4.0,25,en,4,4_vaccine_vaccinations_vaccines_vaccinated
62549,69285,29904,757,http://data.gesis.org/claimskg/creative_work/7927ed47-493a-5cab-bb07-d4e5535c32eb,Biden says even @FoxNews has a mandatory vaccine policy. Is that true? That can't be true. Have Hannity and Tucker and the others gotten the vaccine? That just can't be true.,truthorfiction,English,TRUE,3,"Biden, FoxNews, Hannity, Tucker, vaccine","['Biden', ' FoxNews', ' Hannity', ' Tucker', ' vaccine']",5.0,31,en,4,4_vaccine_vaccinations_vaccines_vaccinated
48180,54392,68801,6772,http://data.gesis.org/claimskg/creative_work/0934a9c3-fb3a-5998-9597-7a2b1671be1c,U.S. President Joe Biden said that the COVID-19 vaccine would protect people against hurricanes.,snopes,English,False,1,"COVID-19 vaccine, U.S. President Joe Biden, hurricanes","['COVID-19 vaccine', ' U.S. President Joe Biden', ' hurricanes']",3.0,14,en,4,4_vaccine_vaccinations_vaccines_vaccinated
44518,50568,60286,2126,http://data.gesis.org/claimskg/creative_work/058eed56-eaba-5c78-90f6-7901dd2f55aa,U.S. President-elect Joe Biden said he will get the COVID-19 vaccination in public on television.,snopes,English,True,3,"COVID-19 vaccination, Joe Biden, U.S. President-elect","['COVID-19 vaccination', ' Joe Biden', ' U.S. President-elect']",3.0,15,en,4,4_vaccine_vaccinations_vaccines_vaccinated
57457,63965,10700,4462,http://data.gesis.org/claimskg/creative_work/defb02e8-02f9-5397-8aa2-7ee2dd1f91c4,A viral Facebook post claims President Joe Biden has been impeached in connection to COVID-19 vaccines for China.,checkyourfact,English,FALSE,1,"COVID-19 vaccines, China, Facebook, President Joe Biden","['COVID-19 vaccines', ' China', ' Facebook', ' President Joe Biden']",4.0,18,en,4,4_vaccine_vaccinations_vaccines_vaccinated
56184,62642,76823,2476,http://data.gesis.org/claimskg/creative_work/7616973e-c817-5a13-ae72-d764c4f9619d,"In 2021, U.S. President Joe Biden announced his intention to place in camps anyone not vaccinated against COVID-19 by 2022.",snopes,English,OTHER,-1,"2021, U.S. President Joe Biden, announced his intention, vaccinated against COVID-19","['2021', ' U.S. President Joe Biden', ' announced his intention', ' vaccinated against COVID-19']",4.0,20,en,4,4_vaccine_vaccinations_vaccines_vaccinated
63724,70597,60923,2763,http://data.gesis.org/claimskg/creative_work/f1f558d9-2dff-5e8e-8883-705e84406d12,"During a July 2021 CNN town hall, U.S. President Joe Biden falsely stated that You’re not going to get COVID if you have these vaccinations, and If you’re vaccinated, you’re not going to be hospitalized, you’re not going to be in the ICU unit, and you’re not going to die.",snopes,English,True,3,"CNN, COVID, ICU unit, July 2021, U.S. President Joe Biden","['CNN', ' COVID', ' ICU unit', ' July 2021', ' U.S. President Joe Biden']",5.0,50,en,4,4_vaccine_vaccinations_vaccines_vaccinated
12354,16716,46044,7217,http://data.gesis.org/claimskg/creative_work/fc5602d1-d289-5245-9f71-c9e049c6b181,President Joe Biden gave Congress an exemption from vaccine mandate,politifact,English,False,1,Joe Biden,['Joe Biden'],1.0,10,en,4,4_vaccine_vaccinations_vaccines_vaccinated
28933,34219,45634,6807,http://data.gesis.org/claimskg/creative_work/865b0c41-f030-5ff6-9833-12b31d340949,When President Biden took office ... there was no vaccine available.,politifact,English,False,1,"Biden took office, vaccine","['Biden took office', ' vaccine']",2.0,11,en,4,4_vaccine_vaccinations_vaccines_vaccinated
32302,37618,73580,2294,http://data.gesis.org/claimskg/creative_work/dd14063d-7038-578a-a5e3-418b32c4e9f7,"On Sept. 27, 2021, U.S. Joe Biden was photographed purportedly receiving a COVID-19 vaccine booster dose on a set that featured props and digital images — proving that the entire event, including the shot, was fake.",snopes,English,MIXTURE,2,"COVID-19 vaccine, booster dose","['COVID-19 vaccine', ' booster dose']",2.0,36,en,4,4_vaccine_vaccinations_vaccines_vaccinated
