Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,claim,text,organization,lang_name,rating_label,rating_value,entity_strings,entities,nr_entities,num_words,probable_lang,Topic,Topic Name
35556,40903,63412,1383,http://data.gesis.org/claimskg/creative_work/a6319fe8-799a-5039-acb1-478a55932de8,"Joe Biden's son, Hunter, turned himself in to the FBI and flipped on his father.",snopes,English,False,1,"FBI, Joe Biden","['FBI', ' Joe Biden']",2.0,15,en,6,6_pelosis_pelosi_biden_cruz
28794,34079,9781,3543,http://data.gesis.org/claimskg/creative_work/5ae8e698-2413-58aa-9fcb-ec6938eb9926,"A video shared on Facebook purports Republican Louisiana Sen. John Kennedy exposed President Joe Biden’s son, Hunter Biden, in Congress.",checkyourfact,English,FALSE,1,"Facebook, Hunter Biden","['Facebook', ' Hunter Biden']",2.0,20,en,6,6_pelosis_pelosi_biden_cruz
62270,68992,8821,2583,http://data.gesis.org/claimskg/creative_work/2eeb1068-7902-51b6-bc7d-394fc249ea9d,"A post shared on Facebook claims the U.S. military recently arrested Hunter Biden, the son of President Joe Biden, as he was attempting to re-enter the country.",checkyourfact,English,FALSE,1,"Facebook, Hunter Biden, President Joe Biden, U.S., enter the country","['Facebook', ' Hunter Biden', ' President Joe Biden', ' U.S.', ' enter the country']",5.0,27,en,6,6_pelosis_pelosi_biden_cruz
45431,51579,10927,4689,http://data.gesis.org/claimskg/creative_work/cfd07c7b-e512-53cd-93f8-613b390449ac,"A viral Facebook post claims that former Vice President Joe Biden was involved in a plot to kidnap John F. Kennedy Jr., the son of former President John F. Kennedy.",checkyourfact,English,FALSE,1,"Facebook, John F. Kennedy Jr., President John F. Kennedy","['Facebook', ' John F. Kennedy Jr.', ' President John F. Kennedy']",3.0,30,en,6,6_pelosis_pelosi_biden_cruz
61953,68675,74242,2956,http://data.gesis.org/claimskg/creative_work/172805c3-a4df-572b-9a4a-d9be46104ab7,Joe Biden's son Hunter was dishonorably discharged from the Navy for cocaine use.,snopes,English,MIXTURE,2,"Hunter, Joe Biden, Navy, cocaine, dishonorably discharged","['Hunter', ' Joe Biden', ' Navy', ' cocaine', ' dishonorably discharged']",5.0,13,en,6,6_pelosis_pelosi_biden_cruz
53468,59858,10132,3894,http://data.gesis.org/claimskg/creative_work/dde6b078-64a7-54bf-9c91-0ed1f029543d,"A Facebook post claims White House adviser and first daughter Ivanka Trump said, Hunter Biden – the son of – accepted a job for which he had absolutely no qualifications. It was an outrageous abuse of power of his father, and should be treated as such.",checkyourfact,English,FALSE,1,"Facebook, Hunter Biden, abuse of power","['Facebook', ' Hunter Biden', ' abuse of power']",3.0,46,en,6,6_pelosis_pelosi_biden_cruz
51742,58125,6852,614,http://data.gesis.org/claimskg/creative_work/2f373406-e69b-53b9-b00c-619abd9ea66f,"A video shared on Facebook claims Republican Florida Gov. Ron DeSantis confronted President Joe Biden’s son, Hunter Biden, in Florida.",checkyourfact,English,FALSE,1,"Facebook, Hunter Biden, President Joe Biden","['Facebook', ' Hunter Biden', ' President Joe Biden']",3.0,20,en,6,6_pelosis_pelosi_biden_cruz
53924,60318,41791,2964,http://data.gesis.org/claimskg/creative_work/db2eb3ec-ee5d-5b6e-90d0-65b297966cff,"Joe Biden was involved in a plot to kidnap JFK Jr. according to the just declassified FBI files, and also made several threats.",politifact,English,False,1,"FBI files, JFK Jr., Joe Biden","['FBI files', ' JFK Jr.', ' Joe Biden']",3.0,23,en,6,6_pelosis_pelosi_biden_cruz
63730,70603,10805,4567,http://data.gesis.org/claimskg/creative_work/256b4372-4b76-550a-8af6-bbd840944448,"A viral YouTube video shared on Facebook claims Hunter Biden, the son of President Joe Biden, was hanged Oct. 15 at Guantanamo Bay by the U.S. military.",checkyourfact,English,FALSE,1,"Facebook, Guantanamo Bay, Hunter Biden, U.S., YouTube","['Facebook', ' Guantanamo Bay', ' Hunter Biden', ' U.S.', ' YouTube']",5.0,27,en,6,6_pelosis_pelosi_biden_cruz
41444,47325,42365,3538,http://data.gesis.org/claimskg/creative_work/7cef7e6a-1040-51f7-b18b-d6aa75778b5d,The FBI lost Hunter Biden’s laptop.,politifact,English,False,1,"FBI, Hunter Biden","['FBI', ' Hunter Biden']",2.0,6,en,6,6_pelosis_pelosi_biden_cruz
