Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,claim,text,organization,lang_name,rating_label,rating_value,entity_strings,entities,nr_entities,num_words,probable_lang,Topic,Topic Name
82,581,15716,4368,http://data.gesis.org/claimskg/creative_work/337d169d-a9ed-5b8c-bf20-873843d4f24b,No one will be safe in Biden's America,factcheck_afp,English,FALSE,1,,,0.0,8,en,-1,-1_biden_trump_donald_barack
123,892,15991,4643,http://data.gesis.org/claimskg/creative_work/1037b70b-c982-56a4-a72a-b282f2c9a889,Biden canceled Operation Talon,factcheck_afp,English,FALSE,1,,,0.0,4,en,-1,-1_biden_trump_donald_barack
140,1169,17515,6167,http://data.gesis.org/claimskg/creative_work/2cff80dd-5194-589a-b8d9-dc085246c2d4,Photo of Biden appearing to wear surgical boot on opposite foot,factcheck_afp,English,FALSE,1,,,0.0,11,en,-1,-1_biden_trump_donald_barack
259,2258,45424,6597,http://data.gesis.org/claimskg/creative_work/65a61486-5a56-55a5-92e6-3752ce245710,Biden is computer generated.,politifact,English,False,1,,,0.0,4,en,-1,-1_biden_trump_donald_barack
310,2309,45468,6641,http://data.gesis.org/claimskg/creative_work/e69d9104-f973-5f44-a364-3901b4a343b2,Biden did not win legally.,politifact,English,False,1,,,0.0,5,en,-1,-1_biden_trump_donald_barack
351,2350,11718,370,http://data.gesis.org/claimskg/creative_work/464294a9-7a23-5dc8-90de-5d68ef569fb0,How can Biden afford this mansion on a senator's salary,factcheck_afp,English,FALSE,1,,,0.0,10,en,-1,-1_biden_trump_donald_barack
681,2690,11903,555,http://data.gesis.org/claimskg/creative_work/68d4c91a-e947-58fc-8b89-8cc2e7f301ea,Biden faked an interaction with reporters,factcheck_afp,English,FALSE,1,,,0.0,6,en,-1,-1_biden_trump_donald_barack
691,2700,44387,5560,http://data.gesis.org/claimskg/creative_work/82423faf-4bb9-5205-a041-76bf9062bb53,Not one court has looked at the evidence and said that Biden legally won the presidential election.,politifact,English,False,1,,,0.0,17,en,-1,-1_biden_trump_donald_barack
710,2720,44613,5786,http://data.gesis.org/claimskg/creative_work/07c324f4-f887-55c3-942b-7f3655dd6288,Biden impeachment in progress.,politifact,English,False,1,,,0.0,4,en,-1,-1_biden_trump_donald_barack
781,2794,44132,5305,http://data.gesis.org/claimskg/creative_work/2aecc591-1317-5b9c-87f2-a15ef1767d1b,President Biden's Air Force One pilot got fired after this vertical take off.,politifact,English,False,1,,,0.0,13,en,-1,-1_biden_trump_donald_barack
1504,3527,14751,3403,http://data.gesis.org/claimskg/creative_work/85e3f02a-02dc-5819-bc25-2ffb75cb332f,Video shows Americans cheering Biden's fall on plane stairs,factcheck_afp,English,FALSE,1,,,0.0,9,en,-1,-1_biden_trump_donald_barack
1688,3712,15239,3891,http://data.gesis.org/claimskg/creative_work/fb79f9f1-d121-5e36-ba4c-12a8d5cdaa41,US senator scolded by a protester after admitting Biden as president-elect,factcheck_afp,English,FALSE,1,,,0.0,11,en,-1,-1_biden_trump_donald_barack
1977,4050,40561,1734,http://data.gesis.org/claimskg/creative_work/d2901ba0-7708-52f7-8597-9b7df90874fb,Biden changes his mind and now wants to resume building Trump’s wall.,politifact,English,False,1,,,0.0,12,en,-1,-1_biden_trump_donald_barack
2038,4112,42165,3338,http://data.gesis.org/claimskg/creative_work/d31afab3-4eae-5d8e-9c8f-a91340eeb193,Biden confirms agenda to microchip the masses,politifact,English,False,1,,,0.0,7,en,-1,-1_biden_trump_donald_barack
2118,4194,41494,2667,http://data.gesis.org/claimskg/creative_work/c64135bb-58c3-593d-a4b6-ec779290eabe,Biden to teachers: ‘They're not somebody else's children. They're yours when you're in the classroom.’,politifact,English,False,1,,,0.0,15,en,-1,-1_biden_trump_donald_barack
2223,4305,39492,665,http://data.gesis.org/claimskg/creative_work/9914fa35-e78c-5e26-9057-0210f08e5c74,"Biden said today, if he loses, his people will keep burning, looting and killing.",politifact,English,False,1,,,0.0,14,en,-1,-1_biden_trump_donald_barack
2233,4315,39228,401,http://data.gesis.org/claimskg/creative_work/b9d7aa39-c7bd-5ae1-9219-bf075443575a,"Biden’s Air Force One is not the same as Trump’s Air Force One, which indicates Biden is not the real president.",politifact,English,False,1,,,0.0,21,en,-1,-1_biden_trump_donald_barack
2237,4320,14146,2798,http://data.gesis.org/claimskg/creative_work/5bc87e5a-c4cb-5965-ace0-3de5cf4b9fae,List of Biden accomplishments is true,factcheck_afp,English,FALSE,1,,,0.0,6,en,-1,-1_biden_trump_donald_barack
2418,4504,40045,1218,http://data.gesis.org/claimskg/creative_work/83ee0051-4715-5582-b594-1c0e14c81574,Video shows Biden saying salute the Marines after hearing the words in an earpiece before his inauguration.,politifact,English,False,1,,,0.0,17,en,-1,-1_biden_trump_donald_barack
4519,8667,71847,561,http://data.gesis.org/claimskg/creative_work/1a6b94c7-a59c-549c-8717-b06a9e211dc9,The Biden Cancer Initiative spent millions on salaries but nothing on cancer research.,snopes,English,MIXTURE,2,,,0.0,13,en,-1,-1_biden_trump_donald_barack
5945,10156,56402,8532,http://data.gesis.org/claimskg/creative_work/330e5e57-16bc-5fe9-a3b9-d923841bcafe,Biden is making ‘maternity flight suits’ so pregnant women can fight in the military.,politifact,English,MIXTURE,2,,,0.0,14,en,-1,-1_biden_trump_donald_barack
7434,11709,30276,1129,http://data.gesis.org/claimskg/creative_work/cf4e2069-c5e5-5692-8cd1-4b05f93ae954,Joe Biden To Step Down October 5,truthorfiction,English,OTHER,-1,Joe Biden,['Joe Biden'],1.0,7,en,-1,-1_biden_trump_donald_barack
7807,12102,29997,850,http://data.gesis.org/claimskg/creative_work/d8946dae-c420-5e40-96a3-d4a958842bcd,Joe Biden: No Ordinary Citizens Care About Constitutional Rights,truthorfiction,English,FALSE,1,Joe Biden,['Joe Biden'],1.0,9,en,-1,-1_biden_trump_donald_barack
