Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,claim,text,organization,lang_name,rating_label,rating_value,entity_strings,entities,nr_entities,num_words,probable_lang,Topic,Topic Name
2375,4461,13767,2419,http://data.gesis.org/claimskg/creative_work/a699832f-9124-5b00-acd1-a6e6cde7ddb4,Biden apologises on bended knee to Floyd’s daughter,factcheck_afp,English,FALSE,1,,,0.0,8,en,10,10_kneeling_biden_knelt_knee
19255,24096,12998,1650,http://data.gesis.org/claimskg/creative_work/4dbc44c9-d06d-5fd7-8810-79a1bf18bec5,Singer Jason Derulo fell down the stairs at Biden’s inauguration,factcheck_afp,English,FALSE,1,Jason Derulo,['Jason Derulo'],1.0,10,en,10,10_kneeling_biden_knelt_knee
19681,24578,3101,3101,http://data.gesis.org/claimskg/creative_work/c46196e8-bc37-5a5a-901d-6f721240601b,"No, photo not of likely US president-elect Biden apologising to George Floyd’s daughter",africacheck,English,FALSE,1,George Floyd,['George Floyd'],1.0,13,en,10,10_kneeling_biden_knelt_knee
20135,25065,16434,5086,http://data.gesis.org/claimskg/creative_work/232ffdbc-037a-54a3-b558-9b585c5322aa,Biden sworn in on upside down Bible in 2021,factcheck_afp,English,FALSE,1,Bible,['Bible'],1.0,9,en,10,10_kneeling_biden_knelt_knee
25116,30374,10656,4418,http://data.gesis.org/claimskg/creative_work/38f6a384-fb5d-52de-9ad5-178795086400,"An image shared on Facebook over 3,200 times purportedly shows former Vice President Joe Biden kneeling in protest after seeing an American flag during a visit to his hometown.",checkyourfact,English,OTHER,-1,"American flag, Facebook","['American flag', ' Facebook']",2.0,29,en,10,10_kneeling_biden_knelt_knee
26680,31946,45874,7047,http://data.gesis.org/claimskg/creative_work/9207661d-af29-5e98-8415-4307d53b8665,President Joe Biden changed suits during his visit to the Vatican.,politifact,English,False,1,"Joe Biden, Vatican","['Joe Biden', ' Vatican']",2.0,11,en,10,10_kneeling_biden_knelt_knee
31237,36544,76779,2432,http://data.gesis.org/claimskg/creative_work/44a1ccee-36e0-58f0-bc8c-adb6d02f68fc,The U.S. Olympic Bobsled team named their sled Biden because nothing has taken America downhill faster.,snopes,English,OTHER,-1,"Bobsled, U.S.","['Bobsled', ' U.S.']",2.0,16,en,10,10_kneeling_biden_knelt_knee
34079,39409,58819,659,http://data.gesis.org/claimskg/creative_work/3c5038cb-f6fa-5a81-af03-71f5b6c4ae66,A video shows U.S. President Joe Biden slipping and falling while ascending the stairs of Air Force One.,snopes,English,True,3,"Air Force, U.S. President Joe Biden","['Air Force', ' U.S. President Joe Biden']",2.0,18,en,10,10_kneeling_biden_knelt_knee
34585,39921,64902,2873,http://data.gesis.org/claimskg/creative_work/dc502661-6177-50f8-b839-8ac888af7b9a,U.S. President Joe Biden knelt before Saudi Prince Mohammad Bin Salman during their July 2022 meeting.,snopes,English,False,1,"July 2022, Prince Mohammad Bin Salman","['July 2022', ' Prince Mohammad Bin Salman']",2.0,16,en,10,10_kneeling_biden_knelt_knee
34830,40167,3413,3413,http://data.gesis.org/claimskg/creative_work/69ddbb1e-be74-5796-9fe8-2cfe9f155e0f,"No, photo doesn’t show US president Biden begging George Floyd’s son for forgiveness",africacheck,English,FALSE,1,"George Floyd, president Biden","['George Floyd', ' president Biden']",2.0,13,en,10,10_kneeling_biden_knelt_knee
35561,40908,64174,2145,http://data.gesis.org/claimskg/creative_work/446a4da2-0ad9-5b81-a0b8-7b4ffbbe26ff,A video shows bird poop falling on U.S. President Joe Biden's shoulder during an event in April 2022.,snopes,English,False,1,"April 2022, U.S. President Joe Biden","['April 2022', ' U.S. President Joe Biden']",2.0,18,en,10,10_kneeling_biden_knelt_knee
38000,43425,39852,1025,http://data.gesis.org/claimskg/creative_work/c3ef59d5-4c46-58fd-bea3-28535d9d6203,Says Joe Biden took a knee during the national anthem.,politifact,English,False,1,"Joe Biden, national anthem","['Joe Biden', ' national anthem']",2.0,10,en,10,10_kneeling_biden_knelt_knee
41201,47081,13054,1706,http://data.gesis.org/claimskg/creative_work/afb2bd74-1fce-5323-a9f2-55af25fded20,Biden kneels in front of George Floyd's son,factcheck_afp,English,FALSE,1,"Biden, George Floyd","['Biden', ' George Floyd']",2.0,8,en,10,10_kneeling_biden_knelt_knee
43037,48997,66928,4899,http://data.gesis.org/claimskg/creative_work/2fd55dba-654e-5b8d-8199-accc923341f5,"An image shared widely in October 2020 showed Joe Biden taking a knee in protest, during the playing of the national anthem.",snopes,English,False,1,"Joe Biden, national anthem, taking a knee in protest","['Joe Biden', ' national anthem', ' taking a knee in protest']",3.0,22,en,10,10_kneeling_biden_knelt_knee
44990,51057,63504,1475,http://data.gesis.org/claimskg/creative_work/2c32b28a-2dd9-5fa1-8ee6-8f8f04c48f9b,A video shows that U.S. President Joe Biden put his pants on backwards for an October 2022 trip to survey storm damage in Puerto Rico.,snopes,English,False,1,"October 2022, Puerto Rico, U.S. President Joe Biden","['October 2022', ' Puerto Rico', ' U.S. President Joe Biden']",3.0,25,en,10,10_kneeling_biden_knelt_knee
45318,51456,46522,7695,http://data.gesis.org/claimskg/creative_work/183f4f08-235f-54bd-af79-99fce46a2c01,Joe Biden takes a knee after spotting an American flag near his childhood home in Pennsylvania.,politifact,English,False,1,"American flag, Joe Biden, Pennsylvania","['American flag', ' Joe Biden', ' Pennsylvania']",3.0,16,en,10,10_kneeling_biden_knelt_knee
46749,52927,73721,2435,http://data.gesis.org/claimskg/creative_work/915deaba-150f-5398-82a5-aa86c9ac07db,U.S. President Joe Biden removed military flags from the Oval Office that had been displayed by the previous administration.,snopes,English,MIXTURE,2,"Oval Office, U.S. President Joe Biden, previous administration","['Oval Office', ' U.S. President Joe Biden', ' previous administration']",3.0,19,en,10,10_kneeling_biden_knelt_knee
48528,54781,30208,1061,http://data.gesis.org/claimskg/creative_work/1e87d9a1-289b-5faa-b25c-338a6276a955,A close-up from President Joe Biden's inauguration showed he was sworn in on a Bible adorned with upside down crosses.,truthorfiction,English,FALSE,1,"Bible, President Joe Biden's inauguration, upside down crosses","['Bible', "" President Joe Biden's inauguration"", ' upside down crosses']",3.0,20,en,10,10_kneeling_biden_knelt_knee
50415,56790,39825,998,http://data.gesis.org/claimskg/creative_work/ae252fd5-937f-5fe1-b724-a26f85b78f9e,A bird pooped on Joe Biden during his speech in Iowa.,politifact,English,False,1,"Iowa, Joe Biden, pooped","['Iowa', ' Joe Biden', ' pooped']",3.0,11,en,10,10_kneeling_biden_knelt_knee
52119,58505,8668,2430,http://data.gesis.org/claimskg/creative_work/ee213fb1-fea3-581c-afe9-aec1dd2ed317,An image shared on Facebook allegedly shows President Joe Biden kneeling down to plead with the son of George Floyd.,checkyourfact,English,FALSE,1,"Facebook, George Floyd, President Joe Biden","['Facebook', ' George Floyd', ' President Joe Biden']",3.0,20,en,10,10_kneeling_biden_knelt_knee
55851,62287,29248,101,http://data.gesis.org/claimskg/creative_work/b8d35b52-f32c-545e-90cb-17258e1dca79,Joe Biden's campaign website's section on Israel mentioned not letting Palestinians off the hook for their choices -- language that was later removed from the page.,truthorfiction,English,TRUE,3,"Israel, Joe Biden's, Palestinians, campaign website","['Israel', "" Joe Biden's"", ' Palestinians', ' campaign website']",4.0,26,en,10,10_kneeling_biden_knelt_knee
58741,65274,46625,7798,http://data.gesis.org/claimskg/creative_work/ec2cfc6f-6cfd-5e97-a090-238ad93507a2,"Says Jen Psaki said, President Biden might need kneepads for riding his bike, but the last guy needed kneepads for visiting the Kremlin.",politifact,English,False,1,"Jen Psaki, Kremlin, President Biden, kneepads","['Jen Psaki', ' Kremlin', ' President Biden', ' kneepads']",4.0,23,en,10,10_kneeling_biden_knelt_knee
59785,66399,63148,1119,http://data.gesis.org/claimskg/creative_work/dfb54d87-0a25-563f-9b67-c41359e3fff9,The Biden administration displayed the Russian flag on the National Mall ahead of Inauguration Day in 2021.,snopes,English,False,1,"Biden administration, Inauguration Day, National Mall, Russian flag","['Biden administration', ' Inauguration Day', ' National Mall', ' Russian flag']",4.0,17,en,10,10_kneeling_biden_knelt_knee
60316,66964,67563,5534,http://data.gesis.org/claimskg/creative_work/8c56bbd6-9c70-5630-b8ff-e2f93378b973,Former U.S. Vice President Joe Biden's 2020 presidential campaign forced the staff of an Iowa public library to remove an American flag.,snopes,English,False,1,"American flag, Iowa, Joe Biden's 2020 presidential campaign, U.S. Vice President","['American flag', ' Iowa', "" Joe Biden's 2020 presidential campaign"", ' U.S. Vice President']",4.0,22,en,10,10_kneeling_biden_knelt_knee
60818,67491,10230,3992,http://data.gesis.org/claimskg/creative_work/81c9338c-6a75-552c-a744-90cd123e4842,An image shared on Facebook purportedly shows President-elect Joe Biden kneeling and apologizing to George Floyd’s daughter.,checkyourfact,English,FALSE,1,"Facebook, George Floyd, Joe Biden, President-elect","['Facebook', ' George Floyd', ' Joe Biden', ' President-elect']",4.0,17,en,10,10_kneeling_biden_knelt_knee
60863,67537,29929,782,http://data.gesis.org/claimskg/creative_work/47d34fec-487a-5b64-a41c-018616a6954b,"Former Vice President Joe Biden took a knee after seeing a U.S. flag while visiting Scranton, Pennsylvania in July 2020.",truthorfiction,English,FALSE,1,"Pennsylvania, Scranton, U.S. flag, Vice President Joe Biden","['Pennsylvania', ' Scranton', ' U.S. flag', ' Vice President Joe Biden']",4.0,20,en,10,10_kneeling_biden_knelt_knee
