Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,claim,text,organization,lang_name,rating_label,rating_value,entity_strings,entities,nr_entities,num_words,probable_lang,Topic,Topic Name
1206,3225,47542,8715,http://data.gesis.org/claimskg/creative_work/6a5bd290-3429-5d69-b348-793017a9bd1a,Biden wants to give illegals ID cards so they can start collecting American benefits.,politifact,English,False,1,,,0.0,14,en,11,11_biden_medicare_obamacare_obamabiden
6761,11002,51541,3671,http://data.gesis.org/claimskg/creative_work/aad18d11-682b-5a35-94fc-293d3b43aac0,An increase in Medicare Part B premiums means America’s seniors are paying the price for Biden’s inflation crisis.,politifact,English,MIXTURE,2,,,0.0,18,en,11,11_biden_medicare_obamacare_obamabiden
11614,15968,70893,8864,http://data.gesis.org/claimskg/creative_work/3fc20c31-8aa0-54bd-82e9-5f8023040c2c,A large increase in the size of Social Security benefits provided to seniors occurring in 2023 came about through President Biden's leadership.,snopes,English,False,1,Social Security,['Social Security'],1.0,22,en,11,11_biden_medicare_obamacare_obamabiden
14754,19140,47601,8774,http://data.gesis.org/claimskg/creative_work/84cf2cba-7d85-5b4d-97ec-bdc8225d8e90,Insulin prices rose with the swipe of (Joe Biden’s) pen.,politifact,English,False,1,Joe Biden,['Joe Biden'],1.0,10,en,11,11_biden_medicare_obamacare_obamabiden
21739,26736,12453,1105,http://data.gesis.org/claimskg/creative_work/b3907c92-f3fb-5700-a9fb-a04e0b26f70c,Biden announced free dental coverage for all seniors through Medicare,factcheck_afp,English,FALSE,1,Medicare,['Medicare'],1.0,10,en,11,11_biden_medicare_obamacare_obamabiden
23929,29185,48538,668,http://data.gesis.org/claimskg/creative_work/48e99d7b-25e3-5467-83ab-2d6fc52b5c2f,Joe Biden just told @Lawrence that as president he would veto Medicare for All if it passed both houses and came to his desk.,politifact,English,MIXTURE,2,"Joe Biden, Medicare","['Joe Biden', ' Medicare']",2.0,24,en,11,11_biden_medicare_obamacare_obamabiden
25615,30875,10736,4498,http://data.gesis.org/claimskg/creative_work/f8c769aa-df76-514c-9440-6a4296e1e3d9,"An image shared on Facebook claims President Joe Biden approved a healthcare card that would give $0 health, vision & dental benefits to those 25 and older.",checkyourfact,English,FALSE,1,"Facebook, dental benefits","['Facebook', ' dental benefits']",2.0,27,en,11,11_biden_medicare_obamacare_obamabiden
27243,32513,51288,3418,http://data.gesis.org/claimskg/creative_work/6af0972a-76c6-52c5-9320-337c152916c6,Biden and most Democrats want to cap insulin prices at $35 per month. All 50 Republicans in the Senate are opposed to it.,politifact,English,MIXTURE,2,"Republicans, insulin","['Republicans', ' insulin']",2.0,23,en,11,11_biden_medicare_obamacare_obamabiden
27854,33130,45422,6595,http://data.gesis.org/claimskg/creative_work/76cf5896-af11-5f36-a52b-a904257d556c,When Joe Biden walked into this administration ... 20 million people were on unemployment insurance benefits.,politifact,English,False,1,"Joe Biden, unemployment insurance benefits","['Joe Biden', ' unemployment insurance benefits']",2.0,16,en,11,11_biden_medicare_obamacare_obamabiden
28914,34200,8350,2112,http://data.gesis.org/claimskg/creative_work/401843e3-65fe-557b-8256-82198d7f6f05,An image shared on Facebook claims President Joe Biden recently announced a fourth round of stimulus payments for which only Americans with proof of vaccination are eligible.,checkyourfact,English,FALSE,1,"Facebook, Joe Biden","['Facebook', ' Joe Biden']",2.0,27,en,11,11_biden_medicare_obamacare_obamabiden
