Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,claim,text,organization,lang_name,rating_label,rating_value,entity_strings,entities,nr_entities,num_words,probable_lang,Topic,Topic Name
2353,4439,40433,1606,http://data.gesis.org/claimskg/creative_work/a88685f9-8756-5f68-8981-fb74ad480091,"If Biden becomes president and cannot complete his term, Harris will become president, and Pelosi will become vice president.",politifact,English,False,1,,,0.0,19,en,12,12_biden_pelosi_harris_kamala
17020,21524,39346,519,http://data.gesis.org/claimskg/creative_work/40136b92-bf7b-5557-bcdc-bf097ada8ed3,"President Joe Biden’s daughter-in-law tweeted, The press is also covering up serious health issues that my father in law is facing. The plan is for Kamala to get a one track ride to the nomination in 2024.",politifact,English,False,1,Joe Biden,['Joe Biden'],1.0,37,en,12,12_biden_pelosi_harris_kamala
24215,29471,10084,3846,http://data.gesis.org/claimskg/creative_work/c8987b8e-eb7e-5da8-ae7d-cb91f6b8890d,A video shared on Facebook purports Vice President Kamala Harris resigned from her position following Biden’s mandatory border trip.,checkyourfact,English,FALSE,1,"Facebook, Kamala Harris","['Facebook', ' Kamala Harris']",2.0,19,en,12,12_biden_pelosi_harris_kamala
26227,31492,8896,2658,http://data.gesis.org/claimskg/creative_work/c99d27bc-c176-5f56-a4b3-0656c74ab843,"An image shared on Facebook more than 3,100 times claims California Sen. Kamala Harris said, I don’t like Joe Biden and do not like his history with certain people or who he’s aligned with, he’s trash to me.",checkyourfact,English,FALSE,1,"Facebook, Sen.","['Facebook', ' Sen.']",2.0,38,en,12,12_biden_pelosi_harris_kamala
38026,43452,40108,1281,http://data.gesis.org/claimskg/creative_work/4024c548-323f-5ca5-848e-d06319294ea3,The Biden Administration is buying Kamala Harris’ book with our taxpayer dollars.,politifact,English,False,1,"Biden Administration, Kamala Harris","['Biden Administration', ' Kamala Harris']",2.0,12,en,12,12_biden_pelosi_harris_kamala
38032,43458,40157,1330,http://data.gesis.org/claimskg/creative_work/1c8845b2-ed34-5271-9360-adac96834396,"Says Kamala Harris said, I don’t like Joe Biden and do not like his history with certain people or who he’s aligned with, he’s trash to me.",politifact,English,False,1,"Joe Biden, Kamala Harris","['Joe Biden', ' Kamala Harris']",2.0,27,en,12,12_biden_pelosi_harris_kamala
41301,47181,41252,2425,http://data.gesis.org/claimskg/creative_work/c9ab1fa2-0a13-575c-b146-b26f7ec92f45,"If Joe Biden steps down, Nancy Pelosi will become vice president.",politifact,English,False,1,"Joe Biden, Nancy Pelosi","['Joe Biden', ' Nancy Pelosi']",2.0,11,en,12,12_biden_pelosi_harris_kamala
43124,49091,66746,4717,http://data.gesis.org/claimskg/creative_work/d1356c31-d508-5eee-8437-706c97fadce5,Vice presidential candidate Kamala Harris said Joe Biden is trash to me.,snopes,English,False,1,"Joe Biden, Kamala Harris, Vice presidential candidate","['Joe Biden', ' Kamala Harris', ' Vice presidential candidate']",3.0,12,en,12,12_biden_pelosi_harris_kamala
43891,49933,42201,3374,http://data.gesis.org/claimskg/creative_work/7e398542-8add-5a3f-a06f-8d4e35825bef,"If Joe Biden can’t serve his full term, Kamala Harris cannot by constitutional law become president.",politifact,English,False,1,"Joe Biden, Kamala Harris, constitutional law","['Joe Biden', ' Kamala Harris', ' constitutional law']",3.0,16,en,12,12_biden_pelosi_harris_kamala
44683,50734,12817,1469,http://data.gesis.org/claimskg/creative_work/923a61cf-0a08-5136-88ee-d3047926257d,Kamala Harris called Joe Biden trash in June 2019,factcheck_afp,English,FALSE,1,"Joe Biden, June 2019, Kamala Harris","['Joe Biden', ' June 2019', ' Kamala Harris']",3.0,9,en,12,12_biden_pelosi_harris_kamala
46469,52638,43271,4444,http://data.gesis.org/claimskg/creative_work/5235e5b4-e6ae-56c5-83af-787117f6129f,Kamala Harris has not formally taken questions from the press a single time since she was announced as Joe Biden’s vice presidential pick.,politifact,English,False,1,"Joe Biden, Kamala Harris, vice presidential","['Joe Biden', ' Kamala Harris', ' vice presidential']",3.0,23,en,12,12_biden_pelosi_harris_kamala
