Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,claim,text,organization,lang_name,rating_label,rating_value,entity_strings,entities,nr_entities,num_words,probable_lang,Topic,Topic Name
12921,17290,41694,2867,http://data.gesis.org/claimskg/creative_work/80432286-31c1-5c07-8d13-b0b68ba047ef,Video shows a child telling Jill Biden to shut up during a speech.,politifact,English,False,1,Jill Biden,['Jill Biden'],1.0,13,en,14,14_biden_jill_lady_wife
16759,21259,59348,1188,http://data.gesis.org/claimskg/creative_work/9dab0ab9-54a0-552c-81fe-3a5a198831d6,First lady Jill Biden said she did not agree to marry U.S. President Joe Biden until his fifth proposal.,snopes,English,True,3,U.S. President Joe Biden,['U.S. President Joe Biden'],1.0,19,en,14,14_biden_jill_lady_wife
17222,21729,41152,2325,http://data.gesis.org/claimskg/creative_work/c3f3fefa-1800-5357-9838-03ac960777c3,Video shows child shouting an expletive at Jill Biden.,politifact,English,False,1,Jill Biden,['Jill Biden'],1.0,9,en,14,14_biden_jill_lady_wife
18563,23110,8965,2727,http://data.gesis.org/claimskg/creative_work/238e6b82-6b84-542c-8162-d1f78b5e7801,"A video shared on Twitter purportedly shows First Lady Jill Biden being interrupted at a book reading by a child shouting, Shut the f**k up.",checkyourfact,English,FALSE,1,Twitter,['Twitter'],1.0,25,en,14,14_biden_jill_lady_wife
19165,23997,9991,3753,http://data.gesis.org/claimskg/creative_work/e302b725-2dcf-5e10-8806-6b2645c41b4c,A post shared on Facebook claims First Lady Jill Biden was arrested for elder abuse.,checkyourfact,English,FALSE,1,Facebook,['Facebook'],1.0,15,en,14,14_biden_jill_lady_wife
19566,24446,9460,3222,http://data.gesis.org/claimskg/creative_work/a1767f34-cc25-5db6-85ad-6eb4a2935e93,A video shared on Facebook claims President Joe Biden has filed for divorce from his wife and First Lady Jill Biden.,checkyourfact,English,FALSE,1,Facebook,['Facebook'],1.0,21,en,14,14_biden_jill_lady_wife
20379,25312,15424,4076,http://data.gesis.org/claimskg/creative_work/94f599ad-f15c-596c-a906-61414d554beb,Jill and Joe Biden's love story started when Jill was 15,factcheck_afp,English,FALSE,1,Joe Biden,['Joe Biden'],1.0,11,en,14,14_biden_jill_lady_wife
21330,26320,7822,1584,http://data.gesis.org/claimskg/creative_work/2ace7746-59ff-597a-b010-0e14b873029a,A photo shared on Facebook purports First Lady Dr. Jill Biden said she would have been fine if her mother had wanted to abort her.,checkyourfact,English,FALSE,1,Facebook,['Facebook'],1.0,25,en,14,14_biden_jill_lady_wife
22976,28124,11573,225,http://data.gesis.org/claimskg/creative_work/5df5e0ae-d956-5dcb-8239-65618decd73c,Jill Biden added a satanic mirror to holiday decor,factcheck_afp,English,FALSE,1,Jill Biden,['Jill Biden'],1.0,9,en,14,14_biden_jill_lady_wife
23820,29075,44727,5900,http://data.gesis.org/claimskg/creative_work/3f713c73-2993-5cec-8692-f55674c031dd,"Joe Biden said of Jill Biden, She was 12, I was 30.",politifact,English,False,1,"Jill Biden, Joe Biden","['Jill Biden', ' Joe Biden']",2.0,12,en,14,14_biden_jill_lady_wife
25469,30728,7263,1025,http://data.gesis.org/claimskg/creative_work/8324ec7d-dafa-52ce-9d4b-51d22ec33b0a,An image shared on Facebook allegedly shows First Lady Jill Biden wearing a lobster jacket to an event.,checkyourfact,English,FALSE,1,"Facebook, lobster","['Facebook', ' lobster']",2.0,18,en,14,14_biden_jill_lady_wife
27833,33109,8205,1967,http://data.gesis.org/claimskg/creative_work/80f05aa2-b3d5-543c-b3ca-f081197a214f,An image shared on Facebook claims President Joe Biden started a physical relationship with First Lady Jill Biden while she was his teenage baby sitter and his first wife was hospitalized.,checkyourfact,English,FALSE,1,"Facebook, baby sitter","['Facebook', ' baby sitter']",2.0,31,en,14,14_biden_jill_lady_wife
30104,35401,67045,5016,http://data.gesis.org/claimskg/creative_work/884f223a-6a20-5b8d-a35f-fa3a32f4e0e9,A child yelled shut the fuck up at first lady Jill Biden as she read a story during a Christmas celebration.,snopes,English,False,1,"Christmas, Jill Biden","['Christmas', ' Jill Biden']",2.0,21,en,14,14_biden_jill_lady_wife
34088,39418,58796,636,http://data.gesis.org/claimskg/creative_work/fd56865f-9d4b-551d-92d7-f9b1a94418ea,Jill Biden is the oldest woman to become first lady of the United States.,snopes,English,True,3,"Jill Biden, United States","['Jill Biden', ' United States']",2.0,14,en,14,14_biden_jill_lady_wife
41465,47348,43098,4271,http://data.gesis.org/claimskg/creative_work/36d7c4cd-6afb-5880-ad06-4e9cc38a5702,Jill Biden was a teenage babysitter for Joe Biden’s family.,politifact,English,False,1,"Jill Biden, Joe Biden","['Jill Biden', ' Joe Biden']",2.0,10,en,14,14_biden_jill_lady_wife
44698,50750,60777,2617,http://data.gesis.org/claimskg/creative_work/abc2bce2-9be7-5bdc-bdc2-ca49b33cddac,"A photograph shows First Lady Jill Biden deplaning in black patterned hosiery, ankle boots, and a skirt.",snopes,English,True,3,"Jill Biden, ankle boots, hosiery","['Jill Biden', ' ankle boots', ' hosiery']",3.0,17,en,14,14_biden_jill_lady_wife
45566,51715,62075,46,http://data.gesis.org/claimskg/creative_work/0ec1bc52-ed2a-5dc1-acab-e34a263ce17a,First lady Jill Biden was a teenager working as the Biden family babysitter when she started dating President Joe Biden.,snopes,English,False,1,"Biden family, Jill Biden, President Joe Biden","['Biden family', ' Jill Biden', ' President Joe Biden']",3.0,20,en,14,14_biden_jill_lady_wife
46653,52830,72837,1551,http://data.gesis.org/claimskg/creative_work/43b75741-16b2-5760-ac1e-862a61d3c9aa,"Dr. Jill Biden is not a medical doctor, and is thus erroneously using the title, Dr.",snopes,English,MIXTURE,2,"Dr., Dr. Jill Biden, medical doctor","['Dr.', ' Dr. Jill Biden', ' medical doctor']",3.0,16,en,14,14_biden_jill_lady_wife
48026,54215,68884,6855,http://data.gesis.org/claimskg/creative_work/b21b15b2-6ceb-5ca9-a595-9ed1115f6543,"On March 31, 2021, first lady Jill Biden stood in front of a Nazi-inspired flag while giving a speech to farmworkers.",snopes,English,False,1,"Jill Biden, March 31, Nazi-inspired","['Jill Biden', ' March 31', ' Nazi-inspired']",3.0,21,en,14,14_biden_jill_lady_wife
49593,55952,70374,8345,http://data.gesis.org/claimskg/creative_work/57840ce8-fe07-5da1-8c75-738c2ef21068,A picture shows U.S. first lady Jill Biden wearing an outfit with a lobster pattern.,snopes,English,False,1,"Jill Biden, U.S. first lady, lobster","['Jill Biden', ' U.S. first lady', ' lobster']",3.0,15,en,14,14_biden_jill_lady_wife
49808,56172,70898,8869,http://data.gesis.org/claimskg/creative_work/55723030-58d9-5e19-9be0-75f39a4fd622,U.S. Sen. Mitt Romney tweeted that first lady Jill Biden should get an Oscar for portraying an Alzheimer's care giver posing as a loving wife.,snopes,English,False,1,"Alzheimer's, Jill Biden, Sen. Mitt Romney","[""Alzheimer's"", ' Jill Biden', ' Sen. Mitt Romney']",3.0,25,en,14,14_biden_jill_lady_wife
56501,62981,61154,2994,http://data.gesis.org/claimskg/creative_work/488afd7e-d39c-5e32-8c40-332fd9a05eeb,A photograph captures former second lady Jill Biden lunging to protect Joe Biden from protesters during a 2020 presidential campaign event.,snopes,English,True,3,"2020, Jill Biden, Joe Biden, presidential campaign event","['2020', ' Jill Biden', ' Joe Biden', ' presidential campaign event']",4.0,21,en,14,14_biden_jill_lady_wife
59221,65781,15167,3819,http://data.gesis.org/claimskg/creative_work/a5b811f0-3bad-54ea-a29e-4120d3fb0f68,"Jill Biden was not at the White House to receive a Christmas tree on November 22, 2021",factcheck_afp,English,FALSE,1,"Christmas tree, Jill Biden, November 22, White House","['Christmas tree', ' Jill Biden', ' November 22', ' White House']",4.0,17,en,14,14_biden_jill_lady_wife
60088,66725,75373,1026,http://data.gesis.org/claimskg/creative_work/dc9290aa-e81f-5024-bcd8-d27b0447afdc,"U.S. President Joe Biden and first lady Jill Biden were booed during their pre-recorded statement that aired just before the Super Bowl game on Feb. 7, 2021.",snopes,English,OTHER,-1,"Jill Biden, Super Bowl, U.S. President Joe Biden, pre-recorded","['Jill Biden', ' Super Bowl', ' U.S. President Joe Biden', ' pre-recorded']",4.0,27,en,14,14_biden_jill_lady_wife
60404,67058,61819,3659,http://data.gesis.org/claimskg/creative_work/48a63252-e4ed-5556-8001-fae4a68af33c,"An odd photograph of U.S. President Joe Biden, first lady Jill Biden, former President Jimmy Carter, and former first lady Rosalynn Carter is genuine.",snopes,English,True,3,"Jill Biden, President Jimmy Carter, Rosalynn Carter, U.S. President Joe Biden","['Jill Biden', ' President Jimmy Carter', ' Rosalynn Carter', ' U.S. President Joe Biden']",4.0,24,en,14,14_biden_jill_lady_wife
60465,67120,7424,1186,http://data.gesis.org/claimskg/creative_work/4d1d0587-fc9d-5f30-8027-d63688d40ff7,An image shared on Facebook purportedly shows first lady Jill Biden modeling a black dress and cheetah print jacket.,checkyourfact,English,FALSE,1,"Facebook, Jill Biden, black dress, cheetah print","['Facebook', ' Jill Biden', ' black dress', ' cheetah print']",4.0,19,en,14,14_biden_jill_lady_wife
63445,70308,6571,333,http://data.gesis.org/claimskg/creative_work/281dcab6-9078-5006-bdb2-0238a2057142,"A viral Facebook post shared more than 14,000 times claims that Dr. Jill Biden, the wife of Democratic presidential nominee Joe Biden, said I can’t believe people are so mean to make fun of Joe when he gets lost for words, don’t they know he has had 3 STROKES?",checkyourfact,English,FALSE,1,"14,000, Democratic presidential nominee, Facebook, Joe Biden","['14', '000', ' Democratic presidential nominee', ' Facebook', ' Joe Biden']",5.0,49,en,14,14_biden_jill_lady_wife
64241,71140,8066,1828,http://data.gesis.org/claimskg/creative_work/3e62323f-d169-5b0d-b120-a8065126e5dc,"An image shared on Facebook purportedly shows Jill Biden, the wife of Democratic presidential nominee Joe Biden, posing with the late Cuban dictator Fidel Castro.",checkyourfact,English,FALSE,1,"Cuban, Facebook, Fidel Castro, Jill Biden, Joe Biden","['Cuban', ' Facebook', ' Fidel Castro', ' Jill Biden', ' Joe Biden']",5.0,25,en,14,14_biden_jill_lady_wife
