Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,claim,text,organization,lang_name,rating_label,rating_value,entity_strings,entities,nr_entities,num_words,probable_lang,Topic,Topic Name
11859,16215,44591,5764,http://data.gesis.org/claimskg/creative_work/171b818b-bf9d-5f8c-9d26-a00bab1042fe,Video shows there weren’t Marines present during a recent speech by Joe Biden.,politifact,English,False,1,Joe Biden,['Joe Biden'],1.0,13,en,16,16_biden_pelosis_marines_marine
12883,17251,54197,6327,http://data.gesis.org/claimskg/creative_work/423b20ac-355a-5ebf-849f-80d84f1fd5c3,Says Joe Biden disrespects servicemen in telling them to clap for that you stupid bastards.,politifact,English,MIXTURE,2,Joe Biden,['Joe Biden'],1.0,15,en,16,16_biden_pelosis_marines_marine
17514,22024,40520,1693,http://data.gesis.org/claimskg/creative_work/cb36c2c5-fb58-5d1c-9915-47f8f56d85d7,U.S. veteran group rescued Afghan allies behind Biden’s back.,politifact,English,False,1,U.S.,['U.S.'],1.0,9,en,16,16_biden_pelosis_marines_marine
25007,30265,11897,549,http://data.gesis.org/claimskg/creative_work/34477a30-1a3b-521c-8aa7-7eaa392695ed,"US Marines at Joe Biden's September 1, 2022 speech were not real",factcheck_afp,English,FALSE,1,"Joe Biden, US Marines","['Joe Biden', ' US Marines']",2.0,12,en,16,16_biden_pelosis_marines_marine
26934,32202,9340,3102,http://data.gesis.org/claimskg/creative_work/1db7af48-3fcb-5992-b2c2-1779b63e5e18,"A post shared on Facebook claims President Joe Biden said about Americans evacuating from Afghanistan: F*** them. If they die, we’ll blame Trump.",checkyourfact,English,FALSE,1,"Afghanistan, President Joe Biden","['Afghanistan', ' President Joe Biden']",2.0,23,en,16,16_biden_pelosis_marines_marine
27205,32475,9392,3154,http://data.gesis.org/claimskg/creative_work/27553b64-abae-59c7-bc05-40f5eb33c1b4,"A video shared on Facebook purportedly shows several helicopters flying over Washington, D.C. on Jan. 15 in preparation for President Joe Biden’s inauguration.",checkyourfact,English,FALSE,1,"Facebook, President Joe Biden","['Facebook', ' President Joe Biden']",2.0,23,en,16,16_biden_pelosis_marines_marine
37178,42583,16065,4717,http://data.gesis.org/claimskg/creative_work/37516628-8275-5ecb-ae7f-1cb399c58df3,Biden did not attend arrival of troops killed in Afghanistan,factcheck_afp,English,FALSE,1,"Biden, killed in Afghanistan","['Biden', ' killed in Afghanistan']",2.0,10,en,16,16_biden_pelosis_marines_marine
37751,43172,40291,1464,http://data.gesis.org/claimskg/creative_work/3b693fed-9806-5bf7-ad6e-fdd2160d3419,President Joe Biden employed actors to portray Marine guards during a Sept. 1 speech.,politifact,English,False,1,"Marine guards, President Joe Biden","['Marine guards', ' President Joe Biden']",2.0,14,en,16,16_biden_pelosis_marines_marine
38368,43802,14737,3389,http://data.gesis.org/claimskg/creative_work/9ead4b25-ec7f-5c3b-8387-b00f66d6fef6,National Guard troops snubbed Biden on Inauguration day,factcheck_afp,English,FALSE,1,"Inauguration day, National Guard","['Inauguration day', ' National Guard']",2.0,8,en,16,16_biden_pelosis_marines_marine
44378,50425,61666,3506,http://data.gesis.org/claimskg/creative_work/fa1f813b-9f97-5050-a2a6-8f3e96d8fc42,U.S. President Biden checked his watch multiple times during the dignified transfer of fallen soldiers from Afghanistan.,snopes,English,True,3,"Afghanistan, U.S. President Biden, fallen soldiers","['Afghanistan', ' U.S. President Biden', ' fallen soldiers']",3.0,17,en,16,16_biden_pelosis_marines_marine
