Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,claim,text,organization,lang_name,rating_label,rating_value,entity_strings,entities,nr_entities,num_words,probable_lang,Topic,Topic Name
741,2754,43773,4946,http://data.gesis.org/claimskg/creative_work/78c0e899-7769-583a-8f38-23546c769f69,Biden is currently sending more military equipment to our neighborhoods than Trump did.,politifact,English,False,1,,,0.0,13,en,17,17_amendment_biden_militia_guns
2402,4488,39766,939,http://data.gesis.org/claimskg/creative_work/686ced74-c285-5c58-b101-c5fc1723ca96,President Biden says he wants to ban handguns.,politifact,English,False,1,,,0.0,8,en,17,17_amendment_biden_militia_guns
13469,17845,46311,7484,http://data.gesis.org/claimskg/creative_work/aa2bd6e5-9c6c-59f5-a275-e451f02a3dcf,President Joe Biden threatened to swoop down with Special Forces folks and gather up every gun in America.,politifact,English,False,1,Joe Biden,['Joe Biden'],1.0,18,en,17,17_amendment_biden_militia_guns
19147,23977,13249,1901,http://data.gesis.org/claimskg/creative_work/11ef476a-7b36-53b8-b6fc-e70d6e84e23d,Joe Biden wants to take people's guns away,factcheck_afp,English,FALSE,1,Joe Biden,['Joe Biden'],1.0,8,en,17,17_amendment_biden_militia_guns
24400,29656,45159,6332,http://data.gesis.org/claimskg/creative_work/14df1df2-1b0b-5601-b9d1-3446b914b250,Joe Biden uses the ATF to illegally track your gun transactions.,politifact,English,False,1,"ATF, Joe Biden","['ATF', ' Joe Biden']",2.0,11,en,17,17_amendment_biden_militia_guns
26013,31276,7190,952,http://data.gesis.org/claimskg/creative_work/9e11e740-80ea-5328-b25c-a8f8e51a51f0,President Joe Biden claimed in May 30 remarks that individuals could not buy cannons when the Second Amendment was enacted in 1791.,checkyourfact,English,FALSE,1,"Joe Biden, Second Amendment","['Joe Biden', ' Second Amendment']",2.0,22,en,17,17_amendment_biden_militia_guns
26874,32142,9516,3278,http://data.gesis.org/claimskg/creative_work/2b6c44a2-59be-5591-a9f5-131bba01b05f,A video shared on Facebook purportedly shows President Joe Biden stating that the government will gather up every gun in America.,checkyourfact,English,FALSE,1,"Facebook, President Joe Biden","['Facebook', ' President Joe Biden']",2.0,21,en,17,17_amendment_biden_militia_guns
31114,36419,76493,2146,http://data.gesis.org/claimskg/creative_work/3b625d67-0dbf-54c8-a14c-a7b689659adf,Joe Biden declared that the Second Amendment is obsolete.,snopes,English,OTHER,-1,"Joe Biden, Second Amendment","['Joe Biden', ' Second Amendment']",2.0,9,en,17,17_amendment_biden_militia_guns
32137,37452,74035,2749,http://data.gesis.org/claimskg/creative_work/83f6f26b-062d-5bc7-84a7-4a4aae680eb3,"Former Vice President Joe Biden once said, [If] you want to keep someone away from your house, just fire the shotgun through the door.",snopes,English,MIXTURE,2,"Vice President Joe Biden, shotgun","['Vice President Joe Biden', ' shotgun']",2.0,24,en,17,17_amendment_biden_militia_guns
32840,38160,61827,3667,http://data.gesis.org/claimskg/creative_work/c2b22f47-738f-5cbe-bbb7-dbc70be23c87,"U.S. President Joe Biden said, Do you realize the bullet out of an AR-15 travels five times as rapidly as a bullet shot out of any other gun... ?",snopes,English,True,3,"AR-15, U.S. President Joe Biden","['AR-15', ' U.S. President Joe Biden']",2.0,29,en,17,17_amendment_biden_militia_guns
41020,46899,41859,3032,http://data.gesis.org/claimskg/creative_work/fda5d5f5-2052-5411-89a4-4f725b7ec442,Says Joe Biden wants to ban 9mm pistols.,politifact,English,False,1,"9mm, Joe Biden","['9mm', ' Joe Biden']",2.0,8,en,17,17_amendment_biden_militia_guns
41960,47856,42014,3187,http://data.gesis.org/claimskg/creative_work/286e671c-6ad3-53d8-a027-242847901bf0,Says Joe Biden stuck a gun in an elderly woman’s mouth at a Wisconsin rally,politifact,English,False,1,"Joe Biden, Wisconsin","['Joe Biden', ' Wisconsin']",2.0,15,en,17,17_amendment_biden_militia_guns
43992,50037,61427,3267,http://data.gesis.org/claimskg/creative_work/4f3ee121-d42b-5f81-9add-6033f44c3661,Linn County Sheriff Tim Mueller sent a letter to Vice President Biden stating that he would not enforce any unconstitutional regulations regarding gun rights.,snopes,English,True,3,"Linn County, Vice President Biden, gun rights","['Linn County', ' Vice President Biden', ' gun rights']",3.0,24,en,17,17_amendment_biden_militia_guns
44557,50607,47296,8469,http://data.gesis.org/claimskg/creative_work/4daf1553-9799-5e34-8f27-416f945dff5a,The Biden administration wants to create an international oversight committee to alter or cancel Second Amendment rights.,politifact,English,False,1,"Biden administration, Second Amendment, oversight committee","['Biden administration', ' Second Amendment', ' oversight committee']",3.0,17,en,17,17_amendment_biden_militia_guns
48332,54564,69544,7515,http://data.gesis.org/claimskg/creative_work/fd82623d-5f2c-5ea0-98ee-e0c9b3115940,"On April 8, 2021, U.S. President Joe Biden said the Second Amendment of the U.S. Constitution is a phony argument.",snopes,English,False,1,"April 8, Second Amendment, U.S. Constitution","['April 8', ' Second Amendment', ' U.S. Constitution']",3.0,20,en,17,17_amendment_biden_militia_guns
49294,55623,43157,4330,http://data.gesis.org/claimskg/creative_work/47e30499-cdee-58f4-9188-4c119c713bb7,The Biden administration gifted the Taliban with $80 billion-plus in military-grade weapons but now wants your 9mm pistols.,politifact,English,False,1,"9mm, Biden administration, Taliban","['9mm', ' Biden administration', ' Taliban']",3.0,18,en,17,17_amendment_biden_militia_guns
49429,55783,71971,685,http://data.gesis.org/claimskg/creative_work/6c138c52-0f93-5659-ae24-e856fba3231c,"In 2021, the Biden administration urged the U.S. Supreme Court to allow police to seize guns from homes without warrants.",snopes,English,MIXTURE,2,"Biden administration, U.S. Supreme Court, seize guns","['Biden administration', ' U.S. Supreme Court', ' seize guns']",3.0,20,en,17,17_amendment_biden_militia_guns
54759,61168,58451,291,http://data.gesis.org/claimskg/creative_work/03c8f126-8f3c-5532-a837-c4add87d947f,"Joe Biden said, With regard to the filibuster, I believe we should go back to the position of the filibuster that existed just when I came to the United States Senate 120 years ago.",snopes,English,True,3,"120 years, Joe Biden, United States Senate","['120 years', ' Joe Biden', ' United States Senate']",3.0,34,en,17,17_amendment_biden_militia_guns
