Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,claim,text,organization,lang_name,rating_label,rating_value,entity_strings,entities,nr_entities,num_words,probable_lang,Topic,Topic Name
245,2169,17082,5734,http://data.gesis.org/claimskg/creative_work/b70a983e-42ad-550e-a303-4bf068e0188e,"Middle class incomes grew $6,000 under Trump, fell under Biden",factcheck_afp,English,MIXTURE,2,,,0.0,10,en,18,18_biden_inflation_trillion_incomes
921,2937,49700,1830,http://data.gesis.org/claimskg/creative_work/b6d9638c-a6aa-51d5-9d4c-b6d4a2ee7e62,"Iowans are paying $5,000 extra for everyday goods under Biden and Axne’s inflation.",politifact,English,MIXTURE,2,,,0.0,13,en,18,18_biden_inflation_trillion_incomes
1120,3138,47866,9039,http://data.gesis.org/claimskg/creative_work/225c5554-5ed1-5c22-b0e8-f17113775541,"In manufacturing, I brought back 700,000 jobs. (Obama and Biden) brought back nothing.",politifact,English,False,1,,,0.0,13,en,18,18_biden_inflation_trillion_incomes
2174,4254,13951,2603,http://data.gesis.org/claimskg/creative_work/0e927efa-89c0-54bd-a336-11e661b2b211,Trump lost as many jobs as Biden gained during his first five months,factcheck_afp,English,FALSE,1,,,0.0,13,en,18,18_biden_inflation_trillion_incomes
5464,9655,55500,7630,http://data.gesis.org/claimskg/creative_work/cf5eb49d-9659-5974-81d9-923c8aca0ad0,People are 7% poorer now because of Biden inflation.,politifact,English,MIXTURE,2,,,0.0,9,en,18,18_biden_inflation_trillion_incomes
5693,9895,53990,6120,http://data.gesis.org/claimskg/creative_work/b4ed725b-010d-5d5b-9b87-9e844fee813d,Welcome 2 Pres Biden’s America where inflation is costing households an extra $175 a month.,politifact,English,MIXTURE,2,,,0.0,15,en,18,18_biden_inflation_trillion_incomes
11882,16238,44943,6116,http://data.gesis.org/claimskg/creative_work/5da28ea4-0dd7-5063-8491-b2797441fb67,Says Joe Biden and Democrats have done absolutely nothing to help families struggling to keep up with inflation.,politifact,English,False,1,Joe Biden,['Joe Biden'],1.0,18,en,18,18_biden_inflation_trillion_incomes
12843,17211,54190,6320,http://data.gesis.org/claimskg/creative_work/fc0007ed-70a5-5c11-9de9-e48c075fa7b3,Joe Biden's $4 trillion Build Back Better bill is the largest expansion of welfare programs in 60 years.,politifact,English,MIXTURE,2,Joe Biden,['Joe Biden'],1.0,18,en,18,18_biden_inflation_trillion_incomes
13565,17942,49486,1616,http://data.gesis.org/claimskg/creative_work/69666bbb-2dc8-5dc1-843a-0acb22d067e4,President Biden has created more jobs in his first 7 months than any POTUS in history.,politifact,English,MIXTURE,2,POTUS,['POTUS'],1.0,16,en,18,18_biden_inflation_trillion_incomes
15818,20252,56713,8843,http://data.gesis.org/claimskg/creative_work/b43f2c76-24e2-56bd-bf88-589b08b4e219,Joe Biden inherited inflation of 1.7%. Now we're well over 8% and growing.,politifact,English,MIXTURE,2,Joe Biden,['Joe Biden'],1.0,13,en,18,18_biden_inflation_trillion_incomes
