Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,claim,text,organization,lang_name,rating_label,rating_value,entity_strings,entities,nr_entities,num_words,probable_lang,Topic,Topic Name
8849,13182,31210,2063,http://data.gesis.org/claimskg/creative_work/1720dabe-21f2-5937-bf99-91e03eefc920,Joe Biden: Lazy American Women to Blame for Economy,truthorfiction,English,FALSE,1,Joe Biden,['Joe Biden'],1.0,9,en,19,19_biden_vietnam_refugees_reagans
11940,16296,44801,5974,http://data.gesis.org/claimskg/creative_work/b1a6fc98-4bef-5797-b8f1-776ce6843331,Says the Biden administration labeled Libertarians terrorists.,politifact,English,False,1,Biden administration,['Biden administration'],1.0,7,en,19,19_biden_vietnam_refugees_reagans
13048,17418,43526,4699,http://data.gesis.org/claimskg/creative_work/7ed9d6dd-cd51-5b43-bbb8-49427d8fa3c3,Says Joe Biden is a socialist.,politifact,English,False,1,Joe Biden,['Joe Biden'],1.0,6,en,19,19_biden_vietnam_refugees_reagans
15143,19532,52185,4315,http://data.gesis.org/claimskg/creative_work/2b721fdd-0774-557b-9542-90251aea0bed,Says Joe Biden supported the Castro regime and meeting with Maduro.,politifact,English,MIXTURE,2,Joe Biden,['Joe Biden'],1.0,11,en,19,19_biden_vietnam_refugees_reagans
35335,40679,62484,455,http://data.gesis.org/claimskg/creative_work/df4e1c6c-a678-509f-976d-192234eb901a,"Vice President Joe Biden said in a speech that lazy American women brought about the downfall of the economy because they sit around on their behinds, doing nothing.",snopes,English,False,1,"American women, Vice President Joe Biden","['American women', ' Vice President Joe Biden']",2.0,28,en,19,19_biden_vietnam_refugees_reagans
36458,41829,37338,1026,http://data.gesis.org/claimskg/creative_work/b452c343-c6c3-5120-b4d7-23835d1081ab,"Says Joe Biden said Jon Corzine is the smartest guy that I know, in terms of the economy and on finance, I really mean this.",politifact,English,True,3,"Joe Biden, Jon Corzine","['Joe Biden', ' Jon Corzine']",2.0,25,en,19,19_biden_vietnam_refugees_reagans
42119,48017,41396,2569,http://data.gesis.org/claimskg/creative_work/270538b1-dfa1-5569-b96f-4dba2ad99678,"Dave McCormick is liberal, pro-Biden, pro-China.",politifact,English,False,1,"China, Dave McCormick","['China', ' Dave McCormick']",2.0,6,en,19,19_biden_vietnam_refugees_reagans
44085,50130,61216,3056,http://data.gesis.org/claimskg/creative_work/05243bdc-1c63-5a70-a304-624e6bbb35be,U.S. President Donald Trump said that the stock market would crash if Joe Biden was elected president.,snopes,English,True,3,"Joe Biden, U.S. President Donald Trump, stock market","['Joe Biden', ' U.S. President Donald Trump', ' stock market']",3.0,17,en,19,19_biden_vietnam_refugees_reagans
50344,56718,7099,861,http://data.gesis.org/claimskg/creative_work/e82242d5-2110-5c21-b430-12be5a8e8b56,An image shared on Facebook purportedly shows an article from The Atlantic titled The Quiet Courage of Biden’s Negative Growth Economy.,checkyourfact,English,FALSE,1,"Biden, Facebook, The Atlantic","['Biden', ' Facebook', ' The Atlantic']",3.0,21,en,19,19_biden_vietnam_refugees_reagans
50542,56917,48409,539,http://data.gesis.org/claimskg/creative_work/fab69333-3b0c-5510-a244-67e623347413,"Says Joe Biden said: If Haiti just quietly sunk into the Caribbean, or rose up 300 feet, it wouldn’t matter a whole lot in terms of our interests.",politifact,English,MIXTURE,2,"Caribbean, Haiti, Joe Biden","['Caribbean', ' Haiti', ' Joe Biden']",3.0,28,en,19,19_biden_vietnam_refugees_reagans
52162,58548,14278,2930,http://data.gesis.org/claimskg/creative_work/d42936c3-df0e-59fa-ba84-a2ecaed421ee,Atlantic article touts quiet courage of Biden's negative growth economy,factcheck_afp,English,FALSE,1,"Atlantic, Biden, growth economy","['Atlantic', ' Biden', ' growth economy']",3.0,10,en,19,19_biden_vietnam_refugees_reagans
56963,63463,39155,328,http://data.gesis.org/claimskg/creative_work/b62ea465-93de-5de6-9c6d-0cd28ca67d35,Says Joe Biden has written a letter of apology for calling Trump’s travel restrictions from China xenophobic.,politifact,English,False,1,"China, Joe Biden, written a letter, xenophobic","['China', ' Joe Biden', ' written a letter', ' xenophobic']",4.0,17,en,19,19_biden_vietnam_refugees_reagans
57423,63930,60373,2213,http://data.gesis.org/claimskg/creative_work/09d7d07e-6233-5b59-b904-4bc7f23d360f,"During a 2008 interview, then-vice presidential candidate Joe Biden said Franklin D. Roosevelt got on the television when the stock market crashed in 1929.",snopes,English,True,3,"2008, Franklin D. Roosevelt, presidential candidate Joe Biden, stock market crashed in 1929","['2008', ' Franklin D. Roosevelt', ' presidential candidate Joe Biden', ' stock market crashed in 1929']",4.0,24,en,19,19_biden_vietnam_refugees_reagans
60851,67525,2930,2930,http://data.gesis.org/claimskg/creative_work/5d34b303-edfc-5f48-bf73-8d18be039843,"Even the president of [the United States] of America, Joe Biden, has confirmed that the trickle-down economic model has failed.",africacheck,English,TRUE,3,"Joe Biden, United States, economic model, trickle-down","['Joe Biden', ' United States', ' economic model', ' trickle-down']",4.0,20,en,19,19_biden_vietnam_refugees_reagans
61936,68658,39047,220,http://data.gesis.org/claimskg/creative_work/49252fd5-8e4a-544a-9d85-f1d2831d0614,Says CNN reported that Joe Biden authorized a U.S. intervention in Haiti after the assassination of President Jovenel Moïse.,politifact,English,False,1,"CNN, Haiti, Joe Biden, U.S. intervention, assassination of President Jovenel Moïse","['CNN', ' Haiti', ' Joe Biden', ' U.S. intervention', ' assassination of President Jovenel Moïse']",5.0,19,en,19,19_biden_vietnam_refugees_reagans
62029,68751,50289,2419,http://data.gesis.org/claimskg/creative_work/f21e091c-b547-5f04-9972-3f62be933ed7,"Says Joe Biden voted for the Iraq War ... He supported war in Serbia, Syria, Libya.",politifact,English,MIXTURE,2,"Iraq War, Joe Biden, Libya, Serbia, Syria","['Iraq War', ' Joe Biden', ' Libya', ' Serbia', ' Syria']",5.0,16,en,19,19_biden_vietnam_refugees_reagans
62300,69022,49552,1682,http://data.gesis.org/claimskg/creative_work/236a123d-7bfa-5d43-b060-ae218d3a91d2,"In 1975, then-U.S. Sen. Joe Biden opposed efforts by President Gerald Ford to aid South Vietnam and evacuate refugees.",politifact,English,MIXTURE,2,"1975, Joe Biden, President Gerald Ford, South Vietnam, U.S. Sen","['1975', ' Joe Biden', ' President Gerald Ford', ' South Vietnam', ' U.S. Sen']",5.0,19,en,19,19_biden_vietnam_refugees_reagans
63928,70817,72023,737,http://data.gesis.org/claimskg/creative_work/cf035610-5e87-5bbb-bf97-7a4f1806c66f,"In 1975, then-U.S. Sen. Joe Biden blocked aid to South Vietnam and did not allow admittance of Vietnamese refugees into the United States.",snopes,English,MIXTURE,2,"Joe Biden, South Vietnam, U.S. Sen, United States, Vietnamese refugees","['Joe Biden', ' South Vietnam', ' U.S. Sen', ' United States', ' Vietnamese refugees']",5.0,23,en,19,19_biden_vietnam_refugees_reagans
65579,72575,56821,8951,http://data.gesis.org/claimskg/creative_work/d6f12dae-954e-5fb0-a9f7-4fc901b55ea8,"On foreign policy, Joe Biden was against aid for Vietnam, said the fall of the Shah was a step forward for human rights in Iran, opposed Reagan's defense build-up and voted against the first Gulf War.",politifact,English,MIXTURE,2,"Joe Biden, Reagan, Vietnam, fall of the Shah, foreign policy, human rights in Iran, voted against the first Gulf War","['Joe Biden', ' Reagan', ' Vietnam', ' fall of the Shah', ' foreign policy', ' human rights in Iran', ' voted against the first Gulf War']",7.0,36,en,19,19_biden_vietnam_refugees_reagans
