Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,claim,text,organization,lang_name,rating_label,rating_value,entity_strings,entities,nr_entities,num_words,probable_lang,Topic,Topic Name
148,1253,17620,6272,http://data.gesis.org/claimskg/creative_work/b06334b5-05dc-5331-9e11-a7246f6ac94d,Biden's first address to congress had 11.6 million viewers,factcheck_afp,English,FALSE,1,,,0.0,9,en,1,1_biden_votes_ballots_voters
674,2683,44325,5498,http://data.gesis.org/claimskg/creative_work/f8e38811-b81c-5baf-a943-7fd305922898,"6 states will cast their (electoral) votes for Trump AND for Biden, which will lead to a second Trump term.",politifact,English,False,1,,,0.0,20,en,1,1_biden_votes_ballots_voters
4598,8748,53818,5948,http://data.gesis.org/claimskg/creative_work/c5893e19-ca2b-514d-82b8-b294aeda6996,"Officials in Fairfax, Va., gave 100,000 Trump votes to Biden.",politifact,English,MIXTURE,2,,,0.0,10,en,1,1_biden_votes_ballots_voters
8123,12432,63461,1432,http://data.gesis.org/claimskg/creative_work/ef1f1d26-582a-50fc-9a0c-4b702c8bd4e7,"President-elect Joe Biden's campaign directed elections officials to consider ballots valid even if they are fake, manipulated, or cast by ineligible or deceased voters.",snopes,English,False,1,Joe Biden's campaign,"[""Joe Biden's campaign""]",1.0,24,en,1,1_biden_votes_ballots_voters
11496,15848,69703,7674,http://data.gesis.org/claimskg/creative_work/31b62a78-79f6-5d57-9f71-64fad3f5a5c3,U.S. President Joe Biden's use of cheat sheets or instructions at public events is an unusual practice.,snopes,English,False,1,U.S. President Joe Biden,['U.S. President Joe Biden'],1.0,17,en,1,1_biden_votes_ballots_voters
12166,16523,44284,5457,http://data.gesis.org/claimskg/creative_work/9b83ec26-bbdb-53c6-a335-f661bd7baee5,"Wisconsin took a break, and when they returned, Biden coincidentally came back ahead by 100k.",politifact,English,False,1,Wisconsin,['Wisconsin'],1.0,15,en,1,1_biden_votes_ballots_voters
12323,16685,46237,7410,http://data.gesis.org/claimskg/creative_work/a8eeb5a4-69c7-5251-9356-7328876fafc9,Facebook video shows counting Biden’s votes at 2 a.m.,politifact,English,False,1,Facebook,['Facebook'],1.0,9,en,1,1_biden_votes_ballots_voters
12475,16839,45083,6256,http://data.gesis.org/claimskg/creative_work/bc05ac4f-b5c4-546d-8cb6-c60a5969dab0,The MOB in PA was HIRED by the Biden team to create fake ballots by the thousands!!,politifact,English,False,1,Biden,['Biden'],1.0,17,en,1,1_biden_votes_ballots_voters
12533,16898,45606,6779,http://data.gesis.org/claimskg/creative_work/026fdcbc-07b4-50c2-ae27-63bd20247f54,"At least 450,000 ballots in the key states ... miraculously only have a mark for Joe Biden on them, and no other candidate.",politifact,English,False,1,Joe Biden,['Joe Biden'],1.0,23,en,1,1_biden_votes_ballots_voters
13121,17491,43320,4493,http://data.gesis.org/claimskg/creative_work/595eae4d-9e54-526e-9344-2dc95040ebd2,President Joe Biden has the lowest approval rating of any president ever.,politifact,English,False,1,Joe Biden,['Joe Biden'],1.0,12,en,1,1_biden_votes_ballots_voters
13252,17623,43711,4884,http://data.gesis.org/claimskg/creative_work/4bf99f6c-24aa-5dd6-ac22-2740392d2b01,Wisconsin 2020 election investigation finds more illegal votes were cast than Biden's margin of victory.,politifact,English,False,1,Wisconsin,['Wisconsin'],1.0,15,en,1,1_biden_votes_ballots_voters
15219,19610,57362,9492,http://data.gesis.org/claimskg/creative_work/c9e20dc4-a87b-586d-a66d-490d41caaca8,11.6 million people watched Biden’s first presidential address to Congress while far larger audiences watched Donald Trump’s speeches.,politifact,English,MIXTURE,2,Donald Trump,['Donald Trump'],1.0,18,en,1,1_biden_votes_ballots_voters
16517,20998,58159,289,http://data.gesis.org/claimskg/creative_work/b52c33e9-f2ff-5d40-9d0a-4ef828b98332,On the legitimacy of President Joe Biden's election.,politifact,English,OTHER,-1,President Joe Biden,['President Joe Biden'],1.0,8,en,1,1_biden_votes_ballots_voters
