Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,claim,text,organization,lang_name,rating_label,rating_value,entity_strings,entities,nr_entities,num_words,probable_lang,Topic,Topic Name
5114,9288,6350,112,http://data.gesis.org/claimskg/creative_work/506dd0f0-ba11-52e2-8340-c5757a097efb,President Joe Biden claimed in a forum Oct. 23 that he signed a law into effect regarding student loan debt forgiveness.,checkyourfact,English,FALSE,1,,,0.0,21,en,20,20_biden_loans_funding_funded
9767,14108,76024,1677,http://data.gesis.org/claimskg/creative_work/a4757588-326d-56bf-a4da-e6cecbf6fab1,U.S. President Joe Biden said he plans to forgive all student loan debt.,snopes,English,OTHER,-1,student loan debt,['student loan debt'],1.0,13,en,20,20_biden_loans_funding_funded
12287,16646,45782,6955,http://data.gesis.org/claimskg/creative_work/9104a2d7-18d6-5239-b9ef-6e589e34f0d7,Biden smirks while saying he has added more to the debt than any president before him.,politifact,English,False,1,smirks,['smirks'],1.0,16,en,20,20_biden_loans_funding_funded
26675,31941,8617,2379,http://data.gesis.org/claimskg/creative_work/1665e3ae-b8c3-5855-9ebe-2752791ba9ab,"A viral Instagram post claims President Joe Biden defunded historically black colleges and universities (HBCUs) by $30 billion, whereas former President Donald Trump permanently funded them.",checkyourfact,English,FALSE,1,"Instagram, President Donald Trump","['Instagram', ' President Donald Trump']",2.0,26,en,20,20_biden_loans_funding_funded
26756,32022,51988,4118,http://data.gesis.org/claimskg/creative_work/4e5dc5c6-2f6a-5ee7-ac1e-bd2b0e0c82e6,The Biden administration has decided to cancel $0 in student debt.,politifact,English,MIXTURE,2,"Biden administration, student debt","['Biden administration', ' student debt']",2.0,11,en,20,20_biden_loans_funding_funded
27435,32707,9225,2987,http://data.gesis.org/claimskg/creative_work/7c9f2e9d-0ac7-5e90-b948-7ae602f0a120,President Joe Biden claimed during an interview with 60 Minutes that the U.S. debt and deficit have been reduced under his tenure.,checkyourfact,English,FALSE,1,"60 Minutes, President Joe Biden","['60 Minutes', ' President Joe Biden']",2.0,22,en,20,20_biden_loans_funding_funded
30753,36056,75104,757,http://data.gesis.org/claimskg/creative_work/2e09ff87-1a7d-532e-9bf8-279b798b409a,E-mail lists unpaid campaign debts incurred by Senator Joe Biden.,snopes,English,OTHER,-1,"E-mail lists, Senator Joe Biden","['E-mail lists', ' Senator Joe Biden']",2.0,10,en,20,20_biden_loans_funding_funded
40695,46522,31114,1967,http://data.gesis.org/claimskg/creative_work/c6724aff-6b04-5948-88c8-a8cf207469f4,Joe Biden voted for a bill which made it difficult or impossible to discharge student loans during bankruptcy; Bernie Sanders voted against it.,truthorfiction,English,TRUE,3,"Bernie Sanders, Joe Biden","['Bernie Sanders', ' Joe Biden']",2.0,23,en,20,20_biden_loans_funding_funded
40875,46751,43277,4450,http://data.gesis.org/claimskg/creative_work/2a985b52-d943-5420-bfdc-9f02dd0a4b59,Joe Biden really did wipe away student loan debt.,politifact,English,False,1,"Joe Biden, student loan debt","['Joe Biden', ' student loan debt']",2.0,9,en,20,20_biden_loans_funding_funded
41064,46944,41864,3037,http://data.gesis.org/claimskg/creative_work/b8d3c928-ed0e-56fe-b1df-fb89f5bd9e1d,President Joe Biden cut $30 billion to Black colleges and universities.,politifact,English,False,1,"Black colleges and universities, President Joe Biden","['Black colleges and universities', ' President Joe Biden']",2.0,11,en,20,20_biden_loans_funding_funded
