Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,claim,text,organization,lang_name,rating_label,rating_value,entity_strings,entities,nr_entities,num_words,probable_lang,Topic,Topic Name
14994,19382,52247,4377,http://data.gesis.org/claimskg/creative_work/ed40f0e0-d1c2-5013-9027-b9c17f3a6bda,"The Obama-Biden Administration did not conduct workplace raids—in fact, it ended them.",politifact,English,MIXTURE,2,Biden Administration,['Biden Administration'],1.0,12,en,21,21_biden_refused_benedict_obamabiden
17202,21709,39543,716,http://data.gesis.org/claimskg/creative_work/bc337338-9dea-5d18-b199-4eea23fabba6,Joe Biden as vice president didn't have the right to declassify documents.,politifact,English,False,1,Joe Biden,['Joe Biden'],1.0,12,en,21,21_biden_refused_benedict_obamabiden
23235,28391,10751,4513,http://data.gesis.org/claimskg/creative_work/7a2d8bf7-bcd0-5ad0-b358-8e8d4e6198e0,A post shared on Facebook claims President Joe Biden has never flown on Air Force One.,checkyourfact,English,FALSE,1,Facebook,['Facebook'],1.0,16,en,21,21_biden_refused_benedict_obamabiden
24803,30060,47415,8588,http://data.gesis.org/claimskg/creative_work/5063185b-726e-5378-9308-4725f8b505a0,Joe Biden says Americans can only celebrate the Fourth of July if he says so.,politifact,English,False,1,"Fourth of July, Joe Biden","['Fourth of July', ' Joe Biden']",2.0,15,en,21,21_biden_refused_benedict_obamabiden
25216,30474,47570,8743,http://data.gesis.org/claimskg/creative_work/1f9c6b9a-036d-543b-9eee-afdeb0191705,There are no photos of Biden in the Oval Office from after early 2021.,politifact,English,False,1,"Biden, Oval Office","['Biden', ' Oval Office']",2.0,14,en,21,21_biden_refused_benedict_obamabiden
31683,36992,72711,1425,http://data.gesis.org/claimskg/creative_work/c966f887-f169-5e3f-8108-78b867805c57,Vice President Joe Biden was refused service at the Crumb and Get It cookie shop in 2012.,snopes,English,MIXTURE,2,"2012, Vice President Joe Biden","['2012', ' Vice President Joe Biden']",2.0,17,en,21,21_biden_refused_benedict_obamabiden
35907,41259,63693,1664,http://data.gesis.org/claimskg/creative_work/8947ada1-0869-59cb-99a2-8e254a3ba833,Pope Benedict XVI requested that U.S. President Joe Biden not be invited to his funeral.,snopes,English,False,1,"Pope Benedict XVI, U.S. President Joe Biden","['Pope Benedict XVI', ' U.S. President Joe Biden']",2.0,15,en,21,21_biden_refused_benedict_obamabiden
47371,53552,43894,5067,http://data.gesis.org/claimskg/creative_work/3849556b-ac12-579f-8d75-b30f4fcc935f,The Biden White House had no representative who came to honor the return of the 13 service members’ remains at Dover Air Force Base.,politifact,English,False,1,"Dover Air Force Base, White House, service members","['Dover Air Force Base', ' White House', ' service members']",3.0,24,en,21,21_biden_refused_benedict_obamabiden
51197,57576,40013,1186,http://data.gesis.org/claimskg/creative_work/5116e85a-efd1-5174-8c15-cdad45209698,President Obama and Vice President Biden never even tried to fix this (police reforms) during their eight-year period.,politifact,English,False,1,"President Obama, Vice President Biden, eight-year","['President Obama', ' Vice President Biden', ' eight-year']",3.0,18,en,21,21_biden_refused_benedict_obamabiden
52107,58493,39222,395,http://data.gesis.org/claimskg/creative_work/6f0970c6-a73c-5c78-8d8c-fbcb0d7ba367,Joe Biden didn’t sign an antilynching bill in a ceremony outside the White House on March 29.,politifact,English,False,1,"Joe Biden, March 29, White House","['Joe Biden', ' March 29', ' White House']",3.0,17,en,21,21_biden_refused_benedict_obamabiden
52963,59350,9892,3654,http://data.gesis.org/claimskg/creative_work/dea4cc46-96af-51cf-90b4-9086ff4372b5,Posts shared on Facebook claim the Department of Defense (DoD) does not recognize Joe Biden as president.,checkyourfact,English,FALSE,1,"DoD, Facebook, Joe Biden","['DoD', ' Facebook', ' Joe Biden']",3.0,17,en,21,21_biden_refused_benedict_obamabiden
54072,60468,59286,1126,http://data.gesis.org/claimskg/creative_work/c45cf3dd-16ee-56a2-854f-78809b2f4bfd,"On and around June 6, 2021, U.S. President Joe Biden failed to acknowledge or commemorate the 77th anniversary of the D-Day landings.",snopes,English,True,3,"D-Day, June 6, U.S. President Joe Biden","['D-Day', ' June 6', ' U.S. President Joe Biden']",3.0,22,en,21,21_biden_refused_benedict_obamabiden
56563,63046,7892,1654,http://data.gesis.org/claimskg/creative_work/d09802cc-779e-5212-8f17-faaf56a0ac83,A post shared on Facebook claims President Joe Biden was denied entry to the Pentagon on April 16.,checkyourfact,English,FALSE,1,"April 16, Facebook, President Joe Biden, denied entry","['April 16', ' Facebook', ' President Joe Biden', ' denied entry']",4.0,18,en,21,21_biden_refused_benedict_obamabiden
56637,63124,29607,460,http://data.gesis.org/claimskg/creative_work/813aca2f-5705-5391-86e2-bef1bfa158f5,Rep. Alexandria Ocasio-Cortez ignored Democratic Party presidential nominee Joe Biden in her remarks for the 2020 Democratic National Convention.,truthorfiction,English,FALSE,1,"2020 Democratic National Convention, Democratic Party presidential nominee, Joe Biden, Rep. Alexandria Ocasio-Cortez","['2020 Democratic National Convention', ' Democratic Party presidential nominee', ' Joe Biden', ' Rep. Alexandria Ocasio-Cortez']",4.0,19,en,21,21_biden_refused_benedict_obamabiden
57025,63526,53377,5507,http://data.gesis.org/claimskg/creative_work/61ba97e2-6109-5a3a-96c0-b5d236d24fe1,No one showed up for this Joe Biden and Kamala Harris joint campaign event in Arizona.,politifact,English,MIXTURE,2,"Arizona, Joe Biden, Kamala Harris, campaign event","['Arizona', ' Joe Biden', ' Kamala Harris', ' campaign event']",4.0,16,en,21,21_biden_refused_benedict_obamabiden
60211,66857,75336,989,http://data.gesis.org/claimskg/creative_work/c5177495-ae6d-5ce7-9594-2b68b7c35b1c,"The Tampa Bay Buccaneers, Super Bowl LV champions, refused an invite to the White House by U.S. President Joe Biden.",snopes,English,OTHER,-1,"Super Bowl LV, Tampa Bay Buccaneers, U.S. President Joe Biden, White House","['Super Bowl LV', ' Tampa Bay Buccaneers', ' U.S. President Joe Biden', ' White House']",4.0,20,en,21,21_biden_refused_benedict_obamabiden
