Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,claim,text,organization,lang_name,rating_label,rating_value,entity_strings,entities,nr_entities,num_words,probable_lang,Topic,Topic Name
18,123,16370,5022,http://data.gesis.org/claimskg/creative_work/ea30d19c-1b00-528e-b67c-b09f6458fb5b,"Trump, Biden both said People are dying that have never died before",factcheck_afp,English,FALSE,1,,,0.0,12,en,4,4_vaccine_vaccinations_vaccines_vaccinated
2095,4171,42017,3190,http://data.gesis.org/claimskg/creative_work/3d86588f-9b2d-5e13-aa0f-63c854a9d88d,Biden orders VA to withhold benefits from unvaccinated veterans.,politifact,English,False,1,,,0.0,9,en,4,4_vaccine_vaccinations_vaccines_vaccinated
4039,6483,31354,2207,http://data.gesis.org/claimskg/creative_work/625352b0-eed6-59aa-bfbd-1bf9b18b5d2c,Trump promised 20M vaccinations by Dec 31 [2020]—he delivered 2.8M Biden promised 100M vaccinations in 100 days—he's delivered 100M in just 58 days.,truthorfiction,English,TRUE,3,,,0.0,23,en,4,4_vaccine_vaccinations_vaccines_vaccinated
5759,9963,54124,6254,http://data.gesis.org/claimskg/creative_work/84d6d391-9aad-5e52-a3d7-c294fcf50f53,Now (Biden) is saying that people who came here illegally can jump ahead of other Americans who have been waiting to get the vaccine.,politifact,English,MIXTURE,2,,,0.0,24,en,4,4_vaccine_vaccinations_vaccines_vaccinated
9561,13899,73125,1839,http://data.gesis.org/claimskg/creative_work/7cd52ae2-ba75-52fd-8215-10279f59fc25,President Joe Biden said that minorities don't know how to register online for vaccines.,snopes,English,MIXTURE,2,Joe Biden,['Joe Biden'],1.0,14,en,4,4_vaccine_vaccinations_vaccines_vaccinated
11678,16033,70611,8582,http://data.gesis.org/claimskg/creative_work/f8354a70-bcfb-51d4-8ad0-1d59da2bf87f,A vaccine known as CV-19 that can track citizens was patented following secret meetings with Joe Biden in 2012.,snopes,English,False,1,Joe Biden,['Joe Biden'],1.0,19,en,4,4_vaccine_vaccinations_vaccines_vaccinated
12354,16716,46044,7217,http://data.gesis.org/claimskg/creative_work/fc5602d1-d289-5245-9f71-c9e049c6b181,President Joe Biden gave Congress an exemption from vaccine mandate,politifact,English,False,1,Joe Biden,['Joe Biden'],1.0,10,en,4,4_vaccine_vaccinations_vaccines_vaccinated
12472,16835,45093,6266,http://data.gesis.org/claimskg/creative_work/149448c2-b8c7-56bb-a25c-258da691a6c8,Quotes Joe Biden as saying people who have never died before are now dying from coronavirus.,politifact,English,False,1,Joe Biden,['Joe Biden'],1.0,16,en,4,4_vaccine_vaccinations_vaccines_vaccinated
13080,17450,43600,4773,http://data.gesis.org/claimskg/creative_work/8aa4740a-7393-53e9-84d1-847686badcd4,"During the Obama/Biden administration 18,000 people got clemency.",politifact,English,False,1,Biden administration,['Biden administration'],1.0,8,en,4,4_vaccine_vaccinations_vaccines_vaccinated
13236,17607,43746,4919,http://data.gesis.org/claimskg/creative_work/d9d16cbd-0fe1-50cd-89aa-8e4d2cc8be38,Says Joe Biden said dozens of police were killed during the Jan. 6 attack on the U.S. Capitol but exactly zero people died that day.,politifact,English,False,1,Joe Biden,['Joe Biden'],1.0,25,en,4,4_vaccine_vaccinations_vaccines_vaccinated
14655,19039,46872,8045,http://data.gesis.org/claimskg/creative_work/fb68dbb1-0b13-5805-a5a7-07a8857437f6,"As Hurricane Ian approached, President Joe Biden said, a vital part of preparing for hurricane season is to get vaccinated now.",politifact,English,False,1,President Joe Biden,['President Joe Biden'],1.0,21,en,4,4_vaccine_vaccinations_vaccines_vaccinated
