Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,claim,text,organization,lang_name,rating_label,rating_value,entity_strings,entities,nr_entities,num_words,probable_lang,Topic,Topic Name
755,2768,43658,4831,http://data.gesis.org/claimskg/creative_work/2797b279-a7f3-5e4e-8192-ed453113978b,I don’t think there’s any doubt (Joe) Biden’s senile.,politifact,English,False,1,,,0.0,9,en,5,5_biden_trump_bidens_presidential
2403,4489,39769,942,http://data.gesis.org/claimskg/creative_work/71c5960c-2c27-579f-9a1d-92f93a8f2781,Biden preparing 2020 presidential bid -- with Obama as vice president.,politifact,English,False,1,,,0.0,11,en,5,5_biden_trump_bidens_presidential
6743,10983,5157,5157,http://data.gesis.org/claimskg/creative_work/2147dfcf-3bb1-5626-b71e-b4c4a44587e2,"Trump wins election over Biden? No, tweet from 2016 US presidential race",africacheck,English,FALSE,1,,,0.0,12,en,5,5_biden_trump_bidens_presidential
8380,12700,32194,3047,http://data.gesis.org/claimskg/creative_work/ddad882d-85fa-5a85-9d70-12fb54cc9d11,"At a rally, Joe Biden said I'm gonna take on those rapist Mexicans.",truthorfiction,English,FALSE,1,Joe Biden,['Joe Biden'],1.0,13,en,5,5_biden_trump_bidens_presidential
10768,15113,66901,4872,http://data.gesis.org/claimskg/creative_work/fbff6ab2-a3de-5f90-a361-21b2ece34c14,The website joebiden.info is Joe Biden's official 2020 presidential campaign site.,snopes,English,False,1,Joe Biden,['Joe Biden'],1.0,11,en,5,5_biden_trump_bidens_presidential
12224,16582,45963,7136,http://data.gesis.org/claimskg/creative_work/82093860-689b-569f-ae25-1fb71da6f05f,Says Joe Biden said Why am I doing this? Why? What is my real aim?,politifact,English,False,1,Joe Biden,['Joe Biden'],1.0,15,en,5,5_biden_trump_bidens_presidential
12446,16809,45335,6508,http://data.gesis.org/claimskg/creative_work/c03edd09-6f8b-5017-a40f-527872edcee3,"Says Joe Biden said, I don’t know what I’m signing, while signing a document.",politifact,English,False,1,Joe Biden,['Joe Biden'],1.0,14,en,5,5_biden_trump_bidens_presidential
12558,16923,45621,6794,http://data.gesis.org/claimskg/creative_work/907648f9-534d-576e-ae39-c7bf3fff4a4b,Joe Biden just confirmed that he is running for president in 2020 and it has America applauding!,politifact,English,False,1,Joe Biden,['Joe Biden'],1.0,17,en,5,5_biden_trump_bidens_presidential
17272,21780,41018,2191,http://data.gesis.org/claimskg/creative_work/402abc39-4ee9-5a62-aa33-8f408e4cf59f,Word on the street is that Joe Biden got tonight’s debate questions in advance.,politifact,English,False,1,Joe Biden,['Joe Biden'],1.0,14,en,5,5_biden_trump_bidens_presidential
17614,22125,40830,2003,http://data.gesis.org/claimskg/creative_work/a925ee91-f4f0-5e94-897d-042deb8c93cd,"Says Joe Biden said, We don’t need any more N***** bigshots.",politifact,English,False,1,Joe Biden,['Joe Biden'],1.0,11,en,5,5_biden_trump_bidens_presidential
19080,23900,10177,3939,http://data.gesis.org/claimskg/creative_work/800326aa-8be3-56b6-a298-5edba0c02cb9,An image shared on Facebook claims Republican Utah Sen. Mitt Romney endorsed former Vice President Joe Biden for president.,checkyourfact,English,FALSE,1,Facebook,['Facebook'],1.0,19,en,5,5_biden_trump_bidens_presidential
24230,29486,45080,6253,http://data.gesis.org/claimskg/creative_work/d913c3c8-8904-55a9-a292-e8ec73e6a39d,"Donald Trump’s letter to Joe Biden said, You know I won.",politifact,English,False,1,"Donald Trump, Joe Biden","['Donald Trump', ' Joe Biden']",2.0,11,en,5,5_biden_trump_bidens_presidential
24390,29646,54202,6332,http://data.gesis.org/claimskg/creative_work/9a0d90af-80a0-55b0-ac92-9da6dd3c4837,I certainly supported Barack Obama and Joe Biden. ... I was there both times for them.,politifact,English,MIXTURE,2,"Barack Obama, Joe Biden","['Barack Obama', ' Joe Biden']",2.0,16,en,5,5_biden_trump_bidens_presidential
25703,30963,10307,4069,http://data.gesis.org/claimskg/creative_work/a3c67b1a-6370-5407-9cb8-eca3a14bb917,"An image shared on Facebook allegedly shows a tweet from President Donald Trump reading, If Biden somehow manages to win this election, you won’t see me again, I’ll simply leave the country!",checkyourfact,English,FALSE,1,"Facebook, President Donald Trump","['Facebook', ' President Donald Trump']",2.0,32,en,5,5_biden_trump_bidens_presidential
26475,31741,51566,3696,http://data.gesis.org/claimskg/creative_work/86797a43-ddb4-5153-b32b-c94635b17c2d,Video shows Joe Biden saying we can only re-elect Donald Trump.,politifact,English,MIXTURE,2,"Joe Biden, elect Donald Trump","['Joe Biden', ' elect Donald Trump']",2.0,11,en,5,5_biden_trump_bidens_presidential
27233,32503,9087,2849,http://data.gesis.org/claimskg/creative_work/97084311-e922-57a9-8fb4-62d0862e3e46,A viral Facebook post attributes to actor Clint Eastwood a long message that insults Democratic presidential nominee Joe Biden and alleges he is trying to destroy our wonderful country.,checkyourfact,English,FALSE,1,"Clint Eastwood, Facebook","['Clint Eastwood', ' Facebook']",2.0,29,en,5,5_biden_trump_bidens_presidential
28125,33406,49186,1316,http://data.gesis.org/claimskg/creative_work/40eef284-6472-56bd-a44c-5aa317879702,"Says Joe Biden said, You know, we have to come together. That’s why I’m running. I’m running as a proud Democrat for the Senate. So vote! Vote!",politifact,English,MIXTURE,2,"Democrat, Joe Biden","['Democrat', ' Joe Biden']",2.0,27,en,5,5_biden_trump_bidens_presidential
28924,34210,49607,1737,http://data.gesis.org/claimskg/creative_work/8ced427e-7ba2-5e2d-b369-111697276551,David Perdue says he'll do everything in his power to make sure Joe Biden fails.,politifact,English,MIXTURE,2,"David Perdue, Joe Biden","['David Perdue', ' Joe Biden']",2.0,15,en,5,5_biden_trump_bidens_presidential
30437,35736,69177,7148,http://data.gesis.org/claimskg/creative_work/e65020e3-51f8-5323-bb59-aff80e5838f2,The Trump administration's approval of the presidential transition process means Trump has conceded the 2020 election to Joe Biden.,snopes,English,False,1,"Joe Biden, Trump administration","['Joe Biden', ' Trump administration']",2.0,19,en,5,5_biden_trump_bidens_presidential
31442,36750,76202,1855,http://data.gesis.org/claimskg/creative_work/921aa1a2-059e-5275-ad3e-84f772d07825,U.S. Sen. Mitt Romney endorsed 2020 Democratic presidential candidate Joe Biden.,snopes,English,OTHER,-1,"Sen. Mitt Romney, presidential candidate Joe Biden","['Sen. Mitt Romney', ' presidential candidate Joe Biden']",2.0,11,en,5,5_biden_trump_bidens_presidential
