Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,claim,text,organization,lang_name,rating_label,rating_value,entity_strings,entities,nr_entities,num_words,probable_lang,Topic,Topic Name
417,2417,46288,7461,http://data.gesis.org/claimskg/creative_work/03c938d4-0cae-54b3-b9bd-a2ef693eeb20,There was a raid on the Biden residence yesterday by the military!,politifact,English,False,1,,,0.0,12,en,6,6_pelosis_pelosi_biden_cruz
2188,4268,13928,2580,http://data.gesis.org/claimskg/creative_work/eaf6f5d6-1c38-5c86-b9ee-6df656e39c18,Video shows Biden's assistant being arrested,factcheck_afp,English,FALSE,1,,,0.0,6,en,6,6_pelosis_pelosi_biden_cruz
7518,11799,30076,929,http://data.gesis.org/claimskg/creative_work/4c237e13-4cf0-52ec-a303-c376b69d3f4b,Joe Biden's younger brother James Jim Biden was the subject of a federal investigation disclosed on December 11 2020.,truthorfiction,English,MIXTURE,2,Joe Biden,['Joe Biden'],1.0,19,en,6,6_pelosis_pelosi_biden_cruz
11885,16241,44934,6107,http://data.gesis.org/claimskg/creative_work/cebc5a33-dfd0-50c1-9b3f-ef21fbe524d4,Hunter Biden arrested this morning.,politifact,English,False,1,Hunter Biden,['Hunter Biden'],1.0,5,en,6,6_pelosis_pelosi_biden_cruz
12005,16361,44141,5314,http://data.gesis.org/claimskg/creative_work/bd974657-629e-5b38-bf40-37fd47cbeaa4,Military arrests Hunter Biden!,politifact,English,False,1,Hunter Biden,['Hunter Biden'],1.0,4,en,6,6_pelosis_pelosi_biden_cruz
14431,18813,47072,8245,http://data.gesis.org/claimskg/creative_work/10bf7fa6-c51a-5ca9-a078-c06295c10923,"I believe, without having definitive proof, that the military is in charge of our country ... because Joe Biden is an illegal president.",politifact,English,False,1,Joe Biden,['Joe Biden'],1.0,23,en,6,6_pelosis_pelosi_biden_cruz
17002,21506,39395,568,http://data.gesis.org/claimskg/creative_work/6cf064b8-a386-55eb-b2c2-79d65459d667,The military raided Hunter Biden’s home.,politifact,English,False,1,Hunter Biden,['Hunter Biden'],1.0,6,en,6,6_pelosis_pelosi_biden_cruz
18571,23120,8738,2500,http://data.gesis.org/claimskg/creative_work/ab8c73ce-4ac3-5f42-a161-6262a925b05e,"A post shared on Facebook claims that Dr. Jill Biden, the wife of Democratic presidential nominee Joe Biden, said, Whatever is on Hunters ( sic ) laptop is not important.",checkyourfact,English,FALSE,1,Facebook,['Facebook'],1.0,30,en,6,6_pelosis_pelosi_biden_cruz
18631,23189,8853,2615,http://data.gesis.org/claimskg/creative_work/80375a6d-d40b-5919-9e19-a17fb447d029,An image shared on Facebook claims a call between President Joe Biden and the head of the FBI has leaked thatproves the raid on Mar-a-Lago was unlawful.,checkyourfact,English,FALSE,1,Facebook,['Facebook'],1.0,27,en,6,6_pelosis_pelosi_biden_cruz
18688,23263,13720,2372,http://data.gesis.org/claimskg/creative_work/b89932f0-9602-5cc6-8939-679e564cf7d0,Photo shows Biden’s executive assistant being arrested for spying on Donald Trump,factcheck_afp,English,FALSE,1,Donald Trump,['Donald Trump'],1.0,12,en,6,6_pelosis_pelosi_biden_cruz
19405,24252,10384,4146,http://data.gesis.org/claimskg/creative_work/b421d4e3-8a57-5fd9-bddc-80e2fd61233d,A post shared on Facebook purports the U.S. military arrested President Joe Biden’s former COVID-19 Response Coordinator Jeff Zients for treason and murder.,checkyourfact,English,FALSE,1,Facebook,['Facebook'],1.0,23,en,6,6_pelosis_pelosi_biden_cruz
23377,28586,10954,4716,http://data.gesis.org/claimskg/creative_work/fb6cb5fc-e60d-5f4c-83cb-2f1eb03da28c,A post shared on Facebook purports President Joe Biden’s White House Chief of Staff Ron Klain was arrested by the U.S. Special Forces for crimes regarding the 2020 presidential election.,checkyourfact,English,FALSE,1,Facebook,['Facebook'],1.0,30,en,6,6_pelosis_pelosi_biden_cruz
23729,28983,47226,8399,http://data.gesis.org/claimskg/creative_work/44552dd9-5740-5576-8230-6a98a58cb282,Military Arrests Biden’s Sec. of Agriculture Tom Vilsack.,politifact,English,False,1,"Biden, Tom Vilsack","['Biden', ' Tom Vilsack']",2.0,8,en,6,6_pelosis_pelosi_biden_cruz
23839,29094,10776,4538,http://data.gesis.org/claimskg/creative_work/f43d6977-5621-5306-afaa-60193c1034a7,"A Facebook post claims Anita Dunn, President Joe Biden’s former senior adviser, was sentenced to death following a military tribunal.",checkyourfact,English,FALSE,1,"Facebook, senior adviser","['Facebook', ' senior adviser']",2.0,20,en,6,6_pelosis_pelosi_biden_cruz
24233,29489,7818,1580,http://data.gesis.org/claimskg/creative_work/08cfaaa5-fb4f-5336-bb0b-c6cdc2192092,A post shared on Facebook purports the U.S. Special Forces raided President Joe Biden’s Delaware Beach House over allegations it was being used to groom minors.,checkyourfact,English,FALSE,1,"Facebook, President Joe Biden","['Facebook', ' President Joe Biden']",2.0,26,en,6,6_pelosis_pelosi_biden_cruz
24682,29939,7737,1499,http://data.gesis.org/claimskg/creative_work/d068e2b3-b874-5eed-a1e6-506005ada23f,"A video shared on Facebook claims Florida Governor Ron DeSantis called for President Joe Biden to be impeached and spoke about the president’s son, Hunter.",checkyourfact,English,FALSE,1,"Facebook, president’s","['Facebook', ' president’s']",2.0,25,en,6,6_pelosis_pelosi_biden_cruz
25161,30419,44065,5238,http://data.gesis.org/claimskg/creative_work/eeac75d9-4ac4-5509-a8fe-6e1f53008b5c,NBC News covered up Hunter Biden laptop story.,politifact,English,False,1,"Hunter Biden, NBC News","['Hunter Biden', ' NBC News']",2.0,8,en,6,6_pelosis_pelosi_biden_cruz
25476,30735,44520,5693,http://data.gesis.org/claimskg/creative_work/cc9fc951-3de8-5720-957e-15def203cce6,Says Hunter Biden died of a crack overdose.,politifact,English,False,1,"Hunter Biden, overdose","['Hunter Biden', ' overdose']",2.0,8,en,6,6_pelosis_pelosi_biden_cruz
27357,32629,9595,3357,http://data.gesis.org/claimskg/creative_work/27376591-461b-5453-8bff-1d444c0f7e26,A video shared on Facebook claims Texas Republican Sen. Ted Cruz stated that he had documents from Hunter Biden’s laptop that would implicate California Democratic Rep. and House Intelligence Chair Adam Schiff.,checkyourfact,English,FALSE,1,"Facebook, Sen.","['Facebook', ' Sen.']",2.0,32,en,6,6_pelosis_pelosi_biden_cruz
28060,33341,49082,1212,http://data.gesis.org/claimskg/creative_work/8cebba41-ac22-5b9f-94f3-a30e4e3237bb,Says Nancy Pelosi has suspicious ties to a voting software company that was involved in glitches that favored Joe Biden.,politifact,English,MIXTURE,2,"Joe Biden, Nancy Pelosi","['Joe Biden', ' Nancy Pelosi']",2.0,20,en,6,6_pelosis_pelosi_biden_cruz
28794,34079,9781,3543,http://data.gesis.org/claimskg/creative_work/5ae8e698-2413-58aa-9fcb-ec6938eb9926,"A video shared on Facebook purports Republican Louisiana Sen. John Kennedy exposed President Joe Biden’s son, Hunter Biden, in Congress.",checkyourfact,English,FALSE,1,"Facebook, Hunter Biden","['Facebook', ' Hunter Biden']",2.0,20,en,6,6_pelosis_pelosi_biden_cruz
35556,40903,63412,1383,http://data.gesis.org/claimskg/creative_work/a6319fe8-799a-5039-acb1-478a55932de8,"Joe Biden's son, Hunter, turned himself in to the FBI and flipped on his father.",snopes,English,False,1,"FBI, Joe Biden","['FBI', ' Joe Biden']",2.0,15,en,6,6_pelosis_pelosi_biden_cruz
37635,43056,39052,225,http://data.gesis.org/claimskg/creative_work/4c539dff-2739-5dd9-8f0e-d654e7476882,"Says Jill Biden said, Whatever is on Hunter’s laptop is not important.",politifact,English,False,1,"Hunter’s, Jill Biden","['Hunter’s', ' Jill Biden']",2.0,12,en,6,6_pelosis_pelosi_biden_cruz
40948,46826,42232,3405,http://data.gesis.org/claimskg/creative_work/2de97d49-4de0-5101-a14e-e33602667d7d,"Vice President Biden threatened a foreign country and forced them to fire a prosecutor who was investigating a company, that paid his son Hunter.",politifact,English,False,1,"Vice President Biden, prosecutor","['Vice President Biden', ' prosecutor']",2.0,24,en,6,6_pelosis_pelosi_biden_cruz
41444,47325,42365,3538,http://data.gesis.org/claimskg/creative_work/7cef7e6a-1040-51f7-b18b-d6aa75778b5d,The FBI lost Hunter Biden’s laptop.,politifact,English,False,1,"FBI, Hunter Biden","['FBI', ' Hunter Biden']",2.0,6,en,6,6_pelosis_pelosi_biden_cruz
42322,48224,42762,3935,http://data.gesis.org/claimskg/creative_work/66d40395-d4a3-553e-bfb3-65e52e41188c,Says photo from Hunter Biden's laptop shows Paul Pelosi Jr. abusing a girl and doing drugs.,politifact,English,False,1,"Hunter Biden, Paul Pelosi","['Hunter Biden', ' Paul Pelosi']",2.0,16,en,6,6_pelosis_pelosi_biden_cruz
42488,48403,65313,3284,http://data.gesis.org/claimskg/creative_work/34f0ad2e-0920-562e-b284-67700fde68bc,U.S. President Joe Biden's son Hunter is guest-teaching a class on fake news at Tulane University.,snopes,English,False,1,"Tulane University, U.S. President Joe Biden, fake news","['Tulane University', ' U.S. President Joe Biden', ' fake news']",3.0,16,en,6,6_pelosis_pelosi_biden_cruz
43286,49268,67064,5035,http://data.gesis.org/claimskg/creative_work/37b2a033-ee23-5dc3-9589-d76c0cf53c3e,An arrest warrant has been issued for U.S. President-elect Joe Biden.,snopes,English,False,1,"Joe Biden, U.S. President-elect, arrest warrant","['Joe Biden', ' U.S. President-elect', ' arrest warrant']",3.0,11,en,6,6_pelosis_pelosi_biden_cruz
43985,50030,42219,3392,http://data.gesis.org/claimskg/creative_work/3fe4fb8d-02ad-5a51-b835-b488e91412ea,Says Hunter Biden was hanged at Gitmo.,politifact,English,False,1,"Gitmo, Hunter Biden, hanged","['Gitmo', ' Hunter Biden', ' hanged']",3.0,7,en,6,6_pelosis_pelosi_biden_cruz
45394,51540,62383,354,http://data.gesis.org/claimskg/creative_work/d64adafe-c6c6-52a8-8f91-ec8a72ded1b4,Ivanka Trump said Joe Biden's son Hunter has benefited from nepotism.,snopes,English,False,1,"Ivanka Trump, Joe Biden's, nepotism","['Ivanka Trump', "" Joe Biden's"", ' nepotism']",3.0,11,en,6,6_pelosis_pelosi_biden_cruz
45431,51579,10927,4689,http://data.gesis.org/claimskg/creative_work/cfd07c7b-e512-53cd-93f8-613b390449ac,"A viral Facebook post claims that former Vice President Joe Biden was involved in a plot to kidnap John F. Kennedy Jr., the son of former President John F. Kennedy.",checkyourfact,English,FALSE,1,"Facebook, John F. Kennedy Jr., President John F. Kennedy","['Facebook', ' John F. Kennedy Jr.', ' President John F. Kennedy']",3.0,30,en,6,6_pelosis_pelosi_biden_cruz
45496,51644,46759,7932,http://data.gesis.org/claimskg/creative_work/a9800c01-74e6-5e81-8b42-5cff3f6a0e84,Says Nancy Pelosi’s son served on the Burisma board with Hunter Biden.,politifact,English,False,1,"Burisma, Hunter Biden, Nancy Pelosi","['Burisma', ' Hunter Biden', ' Nancy Pelosi']",3.0,12,en,6,6_pelosis_pelosi_biden_cruz
47602,53785,43612,4785,http://data.gesis.org/claimskg/creative_work/4abd2a32-973d-5c22-b271-7c8a3d751d01,Marjorie Taylor Greene was raided by Joe Biden’s DOJ last night.,politifact,English,False,1,"DOJ, Joe Biden, Marjorie Taylor Greene","['DOJ', ' Joe Biden', ' Marjorie Taylor Greene']",3.0,11,en,6,6_pelosis_pelosi_biden_cruz
50555,56930,9028,2790,http://data.gesis.org/claimskg/creative_work/e078284d-9c12-567f-8cdf-ed13bcd5c878,"A post shared on Facebook purports President Joe Biden’s former COVID-19 Response Coordinator, Jeff Zients, allegedly died while in custody at Guantanamo Bay.",checkyourfact,English,FALSE,1,"Facebook, Guantanamo Bay, died while in custody","['Facebook', ' Guantanamo Bay', ' died while in custody']",3.0,23,en,6,6_pelosis_pelosi_biden_cruz
