Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,claim,text,organization,lang_name,rating_label,rating_value,entity_strings,entities,nr_entities,num_words,probable_lang,Topic,Topic Name
261,2260,45419,6592,http://data.gesis.org/claimskg/creative_work/34fba129-e9f7-5a34-adaa-e15da51a9ae1,Biden and Democrats have dismantled border security.,politifact,English,False,1,,,0.0,7,en,7,7_immigration_deportations_migrants_immigrants
4700,8851,57083,9213,http://data.gesis.org/claimskg/creative_work/c91a1e18-b8be-5c6c-9cca-0b0cb3d2a45a,"You may not have stayed in a hotel in the past year, but illegals arriving since Biden’s inauguration, they get to stay free of charge.",politifact,English,MIXTURE,2,,,0.0,25,en,7,7_immigration_deportations_migrants_immigrants
6999,11252,52614,4744,http://data.gesis.org/claimskg/creative_work/e07f8d1c-a171-5394-acfe-b061115b1015,Current immigration apprehension numbers are worse than the 'crisis' Biden/Obama/Pelosi acknowledged in 2014!,politifact,English,MIXTURE,2,,,0.0,13,en,7,7_immigration_deportations_migrants_immigrants
12458,16821,45142,6315,http://data.gesis.org/claimskg/creative_work/efd8487b-f60b-5bc4-9953-318e4057d0f5,The Biden White House has no one there. They don't travel. They don't go down to the border. They don't go overseas.,politifact,English,False,1,White House,['White House'],1.0,22,en,7,7_immigration_deportations_migrants_immigrants
12627,16992,42385,3558,http://data.gesis.org/claimskg/creative_work/f6aa413f-4c1f-5bb2-a255-5c62960102b5,The Biden administration is deporting Cubans because Cubans by and large are conservatives.,politifact,English,False,1,Biden administration,['Biden administration'],1.0,13,en,7,7_immigration_deportations_migrants_immigrants
13421,17796,43097,4270,http://data.gesis.org/claimskg/creative_work/354dd20b-8251-58df-970e-33e1c6340c01,Says Joe Biden is trying to shut FL’s border.,politifact,English,False,1,Joe Biden,['Joe Biden'],1.0,9,en,7,7_immigration_deportations_migrants_immigrants
15339,19740,57236,9366,http://data.gesis.org/claimskg/creative_work/aaba362c-d1b2-54c5-b128-224710a24845,"Biden’s plan will immediately let in 25,000 asylum-seekers who’d been waiting in Mexico as their cases were judged.",politifact,English,MIXTURE,2,Mexico,['Mexico'],1.0,18,en,7,7_immigration_deportations_migrants_immigrants
17855,22371,56155,8285,http://data.gesis.org/claimskg/creative_work/b59915be-5f20-5999-80c5-e25c03754031,President Joe Biden’s day one approach to immigration included blanket amnesty and halting border wall construction.,politifact,English,MIXTURE,2,Joe Biden,['Joe Biden'],1.0,16,en,7,7_immigration_deportations_migrants_immigrants
17997,22515,37608,1296,http://data.gesis.org/claimskg/creative_work/1b4361bb-f8f7-510f-be6d-ed5fab0bb7a6,Twice as many children are in Border Patrol custody under Biden than Trump peak in 2019.,politifact,English,True,3,Border Patrol,['Border Patrol'],1.0,16,en,7,7_immigration_deportations_migrants_immigrants
23253,28420,12684,1336,http://data.gesis.org/claimskg/creative_work/52ffd587-6805-5333-9bf0-322364915484,Biden administration is continuing construction of border wall,factcheck_afp,English,FALSE,1,Biden administration,['Biden administration'],1.0,8,en,7,7_immigration_deportations_migrants_immigrants
23818,29073,48494,624,http://data.gesis.org/claimskg/creative_work/8e548ca7-d248-5b96-a9b5-452a5443ed96,Says a video shows Joe Biden boasted in 2006 about voting for ‘700 miles of fence’ and talking about immigration in some entirely different ways than he does today.,politifact,English,MIXTURE,2,"2006, Joe Biden","['2006', ' Joe Biden']",2.0,29,en,7,7_immigration_deportations_migrants_immigrants
24096,29352,54338,6468,http://data.gesis.org/claimskg/creative_work/4531494a-ff03-50c9-8e88-f29f5d488203,"Kids at the border: 2,600 highest number Trump, 12,000 currently under Biden.",politifact,English,MIXTURE,2,"12,000","['12', '000']",2.0,12,en,7,7_immigration_deportations_migrants_immigrants
24292,29548,46922,8095,http://data.gesis.org/claimskg/creative_work/b61f498e-26f2-5032-8ee5-0adb55c30551,Report: Biden administration busing ‘thousands’ of illegals to red states to get permanent status.,politifact,English,False,1,"Biden administration, red states","['Biden administration', ' red states']",2.0,14,en,7,7_immigration_deportations_migrants_immigrants
25644,30904,55513,7643,http://data.gesis.org/claimskg/creative_work/8181dd5b-c45f-5e8a-a981-68bb8348e68e,Joe Biden is giving smartphones away to illegal border crossers.,politifact,English,MIXTURE,2,"Joe Biden, illegal border","['Joe Biden', ' illegal border']",2.0,10,en,7,7_immigration_deportations_migrants_immigrants
25694,30954,55461,7591,http://data.gesis.org/claimskg/creative_work/793ee875-3e62-5102-86e1-ab3e1dd080c7,Says the Biden administration is choosing to send baby formula to the border as one of its out-of-touch priorities.,politifact,English,MIXTURE,2,"Biden administration, baby formula","['Biden administration', ' baby formula']",2.0,19,en,7,7_immigration_deportations_migrants_immigrants
27104,32374,50333,2463,http://data.gesis.org/claimskg/creative_work/0b699df5-8e2c-5163-b3ce-70300550289a,Says Joe Biden voted to expand deportations and indefinite detention for immigrants multiple times.,politifact,English,MIXTURE,2,"Joe Biden, indefinite detention","['Joe Biden', ' indefinite detention']",2.0,14,en,7,7_immigration_deportations_migrants_immigrants
27311,32582,51374,3504,http://data.gesis.org/claimskg/creative_work/5cc45cd9-49de-54eb-956a-3bf7a684e2b1,One of (Joe Biden’s) first acts in office was sending an immigration bill to Congress to grant mass amnesty to illegal immigrants.,politifact,English,MIXTURE,2,"Joe Biden, illegal immigrants","['Joe Biden', ' illegal immigrants']",2.0,22,en,7,7_immigration_deportations_migrants_immigrants
28205,33487,53847,5977,http://data.gesis.org/claimskg/creative_work/7a7f4fc4-3f06-5c27-9080-baa2674d497f,We proudly handed the Biden administration the most secure border in history. All they had to do was keep this smooth-running system on autopilot.,politifact,English,MIXTURE,2,"Biden administration, autopilot","['Biden administration', ' autopilot']",2.0,24,en,7,7_immigration_deportations_migrants_immigrants
28212,33494,9966,3728,http://data.gesis.org/claimskg/creative_work/34585591-3e42-5126-8cac-015cfe16603c,President Donald Trump claimed during a Tuesday news conference at the White House that the Biden-Sanders unity task force seeks to abolish immigration detention.,checkyourfact,English,FALSE,1,"immigration detention, news conference","['immigration detention', ' news conference']",2.0,24,en,7,7_immigration_deportations_migrants_immigrants
30821,36124,75460,1113,http://data.gesis.org/claimskg/creative_work/24cf1a81-162d-551b-b9dc-a5769fff6e6c,"One-third of U.S. President Joe Biden's appointees, as of Jan. 20, 2021, were first- or second-generation immigrants.",snopes,English,OTHER,-1,"U.S. President Joe Biden, second-generation immigrants","['U.S. President Joe Biden', ' second-generation immigrants']",2.0,17,en,7,7_immigration_deportations_migrants_immigrants
38184,43614,14554,3206,http://data.gesis.org/claimskg/creative_work/1d72f6d9-171a-5d38-a132-bf13d5549dc6,"Biden Is giving migrants 6 months in motels, $1100 Greyhound Vouchers",factcheck_afp,English,FALSE,1,"Biden, Greyhound","['Biden', ' Greyhound']",2.0,11,en,7,7_immigration_deportations_migrants_immigrants
40905,46782,41120,2293,http://data.gesis.org/claimskg/creative_work/db9105c9-98df-507b-9f86-f1c8e8ad9e4b,"The Biden-Harris administration wants to hand out $450,000 to illegal immigrants.",politifact,English,False,1,"Biden-Harris administration, illegal immigrants","['Biden-Harris administration', ' illegal immigrants']",2.0,11,en,7,7_immigration_deportations_migrants_immigrants
41013,46892,43560,4733,http://data.gesis.org/claimskg/creative_work/f2edf8f7-a3e3-509e-81c1-2ca8def7321a,"Because of omicron, the Biden administration has decided to leave the U.S. southern border completely open.",politifact,English,False,1,"Biden administration, U.S. southern border","['Biden administration', ' U.S. southern border']",2.0,16,en,7,7_immigration_deportations_migrants_immigrants
41279,47159,41259,2432,http://data.gesis.org/claimskg/creative_work/a040c47b-640b-57bf-a96e-bf2793e0c412,The Biden administration is engaging in human trafficking because they are enabling this to happen at the southern border.,politifact,English,False,1,"Biden administration, human trafficking","['Biden administration', ' human trafficking']",2.0,19,en,7,7_immigration_deportations_migrants_immigrants
