Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,claim,text,organization,lang_name,rating_label,rating_value,entity_strings,entities,nr_entities,num_words,probable_lang,Topic,Topic Name
20287,25219,6437,199,http://data.gesis.org/claimskg/creative_work/774056b9-9b5b-5aab-9114-25ad2b515c1f,A post shared on Facebook claims the Pentagon confirmed that President Joe Biden ordered combat troops to be deployed in Ukraine.,checkyourfact,English,FALSE,1,Joe Biden,['Joe Biden'],1.0,21,en,9,9_biden_putin_ukraine_impeach
21059,26038,8167,1929,http://data.gesis.org/claimskg/creative_work/b8cd4f96-7a89-520a-bf0c-95c374d22886,An image shared on Facebook claims President Joe Biden said Russian President Vladimir Putin should resign and give way to younger politicians.,checkyourfact,English,FALSE,1,Facebook,['Facebook'],1.0,22,en,9,9_biden_putin_ukraine_impeach
26223,31488,46512,7685,http://data.gesis.org/claimskg/creative_work/b7a8accf-f062-5772-aecb-c5b62eb8246f,Biden threatens to assassinate Ukraine president.,politifact,English,False,1,"Biden, Ukraine president","['Biden', ' Ukraine president']",2.0,6,en,9,9_biden_putin_ukraine_impeach
28237,33519,45281,6454,http://data.gesis.org/claimskg/creative_work/beb19a23-9506-5404-8039-fa48615d84e1,"Says Joe Biden is withholding $150 million in aid from Ukraine to pressure Ukraine to drop all criminal investigations into him and his son, Hunter.",politifact,English,False,1,"Joe Biden, Ukraine","['Joe Biden', ' Ukraine']",2.0,25,en,9,9_biden_putin_ukraine_impeach
34024,39353,58317,157,http://data.gesis.org/claimskg/creative_work/e4746cbb-8737-535f-b467-635da036f1d1,"U.S. President Joe Biden said of Russian President Vladimir Putin, For God’s sake, this man cannot remain in power.",snopes,English,True,3,"God, Russian President Vladimir Putin","['God', ' Russian President Vladimir Putin']",2.0,19,en,9,9_biden_putin_ukraine_impeach
39035,44517,28966,1008,http://data.gesis.org/claimskg/creative_work/3db599de-fc8b-55f5-a0f1-48096f08a1f7,Sputnik Misreports Biden’s ‘Rejection’ of Comey’s Endorsement,polygraph,English,MIXTURE,2,"Biden, Sputnik","['Biden', ' Sputnik']",2.0,7,en,9,9_biden_putin_ukraine_impeach
40908,46785,42977,4150,http://data.gesis.org/claimskg/creative_work/9552b5cf-e370-5c96-adfb-bc976f001bf3,Joe Biden threatened to assassinate Ukraine’s former president.,politifact,English,False,1,"Joe Biden, Ukraine","['Joe Biden', ' Ukraine']",2.0,8,en,9,9_biden_putin_ukraine_impeach
40957,46835,42594,3767,http://data.gesis.org/claimskg/creative_work/4dbb91fb-42b8-5bc6-a9d3-821af2d6de6d,Joe Biden is being investigated for human trafficking and is guilty.,politifact,English,False,1,"Joe Biden, human trafficking","['Joe Biden', ' human trafficking']",2.0,11,en,9,9_biden_putin_ukraine_impeach
41221,47101,41887,3060,http://data.gesis.org/claimskg/creative_work/43865b91-7294-5b0e-9081-3014d230f33c,Says Joe Biden is formally listed as criminal suspect in Ukraine case involving his son.,politifact,English,False,1,"Joe Biden, Ukraine","['Joe Biden', ' Ukraine']",2.0,15,en,9,9_biden_putin_ukraine_impeach
41474,47359,43476,4649,http://data.gesis.org/claimskg/creative_work/4a511aae-d76d-5d59-b35b-239f8c8dca7e,President Joe Biden and Democrats send a fortune to Ukraine but nothing for our children.,politifact,English,False,1,"Joe Biden, Ukraine","['Joe Biden', ' Ukraine']",2.0,15,en,9,9_biden_putin_ukraine_impeach
