Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,claim,text,organization,lang_name,rating_label,rating_value,entity_strings,entities,nr_entities,num_words,probable_lang,Topic,Topic Name
41128,47008,13377,2029,http://data.gesis.org/claimskg/creative_work/acf905b5-21f9-57c6-b2eb-87b2a76da94b,Drywall dust penetration means face masks are ineffective against the coronavirus,factcheck_afp,English,FALSE,1,"Drywall, face masks","['Drywall', ' face masks']",2.0,11,en,0,0_masks_maskwearing_mask_masked
550,2552,12401,1053,http://data.gesis.org/claimskg/creative_work/f2f3491f-f7a9-5a10-9f43-8da92379a4ea,These masks protect against the novel coronavirus,factcheck_afp,English,FALSE,1,,,0.0,7,en,0,0_masks_maskwearing_mask_masked
48212,54427,12459,1111,http://data.gesis.org/claimskg/creative_work/9e53cf2e-9d45-5d78-b239-4e00ed72fd5c,Turn wet wipes into face masks to protect against the novel coronavirus,factcheck_afp,English,MIXTURE,2,"coronavirus, face masks, wet wipes","['coronavirus', ' face masks', ' wet wipes']",3.0,12,en,0,0_masks_maskwearing_mask_masked
38305,43735,14820,3472,http://data.gesis.org/claimskg/creative_work/d8646410-d1b6-58ca-826e-55574790abba,Wearing masks won’t prevent coronavirus,factcheck_afp,English,FALSE,1,"Wearing masks, coronavirus","['Wearing masks', ' coronavirus']",2.0,5,en,0,0_masks_maskwearing_mask_masked
1841,3910,15186,3838,http://data.gesis.org/claimskg/creative_work/f9955185-f05e-513e-9fc8-c7d30787db4c,Non-medical masks do not prevent the transmission of coronavirus,factcheck_afp,English,FALSE,1,,,0.0,9,en,0,0_masks_maskwearing_mask_masked
51430,57810,15447,4099,http://data.gesis.org/claimskg/creative_work/9144b0e0-258d-5464-bef1-7e8e77aa6c3d,China coronavirus: the correct way to wear a face mask,factcheck_afp,English,OTHER,-1,"China, coronavirus, wear a face mask","['China', ' coronavirus', ' wear a face mask']",3.0,10,en,0,0_masks_maskwearing_mask_masked
41017,46896,43563,4736,http://data.gesis.org/claimskg/creative_work/d810ff58-a2a1-5234-87a5-b48fb00743e5,"Wearing masks for the coronavirus decreases oxygen intake, increases toxin inhalation, shuts down immune system, increases virus risk, scientifically inaccurate, effectiveness not studied.",politifact,English,False,1,"Wearing masks, coronavirus","['Wearing masks', ' coronavirus']",2.0,23,en,0,0_masks_maskwearing_mask_masked
50592,56967,13802,2454,http://data.gesis.org/claimskg/creative_work/573b5297-3989-515f-bcd8-6a248913896e,Blowing vape smoke through face masks shows that they do not help prevent the spread of coronavirus,factcheck_afp,English,FALSE,1,"coronavirus, face masks, prevent the spread","['coronavirus', ' face masks', ' prevent the spread']",3.0,17,en,0,0_masks_maskwearing_mask_masked
38564,44004,14148,2800,http://data.gesis.org/claimskg/creative_work/afcd43f2-f6cf-5fbd-979e-79a3a0211325,People should not be concerned about others not wearing face masks during the coronavirus crisis as long as their own mask works,factcheck_afp,English,FALSE,1,"coronavirus crisis, wearing face masks","['coronavirus crisis', ' wearing face masks']",2.0,22,en,0,0_masks_maskwearing_mask_masked
38104,43531,14651,3303,http://data.gesis.org/claimskg/creative_work/7bb47e38-d382-5654-a407-c14296c850ce,Steaming face masks makes them reusable during coronavirus outbreak,factcheck_afp,English,FALSE,1,"coronavirus outbreak, face masks","['coronavirus outbreak', ' face masks']",2.0,9,en,0,0_masks_maskwearing_mask_masked
