Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,claim,text,organization,lang_name,rating_label,rating_value,entity_strings,entities,nr_entities,num_words,probable_lang,Topic,Topic Name
1916,3989,41102,2275,http://data.gesis.org/claimskg/creative_work/e1f1e42c-f6f8-5bee-8361-c4a70e2ca380,Fauci just told us they found a (coronavirus) variant that ‘evades the test.’,politifact,English,False,1,,,0.0,13,en,11,11_fauci_faucis_coronavirus_viral
37916,43339,13496,2148,http://data.gesis.org/claimskg/creative_work/5da6d5ba-108a-52ac-b451-d0331198a375,Comments on coronavirus from Dr. Anthony Fauci,factcheck_afp,English,FALSE,1,"Dr. Anthony Fauci, coronavirus","['Dr. Anthony Fauci', ' coronavirus']",2.0,7,en,11,11_fauci_faucis_coronavirus_viral
14385,18767,47059,8232,http://data.gesis.org/claimskg/creative_work/cd349448-8e05-5f0c-9fbc-ce5ff8461560,Emails show Fauci's fellow scientist could tell early on that the (coronavirus) looked manufactured.,politifact,English,False,1,Fauci,['Fauci'],1.0,14,en,11,11_fauci_faucis_coronavirus_viral
37675,43096,39379,552,http://data.gesis.org/claimskg/creative_work/5c056157-b881-5c2f-94ab-6da6769f590a,Peer-reviewed paper shows Fauci created COVID-19,politifact,English,False,1,"COVID-19, Peer-reviewed","['COVID-19', ' Peer-reviewed']",2.0,6,en,11,11_fauci_faucis_coronavirus_viral
40131,45779,17480,6132,http://data.gesis.org/claimskg/creative_work/32779c6b-521d-5ba7-b2a9-0f9b9db5074c,Dr Anthony Fauci made these remarks about Donald Trump's response to the coronavirus,factcheck_afp,English,FALSE,1,"Anthony Fauci, Donald Trump","['Anthony Fauci', ' Donald Trump']",2.0,13,en,11,11_fauci_faucis_coronavirus_viral
42355,48258,43179,4352,http://data.gesis.org/claimskg/creative_work/2d0c029a-242a-5e91-979e-d0e700beaa14,Dr. Fauci opens up the possibility that the COVID-19 vaccine could be making people more likely to be infected by the virus.,politifact,English,False,1,"COVID-19 vaccine, Dr. Fauci","['COVID-19 vaccine', ' Dr. Fauci']",2.0,22,en,11,11_fauci_faucis_coronavirus_viral
51629,58011,10401,4163,http://data.gesis.org/claimskg/creative_work/f927c6a7-be0f-543b-94b9-aba6d56d39ee,"A viral Instagram post allegedly shows Dr. Anthony Fauci, the director of the National Institute of Allergy and Infectious Diseases, saying he will not take a COVID-19 polymerase chain reaction (PCR) test.",checkyourfact,English,FALSE,1,"Dr. Anthony Fauci, Instagram, PCR","['Dr. Anthony Fauci', ' Instagram', ' PCR']",3.0,32,en,11,11_fauci_faucis_coronavirus_viral
64546,71459,63459,1430,http://data.gesis.org/claimskg/creative_work/2d6652dc-ad87-548d-a5b0-1ec7c3e118f2,Dr. Anthony Fauci compared emerging research about coronavirus with what the scientific community knows about chickenpox — as well as other viruses — and criticized people who were not taking steps to prevent the spread of COVID-19.,snopes,English,False,1,"Dr. Anthony Fauci, chickenpox, coronavirus, prevent the spread of COVID-19, taking steps, viruses","['Dr. Anthony Fauci', ' chickenpox', ' coronavirus', ' prevent the spread of COVID-19', ' taking steps', ' viruses']",6.0,37,en,11,11_fauci_faucis_coronavirus_viral
12048,16404,43932,5105,http://data.gesis.org/claimskg/creative_work/b8ba7ec3-d146-5b46-9a86-48f04c364b76,New evidence ties COVID-19 creation to research funded by Fauci,politifact,English,False,1,COVID-19,['COVID-19'],1.0,10,en,11,11_fauci_faucis_coronavirus_viral
50842,57219,7314,1076,http://data.gesis.org/claimskg/creative_work/4e21b80b-e9b4-589c-bb75-ab341eeade73,"A viral Facebook post claims top White House coronavirus adviser Dr. Anthony Fauci wrote a long essay about the coronavirus that asks, How dare you?",checkyourfact,English,FALSE,1,"Dr. Anthony Fauci, Facebook, coronavirus","['Dr. Anthony Fauci', ' Facebook', ' coronavirus']",3.0,25,en,11,11_fauci_faucis_coronavirus_viral
57949,64467,39412,585,http://data.gesis.org/claimskg/creative_work/8b8160e3-e1ec-58fe-941b-6e9c54de3b2f,2004 video shows Anthony Fauci is ignoring science on natural immunity with regard to COVID-19.,politifact,English,False,1,"2004 video, Anthony Fauci, COVID-19, natural immunity","['2004 video', ' Anthony Fauci', ' COVID-19', ' natural immunity']",4.0,15,en,11,11_fauci_faucis_coronavirus_viral
46535,52705,45152,6325,http://data.gesis.org/claimskg/creative_work/8450d950-e34f-57dc-b36d-849c7afaeba5,Says Dr. Anthony Fauci's name appears on 4 U.S. patents for a key glycoprotein used to create the current COVID-19 epidemic.,politifact,English,False,1,"COVID-19 epidemic, Dr. Anthony Fauci, glycoprotein","['COVID-19 epidemic', ' Dr. Anthony Fauci', ' glycoprotein']",3.0,21,en,11,11_fauci_faucis_coronavirus_viral
62858,69633,41760,2933,http://data.gesis.org/claimskg/creative_work/d47d3c05-131a-536f-9d50-409356db1558,Dr. Anthony Fauci and U.S. health officials plotted for a new avian flu virus to enforce universal flu vaccination.,politifact,English,False,1,"Dr. Anthony Fauci, U.S., avian flu virus, flu vaccination, health officials","['Dr. Anthony Fauci', ' U.S.', ' avian flu virus', ' flu vaccination', ' health officials']",5.0,19,en,11,11_fauci_faucis_coronavirus_viral
62251,68973,11738,390,http://data.gesis.org/claimskg/creative_work/0c81eaba-6733-5b9e-8713-2823b8287278,Anthony Fauci lied about Covid-19 natural immunity because he said in an old video that flu infection is the best vaccine,factcheck_afp,English,FALSE,1,"Anthony Fauci, Covid-19, flu, natural immunity, vaccine","['Anthony Fauci', ' Covid-19', ' flu', ' natural immunity', ' vaccine']",5.0,21,en,11,11_fauci_faucis_coronavirus_viral
45873,52038,17974,6626,http://data.gesis.org/claimskg/creative_work/3524816e-a2d5-552d-ae1d-8a71ebc690bd,Anthony Fauci’s wife is head of FDA and approved Covid-19 vaccines,factcheck_afp,English,FALSE,1,"Anthony Fauci, Covid-19 vaccines, FDA","['Anthony Fauci', ' Covid-19 vaccines', ' FDA']",3.0,11,en,11,11_fauci_faucis_coronavirus_viral
54398,60801,50442,2572,http://data.gesis.org/claimskg/creative_work/fe4388be-9b9d-5a1d-b2e8-8808747a2097,Says of COVID-19 that Dr. Anthony Fauci was telling people on February 29th that there was nothing to worry about and it posed no threat to the US public at large.,politifact,English,MIXTURE,2,"COVID-19, Dr. Anthony Fauci, February 29th","['COVID-19', ' Dr. Anthony Fauci', ' February 29th']",3.0,31,en,11,11_fauci_faucis_coronavirus_viral
