Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,claim,text,organization,lang_name,rating_label,rating_value,entity_strings,entities,nr_entities,num_words,probable_lang,Topic,Topic Name
12638,17003,42340,3513,http://data.gesis.org/claimskg/creative_work/a37702f1-32ba-5e68-ad4b-8bbdd07e51c8,Florida hospital reports a coronavirus ‘infestation’ with multiple confirmed patients.,politifact,English,False,1,Florida hospital,['Florida hospital'],1.0,10,en,12,12_coronavirus_flu_fever_cold
58586,65111,46203,7376,http://data.gesis.org/claimskg/creative_work/76f5967c-3b22-54d0-9fb9-afed09c01096,Shands Hospital of Gainesville Florida has confirmed its first case of coronavirus.,politifact,English,False,1,"Gainesville, Shands Hospital, confirmed its first case, coronavirus","['Gainesville', ' Shands Hospital', ' confirmed its first case', ' coronavirus']",4.0,12,en,12,12_coronavirus_flu_fever_cold
42159,48058,43144,4317,http://data.gesis.org/claimskg/creative_work/0fe828e9-417f-5755-9ef7-52e49c011670,"Says two patients at Valley Regional Medical Center in Brownsville, Texas, are being looked at for possible coronavirus infections.",politifact,English,False,1,"Brownsville, Texas","['Brownsville', ' Texas']",2.0,19,en,12,12_coronavirus_flu_fever_cold
40176,45828,17584,6236,http://data.gesis.org/claimskg/creative_work/e892822a-6247-5efb-a0ae-20d2d70fc59b,Confirmed coronavirus cases in Calgary and Edmonton,factcheck_afp,English,FALSE,1,"Calgary, Edmonton","['Calgary', ' Edmonton']",2.0,7,en,12,12_coronavirus_flu_fever_cold
37277,42686,16662,5314,http://data.gesis.org/claimskg/creative_work/e8cc0f5f-9694-5a69-a43e-42e87494fddd,Novel coronavirus exposure at a doctor’s office in this Australian town,factcheck_afp,English,FALSE,1,"coronavirus, doctor’s office","['coronavirus', ' doctor’s office']",2.0,11,en,12,12_coronavirus_flu_fever_cold
55133,61549,15561,4213,http://data.gesis.org/claimskg/creative_work/981eb400-f3cf-5a4d-aa77-03d4ebe4105f,A novel coronavirus patient has been identified in eastern Indian state of Bihar's Purnea district..,factcheck_afp,English,FALSE,1,"Bihar, Purnea district, eastern Indian","['Bihar', ' Purnea district', ' eastern Indian']",3.0,15,en,12,12_coronavirus_flu_fever_cold
59603,66186,12124,776,http://data.gesis.org/claimskg/creative_work/b313be74-eda1-53c8-94e6-442e3412c838,"7News article warning of coronavirus case in the Macarthur area, near Sydney, Australia.",factcheck_afp,English,FALSE,1,"7News, Australia, Macarthur area, Sydney","['7News', ' Australia', ' Macarthur area', ' Sydney']",4.0,13,en,12,12_coronavirus_flu_fever_cold
47361,53542,11958,610,http://data.gesis.org/claimskg/creative_work/76872034-4a96-55bd-8de1-eb61bfb4292c,"Novel coronavirus case discovered in Hurstville suburb of Sydney, Australia",factcheck_afp,English,FALSE,1,"Australia, Hurstville, Sydney","['Australia', ' Hurstville', ' Sydney']",3.0,10,en,12,12_coronavirus_flu_fever_cold
55206,61624,36178,3928,http://data.gesis.org/claimskg/creative_work/acc85970-b3f3-50a3-9af2-073b0db4269e,Cure for coronavirus can never be found: WHO,Vishvanews,English,FALSE,1,"Cure, WHO, coronavirus","['Cure', ' WHO', ' coronavirus']",3.0,8,en,12,12_coronavirus_flu_fever_cold
26045,31308,10725,4487,http://data.gesis.org/claimskg/creative_work/2aad315a-ff64-5460-b87b-e049d41c3d9a,"An article shared on Facebook alleges authorities have confirmed eight cases of the novel coronavirus in Nashville, Tennessee.",checkyourfact,English,FALSE,1,"Facebook, Nashville","['Facebook', ' Nashville']",2.0,18,en,12,12_coronavirus_flu_fever_cold
37059,42459,16209,4861,http://data.gesis.org/claimskg/creative_work/cdee053a-9813-5960-8287-226e453ff136,Confirmed case of novel coronavirus in Uttar Pradesh town of Barhalganj,factcheck_afp,English,FALSE,1,"Barhalganj, Uttar Pradesh","['Barhalganj', ' Uttar Pradesh']",2.0,11,en,12,12_coronavirus_flu_fever_cold
39450,44985,22939,1394,http://data.gesis.org/claimskg/creative_work/a6684d28-6790-5be0-9bb2-1200de8c52e8,Rashes are a symptom of the new coronavirus.,fullfact,English,OTHER,-1,"coronavirus, symptom","['coronavirus', ' symptom']",2.0,8,en,12,12_coronavirus_flu_fever_cold
7509,11789,28075,117,http://data.gesis.org/claimskg/creative_work/99c87485-2dd9-51e3-b8ac-fa42574dff30,Is Coronavirus ‘Like a Strong Flu’?,polygraph,English,MIXTURE,2,Flu,['Flu'],1.0,6,en,12,12_coronavirus_flu_fever_cold
2227,4309,13887,2539,http://data.gesis.org/claimskg/creative_work/645c2165-776c-55b3-9893-227cdd4178e0,Johns Hopkins is the source of a list of points on the novel coronavirus,factcheck_afp,English,FALSE,1,,,0.0,14,en,12,12_coronavirus_flu_fever_cold
678,2687,44288,5461,http://data.gesis.org/claimskg/creative_work/dd410496-6701-5a36-a194-bf1bec40eca9,Says coronavirus is just the damn flu.,politifact,English,False,1,,,0.0,7,en,12,12_coronavirus_flu_fever_cold
20503,25440,15961,4613,http://data.gesis.org/claimskg/creative_work/ff0e0052-2519-5495-a3d5-2cdac26f8126,Coronavirus is a type of rabies,factcheck_afp,English,OTHER,-1,rabies,['rabies'],1.0,6,en,12,12_coronavirus_flu_fever_cold
49194,55507,71320,34,http://data.gesis.org/claimskg/creative_work/294a2243-de44-51ef-b069-86affc761430,"A video demonstrates there have been exponentially more cases of new coronavirus than other diseases such as SARS, MERS, Ebola, and swine flu.",snopes,English,MIXTURE,2,"Ebola, MERS, swine flu","['Ebola', ' MERS', ' swine flu']",3.0,23,en,12,12_coronavirus_flu_fever_cold
