Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,claim,text,organization,lang_name,rating_label,rating_value,entity_strings,entities,nr_entities,num_words,probable_lang,Topic,Topic Name
60953,67632,54964,7094,http://data.gesis.org/claimskg/creative_work/61e5fbb9-0e75-5f30-a09c-7ee5647ed061,So 2 doctors from Bakersfield discover that coronavirus mortality rate is 0.03%. 13x less deadly than what was previously thought! Their analysis has since been banned from YouTube.,politifact,English,MIXTURE,2,"Bakersfield, YouTube, coronavirus, mortality rate","['Bakersfield', ' YouTube', ' coronavirus', ' mortality rate']",4.0,28,en,13,13_covid19_covid_mortality_percent
14455,18837,52365,4495,http://data.gesis.org/claimskg/creative_work/bb765836-0fbc-5db8-bc72-7881ad1f13d2,The CDC just confirmed a 0.2% death-rate for COVID19.,politifact,English,MIXTURE,2,CDC,['CDC'],1.0,9,en,13,13_covid19_covid_mortality_percent
46206,52374,44749,5922,http://data.gesis.org/claimskg/creative_work/3ed5849a-ca90-548e-9603-05d3791ae1e4,The mortality rate for the flu is right around that of the new coronavirus: It’s right around 2%.,politifact,English,False,1,"coronavirus, flu, mortality rate","['coronavirus', ' flu', ' mortality rate']",3.0,18,en,13,13_covid19_covid_mortality_percent
39504,45039,22985,1440,http://data.gesis.org/claimskg/creative_work/047799ce-7c46-5336-8b79-7c31e830ce4e,The Covid-19 death rate for most of us is 0.05%.,fullfact,English,OTHER,-1,"Covid-19, death rate","['Covid-19', ' death rate']",2.0,10,en,13,13_covid19_covid_mortality_percent
9098,13432,26169,4624,http://data.gesis.org/claimskg/creative_work/bc83c07f-9093-570b-8302-8a8c210301c0,Covid-19’s infection fatality rate is 0.1%,fullfact,English,FALSE,1,infection fatality rate,['infection fatality rate'],1.0,6,en,13,13_covid19_covid_mortality_percent
22814,27959,23287,1742,http://data.gesis.org/claimskg/creative_work/8a2557a4-c29e-584a-a3b3-9f02e8270971,Covid-19 has a survival rate of 99.998%.,fullfact,English,FALSE,1,survival rate,['survival rate'],1.0,7,en,13,13_covid19_covid_mortality_percent
40666,46490,31325,2178,http://data.gesis.org/claimskg/creative_work/995cab46-752f-5421-80ef-cca1562f4426,"A reported .04 percent death rate for COVID-19 is inaccurate, and a death rate cannot be calculated by dividing the number of deaths by a country's population size.",truthorfiction,English,MIXTURE,2,"COVID-19, death rate","['COVID-19', ' death rate']",2.0,28,en,13,13_covid19_covid_mortality_percent
39273,44807,25229,3684,http://data.gesis.org/claimskg/creative_work/510c9404-c93d-5b2c-a885-b8ca995bb99c,The survival rate from Covid-19 is 99.8%.,fullfact,English,TRUE,3,"Covid-19, survival rate","['Covid-19', ' survival rate']",2.0,7,en,13,13_covid19_covid_mortality_percent
51288,57668,57470,9600,http://data.gesis.org/claimskg/creative_work/173e89a8-19a5-5cbe-a707-0bac5bbe6ce0,Says the current survival rate for COVID-19 in the U.S. is 98.54%,politifact,English,MIXTURE,2,"COVID-19, U.S., survival rate","['COVID-19', ' U.S.', ' survival rate']",3.0,12,en,13,13_covid19_covid_mortality_percent
12100,16456,44401,5574,http://data.gesis.org/claimskg/creative_work/bebabf09-86ef-5d66-a684-ab1f5cac9894,New data shows that death is proportional to dose for COVID-19.,politifact,English,False,1,COVID-19,['COVID-19'],1.0,11,en,13,13_covid19_covid_mortality_percent
