Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,claim,text,organization,lang_name,rating_label,rating_value,entity_strings,entities,nr_entities,num_words,probable_lang,Topic,Topic Name
472,2473,45892,7065,http://data.gesis.org/claimskg/creative_work/b113acb3-3f0f-5528-adea-8a1f2a5e476a,Health and Human Services admits they have never conducted federally-required monitoring of vaccine safety for over 30 years.,politifact,English,False,1,,,0.0,18,en,16,16_vaccines_vaccine_tested_covid19
544,2546,43240,4413,http://data.gesis.org/claimskg/creative_work/e1994da2-3cfd-5080-a006-8dcc6d33ca38,Says combined doses of vaccines have never been tested.,politifact,English,False,1,,,0.0,9,en,16,16_vaccines_vaccine_tested_covid19
18203,22722,39198,371,http://data.gesis.org/claimskg/creative_work/eacf8071-4aa1-59bb-8147-dda6c3f235f1,Pfizer executive admits vaccine was never tested for preventing transmission.,politifact,English,False,1,Pfizer,['Pfizer'],1.0,10,en,16,16_vaccines_vaccine_tested_covid19
4330,8104,27769,6224,http://data.gesis.org/claimskg/creative_work/586675c6-d77c-5a31-9f71-054c76c749b2,The vaccines haven’t been subject to medium or long term safety testing on humans.,fullfact,English,TRUE,3,,,0.0,14,en,16,16_vaccines_vaccine_tested_covid19
7184,11446,6006,6006,http://data.gesis.org/claimskg/creative_work/55cb6078-48c5-5e4c-b465-d298578b0ee5,Vaccines have never been used to control outbreaks.,africacheck,English,FALSE,1,,,0.0,8,en,16,16_vaccines_vaccine_tested_covid19
22962,28110,23018,1473,http://data.gesis.org/claimskg/creative_work/82f073f8-90dc-5e59-8d84-aac0be2713e7,Vaccine manufacturers have never claimed their vaccines stop transmission of Covid-19.,fullfact,English,FALSE,1,Covid-19,['Covid-19'],1.0,11,en,16,16_vaccines_vaccine_tested_covid19
38851,44296,27157,5612,http://data.gesis.org/claimskg/creative_work/83d496aa-0a08-5cc3-ab2f-c38d90ec4e62,Covid-19 vaccines have not been tested and there are no medical studies underlying them.,fullfact,English,OTHER,-1,"Covid-19 vaccines, medical studies","['Covid-19 vaccines', ' medical studies']",2.0,14,en,16,16_vaccines_vaccine_tested_covid19
2730,4823,26509,4964,http://data.gesis.org/claimskg/creative_work/5ddd0598-8441-5701-8d14-7bbbd3f5470f,The vaccines were not trialled or tested.,fullfact,English,FALSE,1,,,0.0,7,en,16,16_vaccines_vaccine_tested_covid19
41408,47288,42315,3488,http://data.gesis.org/claimskg/creative_work/bc699f4a-6c00-5498-a296-07c9ed09e8d9,There is no clinical evidence that vaccinating healthcare workers protects patients.,politifact,English,False,1,"clinical evidence, healthcare workers","['clinical evidence', ' healthcare workers']",2.0,11,en,16,16_vaccines_vaccine_tested_covid19
52716,59103,41059,2232,http://data.gesis.org/claimskg/creative_work/f59301ed-0ed0-51be-a098-e597df0e9701,mRNA technology in COVID-19 vaccines was never tested in humans.,politifact,English,False,1,"COVID-19 vaccines, mRNA, tested in humans","['COVID-19 vaccines', ' mRNA', ' tested in humans']",3.0,10,en,16,16_vaccines_vaccine_tested_covid19
