Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,claim,text,organization,lang_name,rating_label,rating_value,entity_strings,entities,nr_entities,num_words,probable_lang,Topic,Topic Name
39675,45211,25851,4306,http://data.gesis.org/claimskg/creative_work/92a00694-32be-577e-80a2-96e5b3600682,The Covid-19 vaccine trials have not yet been completed and therefore the results cannot be peer-reviewed.,fullfact,English,TRUE,3,"Covid-19 vaccine, peer-reviewed","['Covid-19 vaccine', ' peer-reviewed']",2.0,16,en,16,16_vaccines_vaccine_tested_covid19
22748,27892,23730,2185,http://data.gesis.org/claimskg/creative_work/d9f882c2-01b1-5d06-bed2-807fbcd0adba,Phase three trials for Covid-19 vaccines haven’t been done.,fullfact,English,MIXTURE,2,Covid-19 vaccines,['Covid-19 vaccines'],1.0,9,en,16,16_vaccines_vaccine_tested_covid19
38851,44296,27157,5612,http://data.gesis.org/claimskg/creative_work/83d496aa-0a08-5cc3-ab2f-c38d90ec4e62,Covid-19 vaccines have not been tested and there are no medical studies underlying them.,fullfact,English,OTHER,-1,"Covid-19 vaccines, medical studies","['Covid-19 vaccines', ' medical studies']",2.0,14,en,16,16_vaccines_vaccine_tested_covid19
3356,5712,24750,3205,http://data.gesis.org/claimskg/creative_work/115eef8b-8e3a-5417-906e-699ef4576e83,Covid-19 vaccines are not approved for use.,fullfact,English,FALSE,1,,,0.0,7,en,16,16_vaccines_vaccine_tested_covid19
2730,4823,26509,4964,http://data.gesis.org/claimskg/creative_work/5ddd0598-8441-5701-8d14-7bbbd3f5470f,The vaccines were not trialled or tested.,fullfact,English,FALSE,1,,,0.0,7,en,16,16_vaccines_vaccine_tested_covid19
11468,15820,27474,5929,http://data.gesis.org/claimskg/creative_work/7e7edae5-50ce-5b89-8669-656984780cba,Dose range finding studies were not performed for the Covid-19 vaccines.,fullfact,English,FALSE,1,Covid-19 vaccines,['Covid-19 vaccines'],1.0,11,en,16,16_vaccines_vaccine_tested_covid19
39561,45096,22823,1278,http://data.gesis.org/claimskg/creative_work/c9f50e9d-605d-5683-88f3-88d4b5a236b8,The mRNA Covid-19 vaccines have not been tested on animals.,fullfact,English,FALSE,1,"Covid-19 vaccines, tested on animals","['Covid-19 vaccines', ' tested on animals']",2.0,10,en,16,16_vaccines_vaccine_tested_covid19
39169,44696,27576,6031,http://data.gesis.org/claimskg/creative_work/117264b5-84f7-5fa0-846e-a85dbf28e9b2,Covid-19 vaccines were not tested on animals before they were approved.,fullfact,English,OTHER,-1,"Covid-19 vaccines, tested on animals","['Covid-19 vaccines', ' tested on animals']",2.0,11,en,16,16_vaccines_vaccine_tested_covid19
39634,45169,25501,3956,http://data.gesis.org/claimskg/creative_work/28ab2a4f-d9d3-5b64-993f-69d3c3a82d07,There have been no tests to assess the safety of combining or overlapping Covid-19 and flu vaccines.,fullfact,English,OTHER,-1,"Covid-19, flu vaccines","['Covid-19', ' flu vaccines']",2.0,17,en,16,16_vaccines_vaccine_tested_covid19
21883,26884,11443,95,http://data.gesis.org/claimskg/creative_work/117de313-8ac7-501d-b0a4-e7dee567bb20,Vaccines are not aimed at protecting the unvaccinated from Covid-19,factcheck_afp,English,FALSE,1,Covid-19,['Covid-19'],1.0,10,en,16,16_vaccines_vaccine_tested_covid19
39540,45075,22658,1113,http://data.gesis.org/claimskg/creative_work/740df78f-5503-53b6-88a0-2fc034c6cefa,The Covid-19 vaccine was only tested on completely healthy people.,fullfact,English,FALSE,1,"Covid-19 vaccine, healthy people","['Covid-19 vaccine', ' healthy people']",2.0,10,en,16,16_vaccines_vaccine_tested_covid19
