Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,claim,text,organization,lang_name,rating_label,rating_value,entity_strings,entities,nr_entities,num_words,probable_lang,Topic,Topic Name
164,1372,17447,6099,http://data.gesis.org/claimskg/creative_work/9521eb24-7d1b-567e-b43d-6164dea38e5e,Ablution water can destroy novel coronavirus,factcheck_afp,English,FALSE,1,,,0.0,6,en,17,17_coronavirus_vinegar_virus_cures
36216,41571,15787,4439,http://data.gesis.org/claimskg/creative_work/5d481491-e930-5961-bb0b-8eb843afd905,Gargling water can proect against coronavirus,factcheck_afp,English,FALSE,1,"Gargling, coronavirus","['Gargling', ' coronavirus']",2.0,6,en,17,17_coronavirus_vinegar_virus_cures
22810,27955,12239,891,http://data.gesis.org/claimskg/creative_work/3899cf8f-7ccd-577b-9f7e-4e1cce2212bc,Drinking water will cure coronavirus,factcheck_afp,English,FALSE,1,Drinking water,['Drinking water'],1.0,5,en,17,17_coronavirus_vinegar_virus_cures
36282,41643,15713,4365,http://data.gesis.org/claimskg/creative_work/89734e99-704d-5300-9424-b02f37d8b236,German researchers confirm gargling salt water will kill coronavirus,factcheck_afp,English,FALSE,1,"coronavirus, gargling","['coronavirus', ' gargling']",2.0,9,en,17,17_coronavirus_vinegar_virus_cures
45057,51147,4513,4513,http://data.gesis.org/claimskg/creative_work/fac17c3f-8491-5c2b-9fe3-ceb76d087a3e,"No, gargling salt or vinegar water will not cure coronavirus",africacheck,English,FALSE,1,"coronavirus, gargling, vinegar","['coronavirus', ' gargling', ' vinegar']",3.0,10,en,17,17_coronavirus_vinegar_virus_cures
55398,61820,8890,2652,http://data.gesis.org/claimskg/creative_work/3424c3b7-9b5a-59f6-972b-edc58f6f66ac,"An image shared on Facebook more than 20,000 times claims gargling warm water with salt or vinegar eliminates the new coronavirus.",checkyourfact,English,FALSE,1,"Facebook, gargling, vinegar, warm water","['Facebook', ' gargling', ' vinegar', ' warm water']",4.0,21,en,17,17_coronavirus_vinegar_virus_cures
2254,4337,14185,2837,http://data.gesis.org/claimskg/creative_work/cc4ccbc9-8559-5e48-85bc-3467087667c8,Bathing in hot water can prevent novel coronavirus,factcheck_afp,English,FALSE,1,,,0.0,8,en,17,17_coronavirus_vinegar_virus_cures
40039,45687,33410,1160,http://data.gesis.org/claimskg/creative_work/568ced4f-99b5-5a12-b537-5adecf10fe08,Garlic water can cure coronavirus,Vishvanews,English,FALSE,1,"Garlic, coronavirus","['Garlic', ' coronavirus']",2.0,5,en,17,17_coronavirus_vinegar_virus_cures
24289,29545,11527,179,http://data.gesis.org/claimskg/creative_work/1d01bcae-8559-5c6d-a2a3-80e7a07d25cc,Drinking garlic water can cure novel coronavirus,factcheck_afp,English,FALSE,1,"coronavirus, garlic","['coronavirus', ' garlic']",2.0,7,en,17,17_coronavirus_vinegar_virus_cures
55222,61641,36179,3929,http://data.gesis.org/claimskg/creative_work/80df5429-eb2c-502f-8080-66a4bbf8bd77,Gargling with bleach can cure coronavirus,Vishvanews,English,FALSE,1,"Gargling, bleach, coronavirus","['Gargling', ' bleach', ' coronavirus']",3.0,6,en,17,17_coronavirus_vinegar_virus_cures
58354,64877,14366,3018,http://data.gesis.org/claimskg/creative_work/e6918822-ce3d-567b-a953-0623f2a3cdf7,"Drinking water every 15 minutes prevents novel coronavirus, COVID-19",factcheck_afp,English,FALSE,1,"15 minutes, COVID-19, Drinking water, coronavirus","['15 minutes', ' COVID-19', ' Drinking water', ' coronavirus']",4.0,9,en,17,17_coronavirus_vinegar_virus_cures
1937,4010,41398,2571,http://data.gesis.org/claimskg/creative_work/c876beca-72f2-50cb-8c2d-fbb4b26bfc4b,Says drinking a bleach solution will prevent you from getting the coronavirus.,politifact,English,False,1,,,0.0,12,en,17,17_coronavirus_vinegar_virus_cures
51312,57692,36206,3956,http://data.gesis.org/claimskg/creative_work/d14584be-2bef-53b8-9ba8-53196a9c9f1e,Gargling with warm salt water can save from coronavirus,Vishvanews,English,FALSE,1,"Gargling, coronavirus, salt water","['Gargling', ' coronavirus', ' salt water']",3.0,9,en,17,17_coronavirus_vinegar_virus_cures
55506,61932,43461,4634,http://data.gesis.org/claimskg/creative_work/d82b60a8-b2c6-5b5d-90c1-938f4ab4cb1d,Drinking water a lot and gargling with warm water & salt or vinegar eliminates the coronavirus.,politifact,English,False,1,"Drinking water, gargling, vinegar, warm water","['Drinking water', ' gargling', ' vinegar', ' warm water']",4.0,16,en,17,17_coronavirus_vinegar_virus_cures
62210,68932,39312,485,http://data.gesis.org/claimskg/creative_work/5e600cd0-4dfa-5566-99a5-d6cf4bc0a00a,"If the coronavirus gets in your mouth, drinking water or other liquids will WASH them down through your esophagus and into the stomach. Once there in tummy ... your stomach ACID will kill all the virus.",politifact,English,False,1,"WASH, coronavirus, drinking water, esophagus, stomach ACID","['WASH', ' coronavirus', ' drinking water', ' esophagus', ' stomach ACID']",5.0,36,en,17,17_coronavirus_vinegar_virus_cures
4270,7140,32427,177,http://data.gesis.org/claimskg/creative_work/7eb66e27-cc6c-537e-a545-2ffe7fbd1cc7,Coronavirus can be killed from inhaling steam,Vishvanews,English,FALSE,1,,,0.0,7,en,17,17_coronavirus_vinegar_virus_cures
54270,60669,15692,4344,http://data.gesis.org/claimskg/creative_work/5dc84876-8ce0-5ce0-92be-b470a5f27dd5,Gargling alum water saves people Covid-19,factcheck_afp,English,FALSE,1,"Covid-19, Gargling, alum","['Covid-19', ' Gargling', ' alum']",3.0,6,en,17,17_coronavirus_vinegar_virus_cures
19116,23942,13198,1850,http://data.gesis.org/claimskg/creative_work/9b7c053d-6a20-5c8e-ae10-5285a6554e8a,Breathing steam from a boiling pot of water will treat or cure a novel coronavirus infection,factcheck_afp,English,FALSE,1,boiling pot,['boiling pot'],1.0,16,en,17,17_coronavirus_vinegar_virus_cures
2496,4586,26691,5146,http://data.gesis.org/claimskg/creative_work/32bc8429-e1c3-5203-8343-eb7315da6bf2,Drinking lots of water will eliminate the new coronavirus from your throat.,fullfact,English,FALSE,1,,,0.0,12,en,17,17_coronavirus_vinegar_virus_cures
16234,20691,33516,1266,http://data.gesis.org/claimskg/creative_work/2a835154-6de4-5b10-ad6d-3cf512f6223c,Mouthwash kills and cures Coronavirus,Vishvanews,English,FALSE,1,Mouthwash,['Mouthwash'],1.0,5,en,17,17_coronavirus_vinegar_virus_cures
20323,25255,6770,532,http://data.gesis.org/claimskg/creative_work/8570644c-0886-5887-94e2-268cd59840ad,A Facebook post claims that drinking hot water with sliced lemon can kill the new coronavirus.,checkyourfact,English,FALSE,1,Facebook,['Facebook'],1.0,16,en,17,17_coronavirus_vinegar_virus_cures
39859,45450,32125,2978,http://data.gesis.org/claimskg/creative_work/a3a41686-664a-5e7c-906d-da89315aecba,"Coronavirus strain COVID-19 can be treated by drinking warm water, among several other claims made online.",truthorfiction,English,MIXTURE,2,"COVID-19, warm water","['COVID-19', ' warm water']",2.0,16,en,17,17_coronavirus_vinegar_virus_cures
49992,56362,70699,8670,http://data.gesis.org/claimskg/creative_work/5e87e5d4-0411-56e8-90e6-a8af113dc898,Taking a few sips of water every 15 mins will prevent the new coronavirus from entering your windpipe and lungs.,snopes,English,False,1,"coronavirus, lungs, windpipe","['coronavirus', ' lungs', ' windpipe']",3.0,20,en,17,17_coronavirus_vinegar_virus_cures
39524,45059,26286,4741,http://data.gesis.org/claimskg/creative_work/c0198301-fa7e-55e3-833d-e97be9a7530a,Gargling water mixed with salt or vinegar eliminates the new coronavirus from your throat.,fullfact,English,FALSE,1,"Gargling, vinegar","['Gargling', ' vinegar']",2.0,14,en,17,17_coronavirus_vinegar_virus_cures
66132,73165,32369,119,http://data.gesis.org/claimskg/creative_work/c40df3df-36fa-58d5-be61-82c22abf2b9b,"Drinking corona kashayam made of Turmeric, Clove, Lemon, and ginger boiled in 1 litre water can cure coronavirus within 24 hours",Vishvanews,English,FALSE,1,"24 hours, Clove, Drinking, Lemon, Turmeric, boiled, corona, coronavirus, kashayam, litre","['24 hours', ' Clove', ' Drinking', ' Lemon', ' Turmeric', ' boiled', ' corona', ' coronavirus', ' kashayam', ' litre']",10.0,21,en,17,17_coronavirus_vinegar_virus_cures
