Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,claim,text,organization,lang_name,rating_label,rating_value,entity_strings,entities,nr_entities,num_words,probable_lang,Topic,Topic Name
2441,4531,22234,689,http://data.gesis.org/claimskg/creative_work/beaf2305-0858-575b-9323-5b76b1cf1096,"There are 430,000 more people in employment than before the pandemic began.",fullfact,English,FALSE,1,,,0.0,12,en,18,18_pandemic_workforce_workers_unemployment
3777,6137,23362,1817,http://data.gesis.org/claimskg/creative_work/ef7346a0-6159-50c6-8735-af18f9cbef52,"We now have 420,000 more people in employment than there were before the pandemic began.",fullfact,English,FALSE,1,,,0.0,15,en,18,18_pandemic_workforce_workers_unemployment
3138,5492,24960,3415,http://data.gesis.org/claimskg/creative_work/10a7978f-8c66-55e3-8c2a-fc1238c2e281,"There are 420,000 more people in work now than at the start of the pandemic.",fullfact,English,FALSE,1,,,0.0,15,en,18,18_pandemic_workforce_workers_unemployment
3866,6230,23429,1884,http://data.gesis.org/claimskg/creative_work/c2af2175-d909-5a37-9984-0dfb48a00396,There are now more people in work than there were before the pandemic began.,fullfact,English,MIXTURE,2,,,0.0,14,en,18,18_pandemic_workforce_workers_unemployment
2636,4727,26377,4832,http://data.gesis.org/claimskg/creative_work/8b4797ba-2899-5388-9c37-3c8525ba77e4,There are more people in work than there were before the pandemic.,fullfact,English,FALSE,1,,,0.0,12,en,18,18_pandemic_workforce_workers_unemployment
22011,27040,21689,144,http://data.gesis.org/claimskg/creative_work/109f5d91-51b3-55ed-b76d-7ec1a4ff1cc0,More people are in work than before the Covid-19 pandemic.,fullfact,English,OTHER,-1,Covid-19 pandemic,['Covid-19 pandemic'],1.0,10,en,18,18_pandemic_workforce_workers_unemployment
32451,37769,5389,5389,http://data.gesis.org/claimskg/creative_work/8a34bcf9-eb8c-5e69-958b-5fb9eebb2034,... around 1.5 million people lost their jobs since the start of the pandemic,africacheck,English,TRUE,3,"1.5 million, lost their jobs","['1.5 million', ' lost their jobs']",2.0,14,en,18,18_pandemic_workforce_workers_unemployment
2896,5242,21655,110,http://data.gesis.org/claimskg/creative_work/3e1871b3-4504-57bc-a471-18a898355738,Employees are earning more money than before the pandemic.,fullfact,English,FALSE,1,,,0.0,9,en,18,18_pandemic_workforce_workers_unemployment
20981,25956,4632,4632,http://data.gesis.org/claimskg/creative_work/f5533546-5580-5f5d-9526-23436739df4a,Over the past two years [the Covid-19 pandemic] has ... put 2 million people out of work.,africacheck,English,TRUE,3,Covid-19 pandemic,['Covid-19 pandemic'],1.0,17,en,18,18_pandemic_workforce_workers_unemployment
4693,8844,57092,9222,http://data.gesis.org/claimskg/creative_work/dc1ca053-7fb4-5bbc-a622-5ef1b216f689,You've had over 2 million women drop out of the workforce during this pandemic.,politifact,English,MIXTURE,2,,,0.0,14,en,18,18_pandemic_workforce_workers_unemployment
9474,13811,26293,4748,http://data.gesis.org/claimskg/creative_work/40e7a412-c0ab-586b-a885-9ea99b6d4b93,Nearly half the population thinks the reason people lost their jobs in the pandemic was due to their own underperformance.,fullfact,English,MIXTURE,2,lost their jobs,['lost their jobs'],1.0,20,en,18,18_pandemic_workforce_workers_unemployment
