Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,claim,text,organization,lang_name,rating_label,rating_value,entity_strings,entities,nr_entities,num_words,probable_lang,Topic,Topic Name
2804,5147,21840,295,http://data.gesis.org/claimskg/creative_work/2c2d045f-d8ce-5d88-9b17-291327e44d98,Mersey Care NHS Foundation Trust have had five deaths related to Covid-19 and all patients that passed away had pre-existing conditions.,fullfact,English,MIXTURE,2,,,0.0,21,en,19,19_deaths_covid19_covid_death
22470,27604,23891,2346,http://data.gesis.org/claimskg/creative_work/b7d9b56c-2d1a-5602-bf55-83ef09d9cf52,The deaths of 181 NHS workers have involved Covid-19.,fullfact,English,TRUE,3,NHS,['NHS'],1.0,9,en,19,19_deaths_covid19_covid_death
39324,44858,24392,2847,http://data.gesis.org/claimskg/creative_work/f2f48ca2-dfbf-5730-8b6e-aa32d6127e22,"To the end of 2021, there have been 18,939 Covid-19 deaths with comorbidities in the UK.",fullfact,English,TRUE,3,"Covid-19, comorbidities","['Covid-19', ' comorbidities']",2.0,16,en,19,19_deaths_covid19_covid_death
39300,44834,24673,3128,http://data.gesis.org/claimskg/creative_work/8e1da8d1-0b4a-567a-af0a-b7a9b69924ee,There were five deaths within 28 days of a positive Covid-19 test in the UK.,fullfact,English,OTHER,-1,"28 days, Covid-19","['28 days', ' Covid-19']",2.0,15,en,19,19_deaths_covid19_covid_death
47384,53565,24785,3240,http://data.gesis.org/claimskg/creative_work/011ddf4b-4fea-5760-a15b-a9bc3225d1d8,"Official NHS data to 16 July shows there were 1,379 Covid-19 deaths in which there were no pre-existing conditions.",fullfact,English,FALSE,1,"16 July, NHS, pre-existing conditions","['16 July', ' NHS', ' pre-existing conditions']",3.0,19,en,19,19_deaths_covid19_covid_death
23225,28379,23471,1926,http://data.gesis.org/claimskg/creative_work/969b3205-bc91-5574-8ce3-11852f7ca7b6,"According to NHS data, as of 21st January there have been 4,717 Covid-19 deaths of people between the ages of 0-59 in the UK.",fullfact,English,FALSE,1,NHS,['NHS'],1.0,24,en,19,19_deaths_covid19_covid_death
2846,5190,21925,380,http://data.gesis.org/claimskg/creative_work/e47a90f6-cb74-52e7-96b1-3f8998dab3af,At least 133 children have died of Covid-19 in the UK.,fullfact,English,OTHER,-1,,,0.0,11,en,19,19_deaths_covid19_covid_death
23064,28215,23677,2132,http://data.gesis.org/claimskg/creative_work/47abc85f-ea88-5757-b0fc-f7b298a9a326,"To the end of 2021, there have been 156,924 deaths within 28 days of a positive Covid-19 test in the UK.",fullfact,English,OTHER,-1,Covid-19,['Covid-19'],1.0,21,en,19,19_deaths_covid19_covid_death
22634,27772,24349,2804,http://data.gesis.org/claimskg/creative_work/5dbe267d-9ca7-563d-ad0d-fd1210825c8b,"Around 17,000 people have died of Covid-19 in Britain.",fullfact,English,FALSE,1,Covid-19,['Covid-19'],1.0,9,en,19,19_deaths_covid19_covid_death
22644,27782,24225,2680,http://data.gesis.org/claimskg/creative_work/7d9a4a3d-0aea-54b9-ac99-6bf22e9e26fb,From 21 July to 25 July the UK reported 426 Covid-19 deaths.,fullfact,English,OTHER,-1,Covid-19,['Covid-19'],1.0,12,en,19,19_deaths_covid19_covid_death
47872,54057,23322,1777,http://data.gesis.org/claimskg/creative_work/75872f19-8a8a-5797-8335-ddaf57c4019c,"To the end of 2021, there have been 6,189 Covid-19 deaths where only Covid-19 was entered on the death certificate.",fullfact,English,OTHER,-1,"2021, Covid-19, death certificate","['2021', ' Covid-19', ' death certificate']",3.0,20,en,19,19_deaths_covid19_covid_death
39201,44734,23898,2353,http://data.gesis.org/claimskg/creative_work/3433f7a0-7a85-56c6-a786-caa651fae76a,The deaths of 131 care workers have involved Covid-19.,fullfact,English,OTHER,-1,"Covid-19, care workers","['Covid-19', ' care workers']",2.0,9,en,19,19_deaths_covid19_covid_death
46082,52249,26935,5390,http://data.gesis.org/claimskg/creative_work/001daf8b-43a5-5de2-ab6d-62641f3d0cb9,The UK recorded just three deaths from respiratory conditions besides Covid-19 in October 2020.,fullfact,English,FALSE,1,"Covid-19, October 2020, respiratory conditions","['Covid-19', ' October 2020', ' respiratory conditions']",3.0,14,en,19,19_deaths_covid19_covid_death
39164,44688,27526,5981,http://data.gesis.org/claimskg/creative_work/453d7f63-9976-52af-abb6-7f7879781d45,"Only hundreds, not thousands, of people have died of Covid without any other pre-existing condition mentioned on their death certificate.",fullfact,English,FALSE,1,"death certificate, pre-existing condition","['death certificate', ' pre-existing condition']",2.0,20,en,19,19_deaths_covid19_covid_death
47856,54041,25735,4190,http://data.gesis.org/claimskg/creative_work/74c2798d-c877-5483-bc5b-12b4587898e3,"According to NHS England figures, the number of people whose death certificates show death from only coronavirus, i.e. no pre-existing condition, is 1,265.",fullfact,English,MIXTURE,2,"NHS England, coronavirus, pre-existing condition","['NHS England', ' coronavirus', ' pre-existing condition']",3.0,23,en,19,19_deaths_covid19_covid_death
3722,6082,23629,2084,http://data.gesis.org/claimskg/creative_work/d232a307-76ff-57cf-8ae1-ce2f436fa030,18 people died of Covid-19 in one day in England.,fullfact,English,TRUE,3,,,0.0,10,en,19,19_deaths_covid19_covid_death
