Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,claim,text,organization,lang_name,rating_label,rating_value,entity_strings,entities,nr_entities,num_words,probable_lang,Topic,Topic Name
31001,36305,713,713,http://data.gesis.org/claimskg/creative_work/0d369eea-2cd5-53bf-9286-0195e5ceb708,"Photo of migrants drowned in 2013, not Italy’s coronavirus victims",africacheck,English,FALSE,1,"Italy, coronavirus victims","['Italy', ' coronavirus victims']",2.0,10,en,20,20_coronavirus_covid19_bodies_italy
28164,33446,8092,1854,http://data.gesis.org/claimskg/creative_work/6e4e3a85-6ed3-5466-afd8-36cc72f098ba,An image shared on Facebook purportedly shows the bodies of people who have died from the new coronavirus in the streets of Italy.,checkyourfact,English,FALSE,1,"Facebook, Italy","['Facebook', ' Italy']",2.0,23,en,20,20_coronavirus_covid19_bodies_italy
41709,47598,12742,1394,http://data.gesis.org/claimskg/creative_work/0427555e-6018-5355-b923-60c5cf27e55a,Coffins of coronavirus victims in Italy,factcheck_afp,English,FALSE,1,"Italy, coronavirus victims","['Italy', ' coronavirus victims']",2.0,6,en,20,20_coronavirus_covid19_bodies_italy
37179,42584,16067,4719,http://data.gesis.org/claimskg/creative_work/acf97c76-198c-55d4-b129-03c057aee663,Picture shows those deceased from COVID-19 in Italy,factcheck_afp,English,FALSE,1,"COVID-19, Italy","['COVID-19', ' Italy']",2.0,8,en,20,20_coronavirus_covid19_bodies_italy
36839,42223,16743,5395,http://data.gesis.org/claimskg/creative_work/99bd6b0b-6cdf-5f9c-ad51-fa11ea77f95f,"This video shows bodies of novel coronavirus, or COVID-19 victims being thrown into a ditch in Italy",factcheck_afp,English,FALSE,1,"COVID-19, Italy","['COVID-19', ' Italy']",2.0,17,en,20,20_coronavirus_covid19_bodies_italy
20501,25438,15957,4609,http://data.gesis.org/claimskg/creative_work/a950cbb4-5cde-5ae6-b539-c816a23a8df7,These photos show patients outside Italian hospitals during the COVID-19 pandemic,factcheck_afp,English,FALSE,1,COVID-19 pandemic,['COVID-19 pandemic'],1.0,11,en,20,20_coronavirus_covid19_bodies_italy
37450,42868,13920,2572,http://data.gesis.org/claimskg/creative_work/fc04a151-1206-5371-9994-38dc39cdb141,This photo shows medics in Italy who died from COVID-19,factcheck_afp,English,FALSE,1,"COVID-19, Italy","['COVID-19', ' Italy']",2.0,10,en,20,20_coronavirus_covid19_bodies_italy
50485,56860,15097,3749,http://data.gesis.org/claimskg/creative_work/dee029f6-6b79-5725-a90f-f9d202d7238c,Video shows body bags of coronavirus victims in Italy,factcheck_afp,English,FALSE,1,"Italy, body bags, coronavirus victims","['Italy', ' body bags', ' coronavirus victims']",3.0,9,en,20,20_coronavirus_covid19_bodies_italy
23359,28559,12796,1448,http://data.gesis.org/claimskg/creative_work/9d2ac9ab-88b3-5d90-9cb6-841913d18a60,Video of Italian Covid-19 victims,factcheck_afp,English,FALSE,1,Covid-19 victims,['Covid-19 victims'],1.0,5,en,20,20_coronavirus_covid19_bodies_italy
37838,43260,40523,1696,http://data.gesis.org/claimskg/creative_work/d9d72cbb-68b7-5eb5-ab57-2aebbab10782,Says video of body bags being dumped in a ditch shows the situation in Italy due to the coronavirus.,politifact,English,False,1,"Italy, body bags","['Italy', ' body bags']",2.0,19,en,20,20_coronavirus_covid19_bodies_italy
26964,32232,9533,3295,http://data.gesis.org/claimskg/creative_work/63dd228b-c173-59b4-9c11-df5b0a57c5dc,"An image shared on Facebook more than 1,200 times purportedly shows Italian doctors who died from coronavirus in an operating room.",checkyourfact,English,FALSE,1,"Facebook, operating room","['Facebook', ' operating room']",2.0,21,en,20,20_coronavirus_covid19_bodies_italy
39459,44994,22867,1322,http://data.gesis.org/claimskg/creative_work/607cd26a-5d86-5e7d-981e-faa76180d3de,This picture shows trucks carrying dead bodies of Covid-19 victims and the accompanying post implies it is in Italy.,fullfact,English,OTHER,-1,"Italy, dead bodies","['Italy', ' dead bodies']",2.0,19,en,20,20_coronavirus_covid19_bodies_italy
