Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,claim,text,organization,lang_name,rating_label,rating_value,entity_strings,entities,nr_entities,num_words,probable_lang,Topic,Topic Name
12964,17334,42156,3329,http://data.gesis.org/claimskg/creative_work/08062b4b-bed2-5ff2-bf89-870b9db422dc,Photo of vaccine package with 2018 date stamp shows COVID-19 outbreak was planned.,politifact,English,False,1,COVID-19 outbreak,['COVID-19 outbreak'],1.0,13,en,23,23_vaccine_vaccinated_covid19_margaret
37024,42420,17289,5941,http://data.gesis.org/claimskg/creative_work/c96cc1df-ca4c-5076-9464-0a1ab812b128,Picture shows COVID-19 vaccine developed by American scientists,factcheck_afp,English,FALSE,1,"American scientists, COVID-19 vaccine","['American scientists', ' COVID-19 vaccine']",2.0,8,en,23,23_vaccine_vaccinated_covid19_margaret
45565,51714,62071,42,http://data.gesis.org/claimskg/creative_work/fa79657c-d321-5607-8ee4-c98d29ca3a43,A photograph shows an official I Was Vaccinated Girl Scouts patch that a child can receive for getting the COVID-19 vaccine.,snopes,English,False,1,"COVID-19 vaccine, Girl Scouts, Vaccinated","['COVID-19 vaccine', ' Girl Scouts', ' Vaccinated']",3.0,21,en,23,23_vaccine_vaccinated_covid19_margaret
48843,55132,45683,6856,http://data.gesis.org/claimskg/creative_work/64781677-c590-5f3d-b49e-fc9c894859c6,Images that show a 90-year-old UK woman receiving the Pfizer COVID-19 vaccine appeared online in a CNN news story in October.,politifact,English,False,1,"CNN, Pfizer COVID-19 vaccine, year-old","['CNN', ' Pfizer COVID-19 vaccine', ' year-old']",3.0,21,en,23,23_vaccine_vaccinated_covid19_margaret
22567,27703,24393,2848,http://data.gesis.org/claimskg/creative_work/c233134a-6d70-57bc-af55-6f646c6cc560,CNN used a photo of one of the vaccine recipients back in October.,fullfact,English,OTHER,-1,CNN,['CNN'],1.0,13,en,23,23_vaccine_vaccinated_covid19_margaret
64691,71618,9289,3051,http://data.gesis.org/claimskg/creative_work/b06d9103-3458-58b9-83c7-3f404ff8a14e,A post shared on Facebook claims images of the first person in the U.K. to receive the Pfizer/BioNTech COVID-19 vaccine outside a clinical trial were published by CNN in October.,checkyourfact,English,FALSE,1,"BioNTech COVID-19 vaccine, CNN, Facebook, Pfizer, U.K, clinical trial","['BioNTech COVID-19 vaccine', ' CNN', ' Facebook', ' Pfizer', ' U.K', ' clinical trial']",6.0,30,en,23,23_vaccine_vaccinated_covid19_margaret
23928,29184,7550,1312,http://data.gesis.org/claimskg/creative_work/218dd388-9d78-5cad-bd8d-ea8f6f47f6e9,A video shared on Instagram purportedly shows the COVID-19 vaccine under a microscope.,checkyourfact,English,FALSE,1,"COVID-19 vaccine, Instagram","['COVID-19 vaccine', ' Instagram']",2.0,13,en,23,23_vaccine_vaccinated_covid19_margaret
19005,23798,14186,2838,http://data.gesis.org/claimskg/creative_work/c897793e-4104-5a14-b211-4c5b6956e82d,Images show babies born with defects caused by a Covid-19 vaccine,factcheck_afp,English,FALSE,1,Covid-19 vaccine,['Covid-19 vaccine'],1.0,11,en,23,23_vaccine_vaccinated_covid19_margaret
56614,63100,16204,4856,http://data.gesis.org/claimskg/creative_work/70886fda-cd5a-5e6d-98ae-2a5652692c77,"CNN report used 'recycled' photo of Margaret Keenan, first coronavirus vaccine recipient outside clinical trial in the UK]",factcheck_afp,English,FALSE,1,"CNN, Margaret Keenan, clinical trial, coronavirus vaccine","['CNN', ' Margaret Keenan', ' clinical trial', ' coronavirus vaccine']",4.0,18,en,23,23_vaccine_vaccinated_covid19_margaret
29591,34882,70569,8540,http://data.gesis.org/claimskg/creative_work/e4ad6b6a-8ac5-550e-a1b6-8aa4dce37e75,A photograph shows U.S. Sen. Rand Paul receiving a COVID-19 vaccination.,snopes,English,False,1,"COVID-19 vaccination, Sen. Rand Paul","['COVID-19 vaccination', ' Sen. Rand Paul']",2.0,11,en,23,23_vaccine_vaccinated_covid19_margaret
60550,67210,7409,1171,http://data.gesis.org/claimskg/creative_work/58ffeabe-a0bf-505e-8c01-7fd7a081a974,"An image shared on Facebook allegedly shows a CVS Pharmacy poster advertising COVID-19 vaccines that reads, Get a FREE ‘it’s just the flu’ shot today.",checkyourfact,English,FALSE,1,"COVID-19 vaccines, CVS Pharmacy, Facebook, poster advertising","['COVID-19 vaccines', ' CVS Pharmacy', ' Facebook', ' poster advertising']",4.0,25,en,23,23_vaccine_vaccinated_covid19_margaret
49534,55891,70152,8123,http://data.gesis.org/claimskg/creative_work/aa5f7df0-33f3-5350-abca-5b67773b5245,"Margaret Keenan, the first recipient of the Pfizer/BioNTech COVID-19 vaccine in December 2020, was featured in a news report two months earlier, providing evidence of wrongdoing or deception.",snopes,English,False,1,"December 2020, Margaret Keenan, Pfizer/BioNTech COVID-19 vaccine","['December 2020', ' Margaret Keenan', ' Pfizer/BioNTech COVID-19 vaccine']",3.0,28,en,23,23_vaccine_vaccinated_covid19_margaret
26373,31639,9629,3391,http://data.gesis.org/claimskg/creative_work/51abc364-90dc-578a-ad97-17e295da0744,An image shared on Facebook purportedly shows the same nurse administering COVID-19 vaccines to the first patients in the U.K. at hospitals 200 miles apart on the same day.,checkyourfact,English,FALSE,1,"COVID-19 vaccines, Facebook","['COVID-19 vaccines', ' Facebook']",2.0,29,en,23,23_vaccine_vaccinated_covid19_margaret
27768,33043,9878,3640,http://data.gesis.org/claimskg/creative_work/3a39ab4e-36d3-5185-8097-ed561e12f0f2,An image shared on Facebook purportedly shows Republican Kentucky Sen. Rand Paul receiving a COVID-19 vaccine.,checkyourfact,English,FALSE,1,"Facebook, Kentucky","['Facebook', ' Kentucky']",2.0,16,en,23,23_vaccine_vaccinated_covid19_margaret
35779,41129,64364,2335,http://data.gesis.org/claimskg/creative_work/41c8a9c1-6f84-500c-98cb-e17520bf9548,A photograph shows a Pfizer vape cartridge containing a single dose of the COVID-19 vaccine.,snopes,English,False,1,"COVID-19 vaccine, Pfizer","['COVID-19 vaccine', ' Pfizer']",2.0,15,en,23,23_vaccine_vaccinated_covid19_margaret
9072,13406,26144,4599,http://data.gesis.org/claimskg/creative_work/bd551b49-39bb-568e-9729-c47c12c67f77,Pictures show Boris Johnson has received a Covid-19 vaccine three times.,fullfact,English,FALSE,1,Covid-19 vaccine,['Covid-19 vaccine'],1.0,11,en,23,23_vaccine_vaccinated_covid19_margaret
