Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,claim,text,organization,lang_name,rating_label,rating_value,entity_strings,entities,nr_entities,num_words,probable_lang,Topic,Topic Name
193,1673,17781,6433,http://data.gesis.org/claimskg/creative_work/9dd61eb5-ae98-504f-b182-35dc6acb43f1,UK government banned Covid vaccine for children age 5-11,factcheck_afp,English,FALSE,1,,,0.0,9,en,29,29_vaccines_vaccine_vaccination_vaccinations
10544,14888,27533,5988,http://data.gesis.org/claimskg/creative_work/b7650fd6-d8c6-5b37-b260-f2c3b658c7b7,The UK has banned the Covid-19 vaccine for children under 12.,fullfact,English,FALSE,1,Covid-19 vaccine,['Covid-19 vaccine'],1.0,11,en,29,29_vaccines_vaccine_vaccination_vaccinations
26215,31480,49944,2074,http://data.gesis.org/claimskg/creative_work/a30d6668-e22f-56c5-b2b3-9dbbd6abc093,The United Kingdom banned COVID-19 booster vaccines for people under 50.,politifact,English,MIXTURE,2,"COVID-19, United Kingdom","['COVID-19', ' United Kingdom']",2.0,11,en,29,29_vaccines_vaccine_vaccination_vaccinations
24047,29303,7528,1290,http://data.gesis.org/claimskg/creative_work/a235b3f4-af69-5a4a-98e8-8412069005fa,A post shared on Facebook claims the U.K. has banned the COVID-19 vaccine for children over concerns about adverse effects on children.,checkyourfact,English,FALSE,1,"COVID-19 vaccine, Facebook","['COVID-19 vaccine', ' Facebook']",2.0,22,en,29,29_vaccines_vaccine_vaccination_vaccinations
3620,5979,22980,1435,http://data.gesis.org/claimskg/creative_work/973badcc-8b79-5edc-b7f2-f8b8f5be6882,Research in England involving giving children the Covid-19 vaccine has been stopped due to cases of Sudden Infant Death Syndrome in those children.,fullfact,English,OTHER,-1,,,0.0,23,en,29,29_vaccines_vaccine_vaccination_vaccinations
19522,24396,9350,3112,http://data.gesis.org/claimskg/creative_work/8c2e4561-526d-5749-8463-9cd28c8f7cfb,A post shared on Facebook claims the U.K. has banned COVID-19 boosters for people under 50.,checkyourfact,English,FALSE,1,Facebook,['Facebook'],1.0,16,en,29,29_vaccines_vaccine_vaccination_vaccinations
26116,31379,44398,5571,http://data.gesis.org/claimskg/creative_work/dbbe26b5-3f88-5a81-9c33-56c64edb6cee,"Defibrillators are being installed all over the U.K. after a child’s death, which may be why the UK suddenly stopped COVID-19 vaccination for children under 11 years old.",politifact,English,False,1,"COVID-19 vaccination, Defibrillators","['COVID-19 vaccination', ' Defibrillators']",2.0,28,en,29,29_vaccines_vaccine_vaccination_vaccinations
28910,34196,8339,2101,http://data.gesis.org/claimskg/creative_work/0d8e4c4e-fe8f-507b-8e7b-8f7f2852f890,A post shared on Facebook alleges Denmark has banned the COVID-19 vaccine for children.,checkyourfact,English,FALSE,1,"COVID-19 vaccine, Facebook","['COVID-19 vaccine', ' Facebook']",2.0,14,en,29,29_vaccines_vaccine_vaccination_vaccinations
38951,44396,22186,641,http://data.gesis.org/claimskg/creative_work/74700cf9-eb39-5074-84b8-f5b9404e9fe6,Seventeen countries have banned the AstraZeneca vaccine outside of the UK.,fullfact,English,OTHER,-1,"AstraZeneca vaccine, Seventeen","['AstraZeneca vaccine', ' Seventeen']",2.0,11,en,29,29_vaccines_vaccine_vaccination_vaccinations
37169,42572,15941,4593,http://data.gesis.org/claimskg/creative_work/6d8fc934-50fd-59d0-8d68-49d0a8aea39b,Germany announced Covid-19 vaccines are not safe and would be stopped,factcheck_afp,English,FALSE,1,"Covid-19 vaccines, Germany","['Covid-19 vaccines', ' Germany']",2.0,11,en,29,29_vaccines_vaccine_vaccination_vaccinations
