Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,claim,text,organization,lang_name,rating_label,rating_value,entity_strings,entities,nr_entities,num_words,probable_lang,Topic,Topic Name
9205,13540,25694,4149,http://data.gesis.org/claimskg/creative_work/ef64bbfa-9e35-546c-8947-16fce94d1adf,The German government does not recommend the use of Covid-19 vaccines and has frozen licensing of vaccines.,fullfact,English,FALSE,1,German government,['German government'],1.0,17,en,29,29_vaccines_vaccine_vaccination_vaccinations
37169,42572,15941,4593,http://data.gesis.org/claimskg/creative_work/6d8fc934-50fd-59d0-8d68-49d0a8aea39b,Germany announced Covid-19 vaccines are not safe and would be stopped,factcheck_afp,English,FALSE,1,"Covid-19 vaccines, Germany","['Covid-19 vaccines', ' Germany']",2.0,11,en,29,29_vaccines_vaccine_vaccination_vaccinations
41921,47816,41940,3113,http://data.gesis.org/claimskg/creative_work/73a18ad2-98a8-529e-a71d-df315330d2e8,"Germany halts all Covid-19 vaccines, says they are unsafe and no longer recommended!!",politifact,English,False,1,"Covid-19 vaccines, Germany","['Covid-19 vaccines', ' Germany']",2.0,13,en,29,29_vaccines_vaccine_vaccination_vaccinations
46242,52410,26249,4704,http://data.gesis.org/claimskg/creative_work/20087626-ffae-5868-bfab-34be31556dca,The German federal government only expects the AstraZeneca Covid-19 vaccine to have an effectiveness of eight percent among the over 65s.,fullfact,English,OTHER,-1,"AstraZeneca, Covid-19 vaccine, German","['AstraZeneca', ' Covid-19 vaccine', ' German']",3.0,21,en,29,29_vaccines_vaccine_vaccination_vaccinations
24176,29432,7794,1556,http://data.gesis.org/claimskg/creative_work/9609df25-ea24-56bf-b42e-52e63e5e55ec,A post shared on Facebook claims Germany halted the use of all COVID-19 vaccines for two weeks due safety concerns.,checkyourfact,English,FALSE,1,"COVID-19 vaccines, Facebook","['COVID-19 vaccines', ' Facebook']",2.0,20,en,29,29_vaccines_vaccine_vaccination_vaccinations
44857,50910,16866,5518,http://data.gesis.org/claimskg/creative_work/261af1e1-48f2-5a94-a8c1-26e09a80048d,Vaccinated people are not allowed to drive or buy cars in Germany,factcheck_afp,English,FALSE,1,"Germany, Vaccinated people, allowed to drive","['Germany', ' Vaccinated people', ' allowed to drive']",3.0,12,en,29,29_vaccines_vaccine_vaccination_vaccinations
41374,47254,42313,3486,http://data.gesis.org/claimskg/creative_work/b2c6be2b-0e7e-5e11-b53e-dd1866febd40,COVID-19 vaccinations are a violation of the Nuremberg code.,politifact,English,False,1,"COVID-19 vaccinations, Nuremberg code","['COVID-19 vaccinations', ' Nuremberg code']",2.0,9,en,29,29_vaccines_vaccine_vaccination_vaccinations
50299,56673,9147,2909,http://data.gesis.org/claimskg/creative_work/fd098119-26a5-5664-8977-c7f4c3c19525,A post shared on Instagram purports the German government claims investigating COVID-19 vaccines would be dangerous to democracy.,checkyourfact,English,FALSE,1,"COVID-19 vaccines, Instagram, government claims","['COVID-19 vaccines', ' Instagram', ' government claims']",3.0,18,en,29,29_vaccines_vaccine_vaccination_vaccinations
28770,34055,9846,3608,http://data.gesis.org/claimskg/creative_work/e2277f80-d3a4-5f50-a363-c86dbd67e4f4,A video shared on Facebook purportedly shows Robert Koch Institute Director Stephan Kohn announcing Germany no longer recommends COVID-19 vaccines.,checkyourfact,English,FALSE,1,"Facebook, Robert Koch Institute","['Facebook', ' Robert Koch Institute']",2.0,20,en,29,29_vaccines_vaccine_vaccination_vaccinations
60829,67502,11325,211,http://data.gesis.org/claimskg/creative_work/ad0fffff-f15a-5b39-882c-f8c1cb39efd5,"Without the dissenting votes of the AfD, a vaccine mandate would have been introduced in Germany",eufactcheck,English,MIXTURE,2,"AfD, Germany, dissenting, vaccine mandate","['AfD', ' Germany', ' dissenting', ' vaccine mandate']",4.0,16,en,29,29_vaccines_vaccine_vaccination_vaccinations
