Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,claim,text,organization,lang_name,rating_label,rating_value,entity_strings,entities,nr_entities,num_words,probable_lang,Topic,Topic Name
18615,23171,13938,2590,http://data.gesis.org/claimskg/creative_work/85dc488b-7a98-5533-a69a-5ee22d104ca9,Photo shows anti-coronavirus restrictions protest in Bucharest in 2021,factcheck_afp,English,FALSE,1,Bucharest,['Bucharest'],1.0,9,en,2,2_protesting_protests_protest_protesters
21162,26145,17008,5660,http://data.gesis.org/claimskg/creative_work/fd324597-5a90-59d5-bf0d-950fb2a5e356,Photo shows millions of people at Berlin anti-coronavirus restriction rally in late August 2020,factcheck_afp,English,FALSE,1,Berlin,['Berlin'],1.0,14,en,2,2_protesting_protests_protest_protesters
36977,42369,17181,5833,http://data.gesis.org/claimskg/creative_work/15e2b6b9-a176-5574-a537-e35678196e56,Image shows London protest against coronavirus restrictions in England,factcheck_afp,English,FALSE,1,"England, London","['England', ' London']",2.0,9,en,2,2_protesting_protests_protest_protesters
41331,47211,12241,893,http://data.gesis.org/claimskg/creative_work/28eaf7c8-a62f-5c5d-9a7f-a28071451b48,"An image of a December 2020 protest against coronavirus restrctions in Paris, France",factcheck_afp,English,FALSE,1,"France, Paris","['France', ' Paris']",2.0,13,en,2,2_protesting_protests_protest_protesters
24955,30213,10494,4256,http://data.gesis.org/claimskg/creative_work/ce856ec2-1a6d-58b2-b9e3-04bbb547e058,An image shared on Facebook purportedly shows a large crowd protesting against COVID-19 restrictions in Romania.,checkyourfact,English,FALSE,1,"COVID-19, Facebook","['COVID-19', ' Facebook']",2.0,16,en,2,2_protesting_protests_protest_protesters
37703,43124,39210,383,http://data.gesis.org/claimskg/creative_work/5bd8038b-04ea-5f9b-b590-5ac877a8b431,A video shows people in Romania protesting COVID-19 vaccines.,politifact,English,False,1,"COVID-19 vaccines, Romania","['COVID-19 vaccines', ' Romania']",2.0,9,en,2,2_protesting_protests_protest_protesters
47728,53912,11853,505,http://data.gesis.org/claimskg/creative_work/9b700f49-6d48-57b6-9962-93c005c7d0e4,"Images from protests against COVID-19 restrictions in Berlin, Germany",factcheck_afp,English,FALSE,1,"Berlin, Germany, protests against COVID-19 restrictions","['Berlin', ' Germany', ' protests against COVID-19 restrictions']",3.0,9,en,2,2_protesting_protests_protest_protesters
52423,58809,14164,2816,http://data.gesis.org/claimskg/creative_work/e0482cb1-66f4-5090-912c-776375bca7ae,"Photo shows mass protest against Covid-19 restrictions in Vienna, Austria",factcheck_afp,English,FALSE,1,"Austria, Covid-19, Vienna","['Austria', ' Covid-19', ' Vienna']",3.0,10,en,2,2_protesting_protests_protest_protesters
20166,25096,16437,5089,http://data.gesis.org/claimskg/creative_work/c1b0b6e2-49a9-5519-95d9-9e4ac857d23b,Photo shows crowd at anti-coronavirus lockdown rally in Berlin,factcheck_afp,English,FALSE,1,Berlin,['Berlin'],1.0,9,en,2,2_protesting_protests_protest_protesters
45521,51669,17813,6465,http://data.gesis.org/claimskg/creative_work/25d8364a-4b7b-5077-8051-1208760bfc8a,"Photo shows 1.3 million protestors against COVID-19 restrictions in Berlin, Germany",factcheck_afp,English,FALSE,1,"Berlin, COVID-19, Germany","['Berlin', ' COVID-19', ' Germany']",3.0,11,en,2,2_protesting_protests_protest_protesters
60977,67658,16078,4730,http://data.gesis.org/claimskg/creative_work/d279550f-64db-5240-8007-965959170cbd,Mass protest against Covid restrictions in Algeria in 2021,factcheck_afp,English,FALSE,1,"2021, Algeria, Covid restrictions, Mass protest","['2021', ' Algeria', ' Covid restrictions', ' Mass protest']",4.0,9,en,2,2_protesting_protests_protest_protesters
52148,58534,8271,2033,http://data.gesis.org/claimskg/creative_work/639ed253-cc22-5026-95ef-e7c4352dd273,An image shared on Facebook purportedly shows a recent protest in France against COVID-19 restrictions.,checkyourfact,English,FALSE,1,"COVID-19, Facebook, recent protest","['COVID-19', ' Facebook', ' recent protest']",3.0,15,en,2,2_protesting_protests_protest_protesters
23295,28475,12709,1361,http://data.gesis.org/claimskg/creative_work/ad8405c3-cb5a-53b8-8eff-c2ce45a1cf89,Video shows Seoul rally against coronavirus restrictions in August 2020,factcheck_afp,English,FALSE,1,Seoul,['Seoul'],1.0,10,en,2,2_protesting_protests_protest_protesters
37041,42438,17234,5886,http://data.gesis.org/claimskg/creative_work/584a1b37-143e-5dc6-b0c7-0a5354d4cfe2,This photo shows an anti-vaccination protest in France in 2021,factcheck_afp,English,FALSE,1,"France, anti-vaccination","['France', ' anti-vaccination']",2.0,10,en,2,2_protesting_protests_protest_protesters
48036,54226,29648,501,http://data.gesis.org/claimskg/creative_work/83cbd765-0b26-5c10-bc07-1cae00487dee,"A viral photograph shows people gathered at the Ohio State House to protest coronavirus social distancing measures, and clearly in violation of said guidelines, in April 2020.",truthorfiction,English,TRUE,3,"Ohio State House, coronavirus, social distancing","['Ohio State House', ' coronavirus', ' social distancing']",3.0,27,en,2,2_protesting_protests_protest_protesters
9893,14235,24744,3199,http://data.gesis.org/claimskg/creative_work/9ad21599-a7d9-5f83-b67e-3e63012bb72b,Photograph of people filling the streets of Paris was taken during protests against Covid-19 regulations on 17 July 2021.,fullfact,English,FALSE,1,Paris,['Paris'],1.0,19,en,2,2_protesting_protests_protest_protesters
61198,67896,9091,2853,http://data.gesis.org/claimskg/creative_work/72b6cacc-f182-568d-8573-dc37f242bf71,An image shared on Instagram allegedly shows a recent protest in France against COVID-19 mitigation measures.,checkyourfact,English,FALSE,1,"France, Instagram, mitigation measures, recent protest","['France', ' Instagram', ' mitigation measures', ' recent protest']",4.0,16,en,2,2_protesting_protests_protest_protesters
53389,59778,8039,1801,http://data.gesis.org/claimskg/creative_work/9aba0dbd-fbb8-53cf-b319-98797ae09b37,An image shared on Twitter purportedly shows a July 24 protest in London against mandatory COVID-19 vaccines.,checkyourfact,English,FALSE,1,"COVID-19 vaccines, July 24, Twitter","['COVID-19 vaccines', ' July 24', ' Twitter']",3.0,17,en,2,2_protesting_protests_protest_protesters
