Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,claim,text,organization,lang_name,rating_label,rating_value,entity_strings,entities,nr_entities,num_words,probable_lang,Topic,Topic Name
10847,15194,27824,6279,http://data.gesis.org/claimskg/creative_work/932e82f2-4299-5010-9c4d-647988e3eb28,The National Institute of Health added ivermectin to the list of Covid treatments.,fullfact,English,FALSE,1,ivermectin,['ivermectin'],1.0,13,en,31,31_ivermectin_ivermectins_covid_covid19
26291,31556,46557,7730,http://data.gesis.org/claimskg/creative_work/49fb3d95-1026-5b7a-b861-49fb1068ae05,The National Institutes of Health adds ivermectin to list of COVID approved treatments.,politifact,English,False,1,"COVID, ivermectin","['COVID', ' ivermectin']",2.0,13,en,31,31_ivermectin_ivermectins_covid_covid19
46598,52775,11489,141,http://data.gesis.org/claimskg/creative_work/2d09cbe1-ba9f-5b57-b418-5f53a6486eb5,US National Institutes of Health recommends ivermectin for Covid-19,factcheck_afp,English,FALSE,1,"Covid-19, US National Institutes of Health, ivermectin","['Covid-19', ' US National Institutes of Health', ' ivermectin']",3.0,9,en,31,31_ivermectin_ivermectins_covid_covid19
50941,57319,13099,1751,http://data.gesis.org/claimskg/creative_work/27876139-a06c-5e5e-9815-303ddba2720e,US health institute (NIH) recommends Ivermectin to treat Covid-19,factcheck_afp,English,FALSE,1,"Covid-19, Ivermectin, NIH","['Covid-19', ' Ivermectin', ' NIH']",3.0,9,en,31,31_ivermectin_ivermectins_covid_covid19
47697,53881,12185,837,http://data.gesis.org/claimskg/creative_work/0f370ee2-9943-5798-bd9c-12000971dcac,Monash University study found ivermectin effective against Covid-19,factcheck_afp,English,FALSE,1,"Covid-19, Monash University, ivermectin","['Covid-19', ' Monash University', ' ivermectin']",3.0,8,en,31,31_ivermectin_ivermectins_covid_covid19
28813,34098,49613,1743,http://data.gesis.org/claimskg/creative_work/ec2a7060-19a8-51c6-a47a-34215c7f29af,Ivermectin is an effective treatment for COVID-19.,politifact,English,MIXTURE,2,"Ivermectin, treatment for COVID-19","['Ivermectin', ' treatment for COVID-19']",2.0,7,en,31,31_ivermectin_ivermectins_covid_covid19
61014,67699,41340,2513,http://data.gesis.org/claimskg/creative_work/c7c2ae2d-34ce-5383-b5db-b72e8ffdc9c1,NIH COVID Treatment Guidelines Approve Ivermectin,politifact,English,False,1,"COVID, Ivermectin, NIH, Treatment Guidelines","['COVID', ' Ivermectin', ' NIH', ' Treatment Guidelines']",4.0,6,en,31,31_ivermectin_ivermectins_covid_covid19
27790,33065,46718,7891,http://data.gesis.org/claimskg/creative_work/acc6682b-a266-5938-8ec6-e591fb39d8c2,Suggests ivermectin is an effective treatment for COVID-19,politifact,English,False,1,"ivermectin, treatment for COVID-19","['ivermectin', ' treatment for COVID-19']",2.0,8,en,31,31_ivermectin_ivermectins_covid_covid19
44074,50119,42175,3348,http://data.gesis.org/claimskg/creative_work/3ee6611f-df76-5626-bc45-678fb921070a,"Large, peer-reviewed research study proves ivermectin works as a COVID-19 preventative.",politifact,English,False,1,"COVID-19, ivermectin, peer-reviewed research","['COVID-19', ' ivermectin', ' peer-reviewed research']",3.0,11,en,31,31_ivermectin_ivermectins_covid_covid19
62316,69038,8722,2484,http://data.gesis.org/claimskg/creative_work/2e05fdb7-2063-5fd5-b6bb-fadb310502f4,An image shared on Facebook claims the National Institutes of Health (NIH) recently listed ivermectin as an antiviral therapy for COVID-19.,checkyourfact,English,FALSE,1,"COVID-19, Facebook, NIH, antiviral therapy, ivermectin","['COVID-19', ' Facebook', ' NIH', ' antiviral therapy', ' ivermectin']",5.0,21,en,31,31_ivermectin_ivermectins_covid_covid19
47512,53694,25820,4275,http://data.gesis.org/claimskg/creative_work/57a23364-0b5d-58c2-8559-cc2688f26f50,Ivermectin is a safe and effective treatment for Covid-19 symptoms.,fullfact,English,FALSE,1,"Covid-19 symptoms, Ivermectin, safe and effective","['Covid-19 symptoms', ' Ivermectin', ' safe and effective']",3.0,10,en,31,31_ivermectin_ivermectins_covid_covid19
53974,60369,12954,1606,http://data.gesis.org/claimskg/creative_work/a0d5c6c4-4fc6-5e1b-a5a3-21a8565d5cdc,Japan has approved ivermectin as Covid-19 treatment,factcheck_afp,English,FALSE,1,"Covid-19, Japan, ivermectin","['Covid-19', ' Japan', ' ivermectin']",3.0,7,en,31,31_ivermectin_ivermectins_covid_covid19
53011,59399,13847,2499,http://data.gesis.org/claimskg/creative_work/c18f413f-920f-5c92-b083-ad22873f9f41,A peer-reviewed study found ivermectin reduces Covid-19 death risk,factcheck_afp,English,FALSE,1,"Covid-19, ivermectin, peer-reviewed","['Covid-19', ' ivermectin', ' peer-reviewed']",3.0,9,en,31,31_ivermectin_ivermectins_covid_covid19
61193,67891,66724,4695,http://data.gesis.org/claimskg/creative_work/3011336b-82f4-57ab-bf10-4990b195e58b,Queen Elizabeth II is taking ivermectin to treat COVID-19.,snopes,English,False,1,"COVID-19, Elizabeth II, Queen, ivermectin","['COVID-19', ' Elizabeth II', ' Queen', ' ivermectin']",4.0,9,en,31,31_ivermectin_ivermectins_covid_covid19
40546,46317,29723,576,http://data.gesis.org/claimskg/creative_work/2b5dd41a-b505-5dff-b45c-5adb2bb673c9,The Botswanan Doctors Union encouraged residents there to use ivermectin to treat COVID-19.,truthorfiction,English,OTHER,-1,"COVID-19, ivermectin","['COVID-19', ' ivermectin']",2.0,13,en,31,31_ivermectin_ivermectins_covid_covid19
39120,44620,21617,72,http://data.gesis.org/claimskg/creative_work/5dcb4b9a-186e-5000-ab1f-1f13e702124d,Ivermectin can cure Covid-19 in 48 hours.,fullfact,English,OTHER,-1,"Covid-19, Ivermectin","['Covid-19', ' Ivermectin']",2.0,7,en,31,31_ivermectin_ivermectins_covid_covid19
51471,57852,15432,4084,http://data.gesis.org/claimskg/creative_work/9d8e9592-f49e-5d4d-b1e2-a8c51410b1d4,Australian doctor told news programme that Queen Elizabeth II should use ivermectin to treat Covid-19,factcheck_afp,English,FALSE,1,"Covid-19, Queen Elizabeth II, ivermectin","['Covid-19', ' Queen Elizabeth II', ' ivermectin']",3.0,15,en,31,31_ivermectin_ivermectins_covid_covid19
51698,58081,13037,1689,http://data.gesis.org/claimskg/creative_work/70a70aa7-4882-5e5b-af62-3c2de072cccd,South Africa approves ivermectin for Covid-19,factcheck_afp,English,FALSE,1,"Covid-19, South Africa, ivermectin","['Covid-19', ' South Africa', ' ivermectin']",3.0,6,en,31,31_ivermectin_ivermectins_covid_covid19
55948,62388,43087,4260,http://data.gesis.org/claimskg/creative_work/3b23ca00-eb67-587b-a783-720781b305f2,"No new COVID-19 cases in Uttar Pradesh, India, due to use of ivermectin",politifact,English,False,1,"COVID-19, India, Uttar Pradesh, ivermectin","['COVID-19', ' India', ' Uttar Pradesh', ' ivermectin']",4.0,13,en,31,31_ivermectin_ivermectins_covid_covid19
55372,61793,24217,2672,http://data.gesis.org/claimskg/creative_work/0e6443db-344a-5527-8bf9-9038d22e4c55,Queen Elizabeth II is being treated for Covid-19 with ivermectin.,fullfact,English,FALSE,1,"Covid-19, Elizabeth II, Queen, ivermectin","['Covid-19', ' Elizabeth II', ' Queen', ' ivermectin']",4.0,10,en,31,31_ivermectin_ivermectins_covid_covid19
23725,28979,44825,5998,http://data.gesis.org/claimskg/creative_work/5888ef04-ae53-5acc-aa77-e2da6083720b,Mountains of data show drug ivermectin basically obliterates COVID-19 transmission.,politifact,English,False,1,"COVID-19, ivermectin","['COVID-19', ' ivermectin']",2.0,10,en,31,31_ivermectin_ivermectins_covid_covid19
44530,50580,16794,5446,http://data.gesis.org/claimskg/creative_work/b3a25aa0-e5f2-5fd6-8101-1a55f64f4753,Philippine regulators approve ivermectin as a substitute for Covid-19 vaccination,factcheck_afp,English,FALSE,1,"Covid-19, ivermectin, vaccination","['Covid-19', ' ivermectin', ' vaccination']",3.0,10,en,31,31_ivermectin_ivermectins_covid_covid19
25373,30632,10666,4428,http://data.gesis.org/claimskg/creative_work/75130766-5489-5b6d-863b-e9cbb671eb34,A post shared on Instagram purports defunct Crypto exchange FTX funded international research collaboration group TOGETHER’s study discrediting Ivermectin’s efficacy in treating COVID-19.,checkyourfact,English,FALSE,1,"Instagram, Ivermectin","['Instagram', ' Ivermectin']",2.0,23,en,31,31_ivermectin_ivermectins_covid_covid19
51180,57559,6737,499,http://data.gesis.org/claimskg/creative_work/9ae13e35-c0d6-574e-8c55-7b70b8bded7f,An image shared on Facebook purportedly shows a quote from Nobel Laureate William Campbell claiming that ivermectin can cure COVID-19.,checkyourfact,English,FALSE,1,"Facebook, Nobel Laureate, ivermectin","['Facebook', ' Nobel Laureate', ' ivermectin']",3.0,20,en,31,31_ivermectin_ivermectins_covid_covid19
61966,68688,39034,207,http://data.gesis.org/claimskg/creative_work/e2f88b52-1f8a-5fc6-99cd-ed3fdee901ab,Says Fox News and Candace Owens tweeted that New studies show that 68% of those who used ivermectin to treat or prevent covid are suffering long-term bowel and urinary incontinence.,politifact,English,False,1,"Candace Owens, Fox News, ivermectin, long-term, urinary incontinence","['Candace Owens', ' Fox News', ' ivermectin', ' long-term', ' urinary incontinence']",5.0,30,en,31,31_ivermectin_ivermectins_covid_covid19
63721,70594,10675,4437,http://data.gesis.org/claimskg/creative_work/f01900df-f4dd-57bc-b4c2-9439c09b0d8f,An image shared on Facebook purportedly shows a Fox News tweet about new studies that show 68% of those who used ivermectin to treat or prevent Covid are suffering long-term bowel and urinary incontinence.,checkyourfact,English,FALSE,1,"Facebook, Fox News, ivermectin, long-term, urinary incontinence","['Facebook', ' Fox News', ' ivermectin', ' long-term', ' urinary incontinence']",5.0,34,en,31,31_ivermectin_ivermectins_covid_covid19
63818,70694,28009,51,http://data.gesis.org/claimskg/creative_work/267e1bc8-5f0f-5e18-a1b3-16ab86edd680,No Proof Ivermectin Cut COVID-19 Surge in Indonesia,polygraph,English,FALSE,1,"COVID-19, Indonesia, Ivermectin, Proof, Surge","['COVID-19', ' Indonesia', ' Ivermectin', ' Proof', ' Surge']",5.0,8,en,31,31_ivermectin_ivermectins_covid_covid19
54281,60680,47688,8861,http://data.gesis.org/claimskg/creative_work/be68c0b7-4aeb-5749-b797-aa6d273fac5e,Pfizer launches final study for COVID drug that's suspiciously similar to 'horse paste' ivermectin.,politifact,English,False,1,"COVID, Pfizer, ivermectin","['COVID', ' Pfizer', ' ivermectin']",3.0,14,en,31,31_ivermectin_ivermectins_covid_covid19
62462,69191,67975,5946,http://data.gesis.org/claimskg/creative_work/f1582f6f-e4c3-5d7e-bb35-e2f9f3539aeb,Pfizer is developing an oral COVID-19 drug that is just a clone of the anti-parasite drug Ivermectin.,snopes,English,False,1,"COVID-19, Ivermectin, Pfizer, anti-parasite, clone","['COVID-19', ' Ivermectin', ' Pfizer', ' anti-parasite', ' clone']",5.0,17,en,31,31_ivermectin_ivermectins_covid_covid19
63175,69983,65114,3085,http://data.gesis.org/claimskg/creative_work/8cea6d1b-62af-5dee-9872-46d5268fd608,Putting tampons soaked in a liquid solution that includes ivermectin into vaginas is an effective and safe step to fight COVID-19.,snopes,English,False,1,"COVID-19, ivermectin, liquid solution, tampons, vaginas","['COVID-19', ' ivermectin', ' liquid solution', ' tampons', ' vaginas']",5.0,21,en,31,31_ivermectin_ivermectins_covid_covid19
56006,62449,52545,4675,http://data.gesis.org/claimskg/creative_work/8bb53f60-9dc0-5476-9ddc-3c56a0b96bbd,COVID cases in India plummet after government promotes ivermectin and hydroxychloroquine use.,politifact,English,MIXTURE,2,"COVID cases, India, hydroxychloroquine, ivermectin","['COVID cases', ' India', ' hydroxychloroquine', ' ivermectin']",4.0,12,en,31,31_ivermectin_ivermectins_covid_covid19
