Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,claim,text,organization,lang_name,rating_label,rating_value,entity_strings,entities,nr_entities,num_words,probable_lang,Topic,Topic Name
36229,41586,15737,4389,http://data.gesis.org/claimskg/creative_work/ccac7746-3060-536f-8140-b1687297478b,Visuals show victims of India's recent Covid-19 surge,factcheck_afp,English,FALSE,1,"Covid-19, India","['Covid-19', ' India']",2.0,8,en,32,32_hindus_hindu_indias_india
46816,52994,27215,5670,http://data.gesis.org/claimskg/creative_work/50c71c60-70a9-5c89-bed4-9caf577ff21b,A picture showing people unwell on the streets of India shows the impact of the Covid-19 pandemic.,fullfact,English,OTHER,-1,"India, impact of the Covid-19 pandemic, unwell","['India', ' impact of the Covid-19 pandemic', ' unwell']",3.0,17,en,32,32_hindus_hindu_indias_india
54152,60548,13405,2057,http://data.gesis.org/claimskg/creative_work/0fbc6fe8-e05d-5be6-8a43-0e55628a9b2e,"WHO warns of 50,000 daily deaths from Covid-19 in India",factcheck_afp,English,FALSE,1,"Covid-19, India, WHO","['Covid-19', ' India', ' WHO']",3.0,10,en,32,32_hindus_hindu_indias_india
37027,42423,17260,5912,http://data.gesis.org/claimskg/creative_work/90b752bb-0d86-5acf-ada0-6c6284d2af3c,Photo shows exhausted Covid-19 first responders in Sri Lanka,factcheck_afp,English,FALSE,1,"Covid-19, Sri Lanka","['Covid-19', ' Sri Lanka']",2.0,9,en,32,32_hindus_hindu_indias_india
56810,63308,21815,270,http://data.gesis.org/claimskg/creative_work/ea750236-10c2-50f5-88d2-7586cc344415,"A picture showing people unwell on the streets of India was taken during a gas leak in 2020, not during the Covid-19 pandemic in 2021. This suggests that casualties from the current wave of Covid-19 in India are being exaggerated, and that Covid-19 is a conspiracy.",fullfact,English,OTHER,-1,"Covid-19, Covid-19 pandemic, India, unwell","['Covid-19', ' Covid-19 pandemic', ' India', ' unwell']",4.0,46,en,32,32_hindus_hindu_indias_india
37232,42639,16594,5246,http://data.gesis.org/claimskg/creative_work/fc780bf7-8755-5762-b334-cfafb481830d,Photo of a Covid-19 hospital in the northern Indian city of Lucknow,factcheck_afp,English,FALSE,1,"Covid-19, Lucknow","['Covid-19', ' Lucknow']",2.0,12,en,32,32_hindus_hindu_indias_india
52450,58836,13260,1912,http://data.gesis.org/claimskg/creative_work/9a395a0f-4f60-5eaa-b6de-cfd2518da32c,Photo of funeral pyre taken during Covid-19 surge in India in 2021,factcheck_afp,English,FALSE,1,"Covid-19, India in 2021, funeral pyre","['Covid-19', ' India in 2021', ' funeral pyre']",3.0,12,en,32,32_hindus_hindu_indias_india
19883,24809,16073,4725,http://data.gesis.org/claimskg/creative_work/2373cf41-7fc3-5af8-9478-f4bf446440ba,Photo shows Covid-19 dead bodies in Indian river in May 2021,factcheck_afp,English,FALSE,1,Covid-19,['Covid-19'],1.0,11,en,32,32_hindus_hindu_indias_india
65091,72044,28063,105,http://data.gesis.org/claimskg/creative_work/250a5e9c-d404-5ff6-b748-d4cf3e5c0a58,India’s Puzzling Denial About Oxygen and COVID-19 Deaths,polygraph,English,FALSE,1,"COVID, Deaths, Denial, India, Oxygen, Puzzling","['COVID', ' Deaths', ' Denial', ' India', ' Oxygen', ' Puzzling']",6.0,8,en,32,32_hindus_hindu_indias_india
37323,42736,16334,4986,http://data.gesis.org/claimskg/creative_work/5ea4d086-f066-5ec4-bd00-f28dbfc6e68a,Images of Hindu idols destroyed for not protecting Indian people during the Covid-19 pandemic,factcheck_afp,English,FALSE,1,"Covid-19 pandemic, Hindu","['Covid-19 pandemic', ' Hindu']",2.0,14,en,32,32_hindus_hindu_indias_india
62862,69637,14644,3296,http://data.gesis.org/claimskg/creative_work/69cff3b1-8ac6-56c1-8e8e-11ed04032181,This photo shows Delhi Chief Minister Arvind Kejriwal and his deputy Manish Sisodia without facemask during COVID-19 pandemic,factcheck_afp,English,FALSE,1,"Arvind Kejriwal, COVID-19 pandemic, Chief Minister, Delhi, Manish Sisodia","['Arvind Kejriwal', ' COVID-19 pandemic', ' Chief Minister', ' Delhi', ' Manish Sisodia']",5.0,18,en,32,32_hindus_hindu_indias_india
45981,52148,11660,312,http://data.gesis.org/claimskg/creative_work/4762fa5a-5682-54bd-b564-2ed23fd6609c,Photos show water shortage and COVID-19 crisis in Kejriwal ruled Delhi,factcheck_afp,English,FALSE,1,"COVID-19 crisis, Delhi, Kejriwal","['COVID-19 crisis', ' Delhi', ' Kejriwal']",3.0,11,en,32,32_hindus_hindu_indias_india
37669,43090,13990,2642,http://data.gesis.org/claimskg/creative_work/2890d58c-e516-5af7-bc6d-26ad333f5474,Birds died of Covid-19 in India,factcheck_afp,English,FALSE,1,"Covid-19, India","['Covid-19', ' India']",2.0,6,en,32,32_hindus_hindu_indias_india
