Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,claim,text,organization,lang_name,rating_label,rating_value,entity_strings,entities,nr_entities,num_words,probable_lang,Topic,Topic Name
4374,8520,1804,1804,http://data.gesis.org/claimskg/creative_work/e4d7f524-8c5a-59a3-9351-1b19e506074d,"Kenyans waiting for coronavirus curfew crackdown? No, photo from 2011",africacheck,English,FALSE,1,,,0.0,10,en,35,35_kenya_kenyan_kenyans_nairobi
30559,35858,2731,2731,http://data.gesis.org/claimskg/creative_work/78b9d0ba-8547-59a5-b740-ec5ccbd48fb1,"‘Avoid Kenyans’ because of coronavirus? No, southern African newspaper headline photoshopped",africacheck,English,FALSE,1,"newspaper headline, photoshopped","['newspaper headline', ' photoshopped']",2.0,11,en,35,35_kenya_kenyan_kenyans_nairobi
34119,39449,5935,5935,http://data.gesis.org/claimskg/creative_work/2845c359-29ff-5ef7-94ba-4b83b6e8237a,"No, photo not of police brutality during Kenya’s coronavirus curfew",africacheck,English,FALSE,1,"Kenya, police brutality","['Kenya', ' police brutality']",2.0,10,en,35,35_kenya_kenyan_kenyans_nairobi
23259,28426,1888,1888,http://data.gesis.org/claimskg/creative_work/d02ca97c-dbfe-5780-b88e-e84d519203c0,"Top Kenyan official gives the finger to coronavirus ‘idiots’? No, photo manipulated",africacheck,English,FALSE,1,photo manipulated,['photo manipulated'],1.0,12,en,35,35_kenya_kenyan_kenyans_nairobi
5813,10020,3712,3712,http://data.gesis.org/claimskg/creative_work/e3f5d58b-1cf0-53c5-ad79-c6a8e91738ac,"Kenyans crowding in churches despite coronavirus ban? No, photos years old",africacheck,English,FALSE,1,,,0.0,11,en,35,35_kenya_kenyan_kenyans_nairobi
18871,23529,4529,4529,http://data.gesis.org/claimskg/creative_work/119a3986-4e82-5db6-a53d-a37567ddfd3c,"Yes, Kenya’s president confirmed two new coronavirus cases on 15 March",africacheck,English,TRUE,3,15 March,['15 March'],1.0,11,en,35,35_kenya_kenyan_kenyans_nairobi
49071,55382,1723,1723,http://data.gesis.org/claimskg/creative_work/d03f847c-718a-5232-b9d9-4611680efd2a,"Citizen TV reported Kenya’s ‘second’ coronavirus case, at Multimedia University? No",africacheck,English,FALSE,1,"Citizen TV, Kenya, Multimedia University","['Citizen TV', ' Kenya', ' Multimedia University']",3.0,11,en,35,35_kenya_kenyan_kenyans_nairobi
30613,35914,2796,2796,http://data.gesis.org/claimskg/creative_work/5986c8ef-65a3-59b6-979b-1d25bbfc132f,"Three months’ free rent in Kenya during Covid-19 crisis? No, announcement fake",africacheck,English,FALSE,1,"Covid-19, Kenya","['Covid-19', ' Kenya']",2.0,12,en,35,35_kenya_kenyan_kenyans_nairobi
32542,37862,5253,5253,http://data.gesis.org/claimskg/creative_work/6b696094-82b1-5b23-8393-1ea1eebc6b24,"Man arrested in Kenya for not wearing mask during coronavirus outbreak? No, photo from 2014 strike",africacheck,English,FALSE,1,"Kenya, coronavirus outbreak","['Kenya', ' coronavirus outbreak']",2.0,16,en,35,35_kenya_kenyan_kenyans_nairobi
4378,8524,1806,1806,http://data.gesis.org/claimskg/creative_work/b03f7d27-3fd4-55b6-b4b4-a831161f8732,"No, Kenyan president didn’t tweet that Covid curfew would only be lifted when BBI constitutional changes were accepted",africacheck,English,FALSE,1,,,0.0,18,en,35,35_kenya_kenyan_kenyans_nairobi
32650,37970,5584,5584,http://data.gesis.org/claimskg/creative_work/fe31d3fd-989a-5b23-8695-6ca227753652,No Likoni ferry ‘lockdown’ during Kenya’s coronavirus curfew,africacheck,English,FALSE,1,"Kenya, Likoni ferry","['Kenya', ' Likoni ferry']",2.0,8,en,35,35_kenya_kenyan_kenyans_nairobi
34524,39860,3926,3926,http://data.gesis.org/claimskg/creative_work/b1fd5268-1e27-54d6-824e-a7caf3ec375c,[The Covid-19 dusk-to-dawn curfew is] Kenya’s first ever nationwide curfew since independence.,africacheck,English,TRUE,3,"Covid-19, Kenya","['Covid-19', ' Kenya']",2.0,12,en,35,35_kenya_kenyan_kenyans_nairobi
42977,48930,3365,3365,http://data.gesis.org/claimskg/creative_work/48ded0b8-f38e-580f-8931-2173c18210e4,"No, Citizen TV didn’t report coronavirus case at Kenya’s Meru University",africacheck,English,FALSE,1,"Citizen TV, Kenya, Meru","['Citizen TV', ' Kenya', ' Meru']",3.0,11,en,35,35_kenya_kenyan_kenyans_nairobi
57038,63539,2021,2021,http://data.gesis.org/claimskg/creative_work/8c8284f5-afe4-5590-8f55-aa9e88e4290e,"No, Kenya’s KTN News didn’t report 14 University of Nairobi students infected with Covid-19",africacheck,English,FALSE,1,"Covid-19, KTN News, Kenya, University of Nairobi","['Covid-19', ' KTN News', ' Kenya', ' University of Nairobi']",4.0,14,en,35,35_kenya_kenyan_kenyans_nairobi
43395,49383,3252,3252,http://data.gesis.org/claimskg/creative_work/64c3ec98-662d-50bc-b758-8c42923ffb33,Kenya's Odinga mingling while bedridden with Covid-19? Old photo from 2010,africacheck,English,FALSE,1,"Covid-19, Kenya, from 2010","['Covid-19', ' Kenya', ' from 2010']",3.0,11,en,35,35_kenya_kenyan_kenyans_nairobi
33267,38590,5131,5131,http://data.gesis.org/claimskg/creative_work/87655e16-2041-5092-a79d-29713d917c82,"No, false news of KSh100,000 payout for ‘every Kenyan’ during Covid-19 lockdown not broadcast on Citizen TV",africacheck,English,FALSE,1,"Citizen TV, Covid-19","['Citizen TV', ' Covid-19']",2.0,17,en,35,35_kenya_kenyan_kenyans_nairobi
6690,10928,5370,5370,http://data.gesis.org/claimskg/creative_work/1d638823-3e5f-58ea-992f-c418a1700da8,"No, Kenyan newspaper didn’t report coronavirus patient’s stay at Weston Hotel",africacheck,English,FALSE,1,,,0.0,11,en,35,35_kenya_kenyan_kenyans_nairobi
