Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,claim,text,organization,lang_name,rating_label,rating_value,entity_strings,entities,nr_entities,num_words,probable_lang,Topic,Topic Name
1709,3734,36684,372,http://data.gesis.org/claimskg/creative_work/701753e2-051c-5200-b7f4-3c38202115e3,"You are 17 times more likely to go to the hospital if you’re not vaccinated, 20 times more likely to die.",politifact,English,True,3,,,0.0,21,en,36,36_nonvaccinated_vaccine_unvaccinated_vaccinated
55274,61694,15555,4207,http://data.gesis.org/claimskg/creative_work/e3f5e794-72c2-50d6-b070-d56728c75ba8,Vaccinated people are 885% more likely to die of Covid-19 than unvaccinated people,factcheck_afp,English,FALSE,1,"Covid-19, Vaccinated people, unvaccinated people","['Covid-19', ' Vaccinated people', ' unvaccinated people']",3.0,13,en,36,36_nonvaccinated_vaccine_unvaccinated_vaccinated
23137,28289,23423,1878,http://data.gesis.org/claimskg/creative_work/490c0e8f-f65e-5f85-8d8c-565af84cdfd2,Older people are more likely to become ill with Covid-19 if they are vaccinated than if they are not.,fullfact,English,FALSE,1,Older people,['Older people'],1.0,19,en,36,36_nonvaccinated_vaccine_unvaccinated_vaccinated
57773,64290,50007,2137,http://data.gesis.org/claimskg/creative_work/65975337-2051-5621-8287-f0cacbaffbc6,New Israeli study finds fully vaccinated people are at ‘greater risk of hospitalization’ and 13 times more likely to catch COVID-19 than those who have recovered and have natural immunity.,politifact,English,MIXTURE,2,"COVID-19, Israeli, fully vaccinated, natural immunity","['COVID-19', ' Israeli', ' fully vaccinated', ' natural immunity']",4.0,30,en,36,36_nonvaccinated_vaccine_unvaccinated_vaccinated
38387,43823,14722,3374,http://data.gesis.org/claimskg/creative_work/bfe40276-2fa9-57eb-9b36-eac188079e92,Survival rate for Covid-19 is same for vaccinated and unvaccinated,factcheck_afp,English,FALSE,1,"Covid-19, Survival rate","['Covid-19', ' Survival rate']",2.0,10,en,36,36_nonvaccinated_vaccine_unvaccinated_vaccinated
38555,43994,38921,94,http://data.gesis.org/claimskg/creative_work/4a525d2b-0d45-51c1-8ee9-9241adfa6153,The death rate for fully vaccinated people is significantly higher than non-vaccinated [people].,politifact,English,False,1,"death rate, fully vaccinated","['death rate', ' fully vaccinated']",2.0,13,en,36,36_nonvaccinated_vaccine_unvaccinated_vaccinated
3478,5835,25808,4263,http://data.gesis.org/claimskg/creative_work/742795e8-3e8c-5e4d-8c00-010372f02023,Figures show a consistently higher number of Covid-19 cases among vaccinated adults.,fullfact,English,OTHER,-1,,,0.0,12,en,36,36_nonvaccinated_vaccine_unvaccinated_vaccinated
22016,27045,21697,152,http://data.gesis.org/claimskg/creative_work/40001bd4-b29e-5114-9525-d1e8051c2774,Vaccinated people over 30 have higher rates of Covid-19 infection than unvaccinated ones.,fullfact,English,OTHER,-1,Covid-19,['Covid-19'],1.0,13,en,36,36_nonvaccinated_vaccine_unvaccinated_vaccinated
59294,65857,43819,4992,http://data.gesis.org/claimskg/creative_work/346fbfbb-d4fd-595a-a1a5-2a181aadabd6,CDC officials admit more hospitalizations of young people from vaccine than from the actual COVID virus.,politifact,English,False,1,"CDC, COVID, vaccine, young people","['CDC', ' COVID', ' vaccine', ' young people']",4.0,16,en,36,36_nonvaccinated_vaccine_unvaccinated_vaccinated
47708,53892,22933,1388,http://data.gesis.org/claimskg/creative_work/297f1ec2-0344-5173-8c18-eef0bb263be2,An Israeli study showed that vaccinated people were 27 times more likely to catch Covid-19 than unvaccinated people.,fullfact,English,FALSE,1,"Covid-19, unvaccinated people, vaccinated people","['Covid-19', ' unvaccinated people', ' vaccinated people']",3.0,18,en,36,36_nonvaccinated_vaccine_unvaccinated_vaccinated
57278,63782,44083,5256,http://data.gesis.org/claimskg/creative_work/efc33ad9-5dad-589b-8a18-0c348dab0553,Says 86% of COVID-19 cases in Israel in July were in fully vaccinated individuals.,politifact,English,False,1,"COVID-19 cases, Israel, July, fully vaccinated","['COVID-19 cases', ' Israel', ' July', ' fully vaccinated']",4.0,14,en,36,36_nonvaccinated_vaccine_unvaccinated_vaccinated
