Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,claim,text,organization,lang_name,rating_label,rating_value,entity_strings,entities,nr_entities,num_words,probable_lang,Topic,Topic Name
12205,16563,52822,4952,http://data.gesis.org/claimskg/creative_work/acb95b86-62b6-54e9-99af-605e0cbe0ab2,Fully vaccinated Australians in hospital for COVID-19 surpass unvaccinated,politifact,English,MIXTURE,2,COVID-19,['COVID-19'],1.0,9,en,37,37_vaccinations_vaccinated_unvaccinated_vaccinate
19911,24837,16036,4688,http://data.gesis.org/claimskg/creative_work/455be281-7e6f-55b6-969d-c23790dee6f5,Covid-19 vaccine safety data from Australian vaccination monitoring agency,factcheck_afp,English,FALSE,1,Covid-19 vaccine,['Covid-19 vaccine'],1.0,9,en,37,37_vaccinations_vaccinated_unvaccinated_vaccinate
36426,41797,15059,3711,http://data.gesis.org/claimskg/creative_work/667d6630-ec2c-5164-9f22-da779e2119c9,Covid-19 vaccinations caused more deaths than the virus in Australia,factcheck_afp,English,FALSE,1,"Australia, Covid-19","['Australia', ' Covid-19']",2.0,10,en,37,37_vaccinations_vaccinated_unvaccinated_vaccinate
40160,45811,17599,6251,http://data.gesis.org/claimskg/creative_work/9b59dc87-154a-5e3d-9507-9a1afdf391cf,Australian authorities question safety of AstraZeneca Covid-19 vaccination,factcheck_afp,English,FALSE,1,"AstraZeneca, Covid-19","['AstraZeneca', ' Covid-19']",2.0,8,en,37,37_vaccinations_vaccinated_unvaccinated_vaccinate
20341,25273,6632,394,http://data.gesis.org/claimskg/creative_work/106aeba5-9e30-51c1-b6ab-82cd3a619497,An image shared on Facebook purportedly shows a news alert about Australia putting all citizens who are not fully vaccinated against COVID-19 by the end of the year in isolation camps.,checkyourfact,English,FALSE,1,Facebook,['Facebook'],1.0,31,en,37,37_vaccinations_vaccinated_unvaccinated_vaccinate
36952,42343,17396,6048,http://data.gesis.org/claimskg/creative_work/6f01430e-a2d0-5add-bfab-fbab060dd23b,Covid-19 vaccines are dangerous as an Australian government document calls them poison,factcheck_afp,English,FALSE,1,"Australian government, Covid-19 vaccines","['Australian government', ' Covid-19 vaccines']",2.0,12,en,37,37_vaccinations_vaccinated_unvaccinated_vaccinate
22479,27614,11833,485,http://data.gesis.org/claimskg/creative_work/0e2b7ce6-9d3f-5fe6-867c-58886d50c003,Unvaccinated Australians can't leave or enter the country,factcheck_afp,English,FALSE,1,enter the country,['enter the country'],1.0,8,en,37,37_vaccinations_vaccinated_unvaccinated_vaccinate
54075,60471,15890,4542,http://data.gesis.org/claimskg/creative_work/5d833cba-5ed6-5600-a4fa-6a1530238d93,News presenter states Australian company developed a treatment to prevent people dying from the Covid-19 vaccine?,factcheck_afp,English,FALSE,1,"Australian company, Covid-19 vaccine, News presenter","['Australian company', ' Covid-19 vaccine', ' News presenter']",3.0,16,en,37,37_vaccinations_vaccinated_unvaccinated_vaccinate
46570,52742,1438,1438,http://data.gesis.org/claimskg/creative_work/5cf76297-4a95-59b3-9f53-657c1b74935f,"No, unvaccinated people may enter and leave Australia, other countries – no evidence only vaccinated have spread Omicron Covid variant",africacheck,English,FALSE,1,"Australia, Omicron Covid, unvaccinated people","['Australia', ' Omicron Covid', ' unvaccinated people']",3.0,20,en,37,37_vaccinations_vaccinated_unvaccinated_vaccinate
22985,28133,23057,1512,http://data.gesis.org/claimskg/creative_work/efa23088-4417-51f7-ac85-c8e28db3ad25,There have been three deaths linked to Covid-19 vaccines among children in Australia.,fullfact,English,FALSE,1,Australia,['Australia'],1.0,13,en,37,37_vaccinations_vaccinated_unvaccinated_vaccinate
22865,28011,23262,1717,http://data.gesis.org/claimskg/creative_work/ac579995-58cb-551b-8e5f-4a62a630db5e,The Australian government has admitted Covid-19 vaccines are a poison.,fullfact,English,FALSE,1,Australian government,['Australian government'],1.0,10,en,37,37_vaccinations_vaccinated_unvaccinated_vaccinate
36345,41714,15606,4258,http://data.gesis.org/claimskg/creative_work/7c2eb5b7-0c8c-5bd5-94e0-e95ec3ecbc83,Graphic shows actual Covid-19 vaccine deaths in Australia,factcheck_afp,English,FALSE,1,"Australia, Covid-19 vaccine","['Australia', ' Covid-19 vaccine']",2.0,8,en,37,37_vaccinations_vaccinated_unvaccinated_vaccinate
41758,47647,12647,1299,http://data.gesis.org/claimskg/creative_work/66778686-fe3d-50e0-82d6-dd81add26e37,Australia stops Covid vaccines for children after losing court case,factcheck_afp,English,FALSE,1,"Australia, vaccines for children","['Australia', ' vaccines for children']",2.0,10,en,37,37_vaccinations_vaccinated_unvaccinated_vaccinate
50936,57314,14883,3535,http://data.gesis.org/claimskg/creative_work/61e9cc74-465a-5d27-a613-95e9c71a5b1e,Australia's Therapeutic Goods Administration releases graphic showing hundreds of Covid-19 vaccine deaths,factcheck_afp,English,FALSE,1,"Australia, Covid-19 vaccine, Therapeutic Goods Administration","['Australia', ' Covid-19 vaccine', ' Therapeutic Goods Administration']",3.0,12,en,37,37_vaccinations_vaccinated_unvaccinated_vaccinate
22738,27881,12061,713,http://data.gesis.org/claimskg/creative_work/99b5aaed-fffd-58ed-9e4b-cbf9027a24f5,New Australia biosecurity law will punish the unvaccinated,factcheck_afp,English,FALSE,1,New Australia,['New Australia'],1.0,8,en,37,37_vaccinations_vaccinated_unvaccinated_vaccinate
