Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,claim,text,organization,lang_name,rating_label,rating_value,entity_strings,entities,nr_entities,num_words,probable_lang,Topic,Topic Name
13237,17608,43745,4918,http://data.gesis.org/claimskg/creative_work/d95c3e83-9a3f-5584-8101-528c2aa96b14,The Pfizer COVID-19 vaccines contain a deadly parasite.,politifact,English,False,1,Pfizer COVID-19 vaccines,['Pfizer COVID-19 vaccines'],1.0,8,en,3,3_vaccine_pfizer_pfizerbiontech_bourla
46571,52743,27714,6169,http://data.gesis.org/claimskg/creative_work/3a2e5a6b-a1b0-5848-a4bb-ebed0dd6fc6c,Research from Israel suggests that the Pfizer vaccine is much less protective against Covid-19 than natural immunity from catching the disease.,fullfact,English,OTHER,-1,"Pfizer, natural immunity, vaccine","['Pfizer', ' natural immunity', ' vaccine']",3.0,21,en,3,3_vaccine_pfizer_pfizerbiontech_bourla
44027,50072,17134,5786,http://data.gesis.org/claimskg/creative_work/da2876bf-0636-50ee-aeec-55aa1c2726af,Encephalitis caused by Pfizer's Covid-19 vaccine,factcheck_afp,English,FALSE,1,"Covid-19 vaccine, Encephalitis, Pfizer","['Covid-19 vaccine', ' Encephalitis', ' Pfizer']",3.0,6,en,3,3_vaccine_pfizer_pfizerbiontech_bourla
46506,52676,12310,962,http://data.gesis.org/claimskg/creative_work/1ed98bd5-2d86-5bd7-8cf9-2471862de334,"Pfizer CEO says vaccine gives limited protection, if any, against Covid-19",factcheck_afp,English,FALSE,1,"CEO, Covid-19, Pfizer","['CEO', ' Covid-19', ' Pfizer']",3.0,11,en,3,3_vaccine_pfizer_pfizerbiontech_bourla
17090,21595,39307,480,http://data.gesis.org/claimskg/creative_work/b559b0c1-187c-5af2-a2fa-e0a854791675,The Pfizer COVID-19 vaccine is not approved.,politifact,English,False,1,Pfizer COVID-19 vaccine,['Pfizer COVID-19 vaccine'],1.0,7,en,3,3_vaccine_pfizer_pfizerbiontech_bourla
39346,44880,24541,2996,http://data.gesis.org/claimskg/creative_work/6055edf1-24c5-5cb2-857a-cf455850e980,New documents reveal that Pfizer’s Covid-19 vaccine has just 12% efficacy.,fullfact,English,OTHER,-1,"Covid-19 vaccine, Pfizer","['Covid-19 vaccine', ' Pfizer']",2.0,11,en,3,3_vaccine_pfizer_pfizerbiontech_bourla
57389,63895,1811,1811,http://data.gesis.org/claimskg/creative_work/cb5cb6a2-6c9a-590a-8887-007ab3e2c661,Claims about Pfizer-BioNTech vaccine for Covid-19 not made by US Food and Drug Administration,africacheck,English,FALSE,1,"BioNTech vaccine, Covid-19, Pfizer, US Food and Drug Administration","['BioNTech vaccine', ' Covid-19', ' Pfizer', ' US Food and Drug Administration']",4.0,14,en,3,3_vaccine_pfizer_pfizerbiontech_bourla
52370,58756,40903,2076,http://data.gesis.org/claimskg/creative_work/d769efab-0138-5a02-8cfe-57cbee4be93d,Pfizer vaccine contains living particles that can germinate to cause sickness.,politifact,English,False,1,"Pfizer, germinate, vaccine","['Pfizer', ' germinate', ' vaccine']",3.0,11,en,3,3_vaccine_pfizer_pfizerbiontech_bourla
39580,45115,22753,1208,http://data.gesis.org/claimskg/creative_work/3a31215e-a3a2-540b-8154-19160f22f81f,The proposed Pfizer Covid-19 vaccine is 90% effective.,fullfact,English,MIXTURE,2,"Covid-19 vaccine, Pfizer","['Covid-19 vaccine', ' Pfizer']",2.0,8,en,3,3_vaccine_pfizer_pfizerbiontech_bourla
35331,40675,4774,4774,http://data.gesis.org/claimskg/creative_work/977780ef-7006-51b2-ac48-fbabd4979eee,Pfizer employees have been getting vaccinated against Covid-19 – don’t believe rumours to the contrary,africacheck,English,FALSE,1,"Covid-19, Pfizer","['Covid-19', ' Pfizer']",2.0,15,en,3,3_vaccine_pfizer_pfizerbiontech_bourla
37040,42437,17233,5885,http://data.gesis.org/claimskg/creative_work/b2e882b0-4951-5bc5-ae31-344b795cca35,Pfizer chief will not take Covid-19 vaccine,factcheck_afp,English,FALSE,1,"Covid-19 vaccine, Pfizer","['Covid-19 vaccine', ' Pfizer']",2.0,7,en,3,3_vaccine_pfizer_pfizerbiontech_bourla
38892,44337,26488,4943,http://data.gesis.org/claimskg/creative_work/e7ad2b32-88f6-50f9-bcb4-d39a3f3b5f3f,A newly published document lists side effects from Pfizer’s Covid-19 vaccine.,fullfact,English,FALSE,1,"Covid-19 vaccine, Pfizer","['Covid-19 vaccine', ' Pfizer']",2.0,11,en,3,3_vaccine_pfizer_pfizerbiontech_bourla
54847,61257,15947,4599,http://data.gesis.org/claimskg/creative_work/410d6b49-7119-5541-966c-11fcbbcb5cc4,Global News article said Pfizer Covid-19 vaccine has a 12% efficacy rate,factcheck_afp,English,FALSE,1,"Covid-19 vaccine, Global News, Pfizer","['Covid-19 vaccine', ' Global News', ' Pfizer']",3.0,12,en,3,3_vaccine_pfizer_pfizerbiontech_bourla
36707,42083,15121,3773,http://data.gesis.org/claimskg/creative_work/87b94451-975c-502f-8ad2-7b5d5e9e16ec,Pfizer released list of worrying side effects to the Covid-19 vaccine,factcheck_afp,English,FALSE,1,"Covid-19 vaccine, Pfizer","['Covid-19 vaccine', ' Pfizer']",2.0,11,en,3,3_vaccine_pfizer_pfizerbiontech_bourla
55914,62352,24228,2683,http://data.gesis.org/claimskg/creative_work/c0496185-0b71-5d59-8f78-360184d23789,The AstraZeneca Covid-19 vaccine causes more side effects than the Pfizer vaccine.,fullfact,English,TRUE,3,"AstraZeneca, Covid-19 vaccine, Pfizer, vaccine","['AstraZeneca', ' Covid-19 vaccine', ' Pfizer', ' vaccine']",4.0,12,en,3,3_vaccine_pfizer_pfizerbiontech_bourla
37645,43066,39028,201,http://data.gesis.org/claimskg/creative_work/f6e1b3ef-a393-5c1f-aaf3-3da5ad0dd151,Six-month Pfizer data show COVID vaccine causes more illness than it prevents.,politifact,English,False,1,"COVID vaccine, Pfizer","['COVID vaccine', ' Pfizer']",2.0,12,en,3,3_vaccine_pfizer_pfizerbiontech_bourla
38871,44316,27077,5532,http://data.gesis.org/claimskg/creative_work/4c4fdaad-d9cc-5e8d-963d-5777b711d08c,The Pfizer vaccine has a one in 17 mortality rate.,fullfact,English,FALSE,1,"Pfizer vaccine, mortality rate","['Pfizer vaccine', ' mortality rate']",2.0,10,en,3,3_vaccine_pfizer_pfizerbiontech_bourla
37491,42910,13815,2467,http://data.gesis.org/claimskg/creative_work/2131c0c4-0c47-5612-90ab-8272f5da21da,Patents for Covid-19 vaccine tracking technology submitted by Pfizer,factcheck_afp,English,FALSE,1,"Covid-19 vaccine, Pfizer","['Covid-19 vaccine', ' Pfizer']",2.0,9,en,3,3_vaccine_pfizer_pfizerbiontech_bourla
54791,61200,16318,4970,http://data.gesis.org/claimskg/creative_work/3691ac0e-557d-5c4e-9710-248f984bfc78,Pfizer announces COVID-19 Vaccine Upgrade with Microsoft,factcheck_afp,English,FALSE,1,"COVID-19 Vaccine, Microsoft, Pfizer","['COVID-19 Vaccine', ' Microsoft', ' Pfizer']",3.0,7,en,3,3_vaccine_pfizer_pfizerbiontech_bourla
54600,61007,10645,4407,http://data.gesis.org/claimskg/creative_work/957ef3c3-a84d-5f11-bb6b-8bb871e71d15,An image shared on Instagram claims the Food and Drug Administration (FDA) said Pfizer misled it regarding the safety of its COVID-19 vaccine.,checkyourfact,English,FALSE,1,"COVID-19 vaccine, FDA, Instagram","['COVID-19 vaccine', ' FDA', ' Instagram']",3.0,23,en,3,3_vaccine_pfizer_pfizerbiontech_bourla
17048,21553,55131,7261,http://data.gesis.org/claimskg/creative_work/c3d23d89-68e4-5f28-a23c-e71f98aa430b,A six-month study from Pfizer shows that its vaccine reduces severe COVID symptoms/hospitalizations by .1%.,politifact,English,MIXTURE,2,Pfizer,['Pfizer'],1.0,15,en,3,3_vaccine_pfizer_pfizerbiontech_bourla
39227,44760,24019,2474,http://data.gesis.org/claimskg/creative_work/b6d3c560-cad1-5715-84f8-118e704b67b6,Pfizer is using children as lab rats to test the Covid-19 vaccine.,fullfact,English,OTHER,-1,"Covid-19 vaccine, Pfizer","['Covid-19 vaccine', ' Pfizer']",2.0,12,en,3,3_vaccine_pfizer_pfizerbiontech_bourla
13594,17971,49858,1988,http://data.gesis.org/claimskg/creative_work/57951b56-9a1d-5eed-ac3c-630c0797a75a,It's been confirmed that the Pfizer COVID-19 vaccine isn't guaranteed after six months.,politifact,English,MIXTURE,2,Pfizer COVID-19 vaccine,['Pfizer COVID-19 vaccine'],1.0,13,en,3,3_vaccine_pfizer_pfizerbiontech_bourla
46225,52393,26345,4800,http://data.gesis.org/claimskg/creative_work/921b133a-6c82-592e-92ee-df0d4bd66d85,86% of children suffered an adverse reaction to the Pfizer/BioNTech Covid-19 vaccine in clinical trials.,fullfact,English,MIXTURE,2,"BioNTech, Pfizer, adverse reaction","['BioNTech', ' Pfizer', ' adverse reaction']",3.0,15,en,3,3_vaccine_pfizer_pfizerbiontech_bourla
48904,55201,42888,4061,http://data.gesis.org/claimskg/creative_work/2af17260-179b-51ee-80fa-f18884f9466b,There is no FDA approval for the Pfizer BioNTech vaccine for COVID-19.,politifact,English,False,1,"COVID-19, FDA, Pfizer BioNTech vaccine","['COVID-19', ' FDA', ' Pfizer BioNTech vaccine']",3.0,12,en,3,3_vaccine_pfizer_pfizerbiontech_bourla
