Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,claim,text,organization,lang_name,rating_label,rating_value,entity_strings,entities,nr_entities,num_words,probable_lang,Topic,Topic Name
25391,30650,47648,8821,http://data.gesis.org/claimskg/creative_work/94915a91-e70a-5ae2-a634-701030b1bb46,Country singer Jake Flint died because of the COVID-19 vaccine.,politifact,English,False,1,"COVID-19 vaccine, Country singer","['COVID-19 vaccine', ' Country singer']",2.0,10,en,40,40_vaccine_died_vaccination_covid19
42210,48109,41906,3079,http://data.gesis.org/claimskg/creative_work/67c2e536-cb30-5f84-815a-7e54365199a4,Grant Wahl died because of the COVID-19 vaccine.,politifact,English,False,1,"COVID-19 vaccine, Grant Wahl","['COVID-19 vaccine', ' Grant Wahl']",2.0,8,en,40,40_vaccine_died_vaccination_covid19
37405,42821,39528,701,http://data.gesis.org/claimskg/creative_work/b267f6c3-860f-5821-b2c8-70ccb3c880a2,Gilbert Gottfried died from the COVID-19 vaccine.,politifact,English,False,1,"COVID-19 vaccine, Gilbert Gottfried","['COVID-19 vaccine', ' Gilbert Gottfried']",2.0,7,en,40,40_vaccine_died_vaccination_covid19
24087,29343,45094,6267,http://data.gesis.org/claimskg/creative_work/55ccfaa3-cf2c-5a81-bf18-afefa6c8267b,Stephen Boss died because of the COVID-19 vaccine.,politifact,English,False,1,"COVID-19 vaccine, Stephen Boss","['COVID-19 vaccine', ' Stephen Boss']",2.0,8,en,40,40_vaccine_died_vaccination_covid19
16796,21297,39949,1122,http://data.gesis.org/claimskg/creative_work/e5dd37c6-acc7-5c7c-96fb-cd1edfc83c9f,Says actor Mike Mitchell died because of a COVID-19 booster shot.,politifact,English,False,1,COVID-19 booster shot,['COVID-19 booster shot'],1.0,11,en,40,40_vaccine_died_vaccination_covid19
40968,46847,41608,2781,http://data.gesis.org/claimskg/creative_work/e88cef5d-8799-5ab1-92e6-97c3602196a8,An Ohio doctor died from a COVID-19 vaccine.,politifact,English,False,1,"COVID-19 vaccine, Ohio","['COVID-19 vaccine', ' Ohio']",2.0,8,en,40,40_vaccine_died_vaccination_covid19
31261,36568,76555,2208,http://data.gesis.org/claimskg/creative_work/f20d6667-dd8d-593e-9332-a27549d44bbd,Hank Aaron died as a result of a COVID-19 vaccination.,snopes,English,OTHER,-1,"COVID-19 vaccination, Hank Aaron","['COVID-19 vaccination', ' Hank Aaron']",2.0,10,en,40,40_vaccine_died_vaccination_covid19
55299,61720,41754,2927,http://data.gesis.org/claimskg/creative_work/cddafd99-f52d-58e4-8dc7-664150bca45c,Foo Fighters drummer Taylor Hawkins died from a COVID-19 vaccine.,politifact,English,False,1,"COVID-19 vaccine, Foo Fighters, Taylor Hawkins","['COVID-19 vaccine', ' Foo Fighters', ' Taylor Hawkins']",3.0,10,en,40,40_vaccine_died_vaccination_covid19
37431,42849,39439,612,http://data.gesis.org/claimskg/creative_work/102d01e0-22e6-537c-a091-921755da3d65,DJ Mighty Mouse died because of a COVID-19 booster vaccine.,politifact,English,False,1,"COVID-19, booster vaccine","['COVID-19', ' booster vaccine']",2.0,10,en,40,40_vaccine_died_vaccination_covid19
45861,52026,46677,7850,http://data.gesis.org/claimskg/creative_work/c85ed609-1147-53e1-be75-c79f7d48ea91,Hank Aaron and Marvelous Marvin Hagler died after taking the COVID-19 vaccine.,politifact,English,False,1,"COVID-19 vaccine, Hank Aaron, Marvelous Marvin Hagler","['COVID-19 vaccine', ' Hank Aaron', ' Marvelous Marvin Hagler']",3.0,12,en,40,40_vaccine_died_vaccination_covid19
