Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,claim,text,organization,lang_name,rating_label,rating_value,entity_strings,entities,nr_entities,num_words,probable_lang,Topic,Topic Name
11153,15502,71188,9159,http://data.gesis.org/claimskg/creative_work/a87cd296-a7e2-5be3-87de-44c22698b0b2,"COVID-19 vaccinations, which have already killed several youngsters, will be required before children will be allowed to return to school.",snopes,English,False,1,COVID-19 vaccinations,['COVID-19 vaccinations'],1.0,20,en,41,41_vaccination_vaccinated_parental_consent
25481,30741,11812,464,http://data.gesis.org/claimskg/creative_work/36178cbd-fd17-52cb-bd92-048276e4c0b9,CDC action makes the Covid-19 vaccine mandatory for schoolchildren,factcheck_afp,English,FALSE,1,"CDC, Covid-19 vaccine","['CDC', ' Covid-19 vaccine']",2.0,9,en,41,41_vaccination_vaccinated_parental_consent
61579,68293,48321,451,http://data.gesis.org/claimskg/creative_work/422e17c9-60ec-574e-a306-02aa1722e4e9,"The CDC is about to add the COVID vaccine to the childhood immunization schedule, which would make the vax mandatory for kids to attend school.",politifact,English,MIXTURE,2,"CDC, COVID vaccine, immunization schedule, vax","['CDC', ' COVID vaccine', ' immunization schedule', ' vax']",4.0,25,en,41,41_vaccination_vaccinated_parental_consent
40930,46807,41508,2681,http://data.gesis.org/claimskg/creative_work/077aa37d-ed3c-5792-8ad1-29cf4b13510b,Sending your child to school on a day when vaccines are being administered is implied consent for getting the COVID-19 vaccine.,politifact,English,False,1,"COVID-19 vaccine, implied consent","['COVID-19 vaccine', ' implied consent']",2.0,21,en,41,41_vaccination_vaccinated_parental_consent
21099,26079,16923,5575,http://data.gesis.org/claimskg/creative_work/c8cb240a-b9b3-500b-a949-7cd9640fbd80,WHO says child's presence at school is enough consent for vaccination,factcheck_afp,English,FALSE,1,WHO,['WHO'],1.0,11,en,41,41_vaccination_vaccinated_parental_consent
29543,34833,71555,269,http://data.gesis.org/claimskg/creative_work/6913550d-4e19-5382-86de-8aa18d31289d,A U.S. law allows children as young as 11 to get vaccinated without their parents' consent.,snopes,English,MIXTURE,2,"U.S., parents' consent","['U.S.', "" parents' consent""]",2.0,16,en,41,41_vaccination_vaccinated_parental_consent
50178,56551,55692,7822,http://data.gesis.org/claimskg/creative_work/e43f2d9f-4f6b-533e-9acf-406d2b173da2,Washington’s State Board of Health will discuss mandatory COVID-19 quarantines and vaccine requirements for schoolchildren at a Jan. 12 meeting.,politifact,English,MIXTURE,2,"COVID-19 quarantines, State Board of Health, vaccine requirements","['COVID-19 quarantines', ' State Board of Health', ' vaccine requirements']",3.0,20,en,41,41_vaccination_vaccinated_parental_consent
28065,33346,49085,1215,http://data.gesis.org/claimskg/creative_work/e883c16a-8534-506f-8b0e-f64d1d005f42,It used to be that the only children at school who weren't vaccinated were those who had true medical conditions. Now there are 19 states that allow personal belief exemptions.,politifact,English,MIXTURE,2,"medical conditions, personal belief","['medical conditions', ' personal belief']",2.0,30,en,41,41_vaccination_vaccinated_parental_consent
39700,45236,25901,4356,http://data.gesis.org/claimskg/creative_work/180ccd9d-9ff6-5fa6-9288-0fb776c02a29,The WHO now says a child’s presence in school counts as informed consent for a vaccination and parental presence is not required.,fullfact,English,TRUE,3,"WHO, informed consent","['WHO', ' informed consent']",2.0,22,en,41,41_vaccination_vaccinated_parental_consent
23688,28942,47236,8409,http://data.gesis.org/claimskg/creative_work/cbc3fec8-1e42-50c1-b27e-ba46ecd7c8b6,WHO now says your child’s presence in school counts as ‘informed consent’ for vaccination - parental presence not required.,politifact,English,False,1,"WHO, informed consent","['WHO', ' informed consent']",2.0,19,en,41,41_vaccination_vaccinated_parental_consent
