Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,claim,text,organization,lang_name,rating_label,rating_value,entity_strings,entities,nr_entities,num_words,probable_lang,Topic,Topic Name
525,2527,46102,7275,http://data.gesis.org/claimskg/creative_work/2f566281-acc9-56c9-83da-08fced4f1ab9,"Says if you donate blood, they HAVE to test you for coronavirus.",politifact,English,False,1,,,0.0,12,en,42,42_nonvaccinated_vaccination_vaccinated_vaccine
45918,52085,74060,2774,http://data.gesis.org/claimskg/creative_work/89780e35-5c6c-5698-9064-11ace5a4de91,"Donating blood requires that you be administered a free test for COVID-19, a disease caused by the coronavirus.",snopes,English,MIXTURE,2,"COVID-19, Donating blood, coronavirus","['COVID-19', ' Donating blood', ' coronavirus']",3.0,18,en,42,42_nonvaccinated_vaccination_vaccinated_vaccine
41695,47584,12614,1266,http://data.gesis.org/claimskg/creative_work/a569f111-260e-50e4-8aea-06d72fb90d87,Blood donation results in free novel coronavirus test,factcheck_afp,English,FALSE,1,"Blood donation, coronavirus test","['Blood donation', ' coronavirus test']",2.0,8,en,42,42_nonvaccinated_vaccination_vaccinated_vaccine
7500,11779,30245,1098,http://data.gesis.org/claimskg/creative_work/c4fd92b5-c3ef-51df-8336-7fd5f06c198f,A test for COVID-19 is mandatory for anyone seeking to donate blood.,truthorfiction,English,FALSE,1,COVID-19,['COVID-19'],1.0,12,en,42,42_nonvaccinated_vaccination_vaccinated_vaccine
28675,33960,8305,2067,http://data.gesis.org/claimskg/creative_work/114bbf83-9b00-59cf-b2a5-47ff468d38a1,An image shared on Facebook claims blood donors automatically get tested for the new coronavirus.,checkyourfact,English,FALSE,1,"Facebook, coronavirus","['Facebook', ' coronavirus']",2.0,15,en,42,42_nonvaccinated_vaccination_vaccinated_vaccine
11864,16220,44583,5756,http://data.gesis.org/claimskg/creative_work/8a7fe6bc-7442-5013-a9a2-6462167b041a,"If you get the COVID-19 vaccine, you can't donate blood or plasma because it's completely tainted.",politifact,English,False,1,COVID-19 vaccine,['COVID-19 vaccine'],1.0,16,en,42,42_nonvaccinated_vaccination_vaccinated_vaccine
14344,18726,47154,8327,http://data.gesis.org/claimskg/creative_work/2fc9b7b0-4484-5a80-a118-242b1c5084bf,You can’t donate plasma after getting a COVID-19 vaccine.,politifact,English,False,1,COVID-19 vaccine,['COVID-19 vaccine'],1.0,9,en,42,42_nonvaccinated_vaccination_vaccinated_vaccine
38922,44367,26414,4869,http://data.gesis.org/claimskg/creative_work/ca913bdf-4e98-55c8-9ddd-4dd3f242e2ce,The Red Cross says people vaccinated against Covid-19 cannot donate blood plasma because the vaccine wipes out antibodies.,fullfact,English,FALSE,1,"Covid-19, Red Cross","['Covid-19', ' Red Cross']",2.0,18,en,42,42_nonvaccinated_vaccination_vaccinated_vaccine
4881,9045,73392,2106,http://data.gesis.org/claimskg/creative_work/45c7a1ce-dc62-5ed4-9515-8526db316c1c,"As of April 2021, U.S. COVID-19 vaccine recipients were obliged to wait before donating blood.",snopes,English,MIXTURE,2,,,0.0,15,en,42,42_nonvaccinated_vaccination_vaccinated_vaccine
45547,51695,17672,6324,http://data.gesis.org/claimskg/creative_work/2eb47f2c-d6e0-57f9-9ce1-3ca779c725ae,American Red Cross does not accept plasma donations from Covid-19 vaccine recipients,factcheck_afp,English,FALSE,1,"American Red Cross, Covid-19 vaccine, plasma","['American Red Cross', ' Covid-19 vaccine', ' plasma']",3.0,12,en,42,42_nonvaccinated_vaccination_vaccinated_vaccine
12765,17133,42720,3893,http://data.gesis.org/claimskg/creative_work/f243da03-dfd7-5677-9015-0a0b43412603,"A banner for COVID-19 vaccines says, Don’t forget to donate your childrens organs.",politifact,English,False,1,COVID-19 vaccines,['COVID-19 vaccines'],1.0,13,en,42,42_nonvaccinated_vaccination_vaccinated_vaccine
50798,57175,10310,4072,http://data.gesis.org/claimskg/creative_work/9383b9df-d6c0-5b11-8996-a876e5bb3ada,An image shared on Facebook claims the American Red Cross is not accepting plasma donations from people who received COVID-19 vaccines.,checkyourfact,English,FALSE,1,"COVID-19 vaccines, Facebook, plasma","['COVID-19 vaccines', ' Facebook', ' plasma']",3.0,21,en,42,42_nonvaccinated_vaccination_vaccinated_vaccine
3341,5697,24797,3252,http://data.gesis.org/claimskg/creative_work/b1920041-0956-595a-9461-e553e5d6f3ff,You cannot give blood after you’ve been vaccinated.,fullfact,English,OTHER,-1,,,0.0,8,en,42,42_nonvaccinated_vaccination_vaccinated_vaccine
61932,68654,8956,2718,http://data.gesis.org/claimskg/creative_work/e96d14d4-02e0-55af-9161-621bc765c5d3,An image shared on Facebook claims the American Red Cross reports that vaccinated people cannot donate blood because the vaccine completely destroys their natural antibodies.,checkyourfact,English,FALSE,1,"American Red Cross, Facebook, donate blood, vaccinated people, vaccine","['American Red Cross', ' Facebook', ' donate blood', ' vaccinated people', ' vaccine']",5.0,25,en,42,42_nonvaccinated_vaccination_vaccinated_vaccine
