Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,claim,text,organization,lang_name,rating_label,rating_value,entity_strings,entities,nr_entities,num_words,probable_lang,Topic,Topic Name
1055,3073,50633,2763,http://data.gesis.org/claimskg/creative_work/c29bef22-dd1b-5631-b658-3b6574ca03c4,Says 80% of novel coronavirus cases are mild.,politifact,English,MIXTURE,2,,,0.0,8,en,44,44_coronavirus_coronavirusrelated_deaths_hospitalized
22208,27331,11179,65,http://data.gesis.org/claimskg/creative_work/d2014ed4-1352-5a34-98e9-93c6426c7dff,More than 98% of people infected with the coronavirus barely experience any symptoms,eufactcheck,English,FALSE,1,coronavirus,['coronavirus'],1.0,13,en,44,44_coronavirus_coronavirusrelated_deaths_hospitalized
13727,18106,49038,1168,http://data.gesis.org/claimskg/creative_work/6df785ef-93f6-5606-b65c-3428ed272255,For coronavirus cases in the U.S. 38% of those hospitalized are under 35.,politifact,English,MIXTURE,2,U.S,['U.S'],1.0,13,en,44,44_coronavirus_coronavirusrelated_deaths_hospitalized
3046,5399,24994,3449,http://data.gesis.org/claimskg/creative_work/30d603ea-96b3-58e5-9c5e-59a0bf92a6c6,58% of coronavirus deaths in Scotland are from care facilities.,fullfact,English,FALSE,1,,,0.0,10,en,44,44_coronavirus_coronavirusrelated_deaths_hospitalized
23111,28263,23329,1784,http://data.gesis.org/claimskg/creative_work/63c961e0-8ff3-5ed7-b83d-b1e1b839118f,51% of coronavirus deaths in Belgium are in care facilities.,fullfact,English,TRUE,3,Belgium,['Belgium'],1.0,10,en,44,44_coronavirus_coronavirusrelated_deaths_hospitalized
46502,52672,21667,122,http://data.gesis.org/claimskg/creative_work/a0367fa7-0f99-55ae-a685-18dc112d9a3d,21% of coronavirus deaths in England are in care facilities.,fullfact,English,FALSE,1,"21%, England, care facilities","['21%', ' England', ' care facilities']",3.0,10,en,44,44_coronavirus_coronavirusrelated_deaths_hospitalized
22200,27322,21788,243,http://data.gesis.org/claimskg/creative_work/896182d8-5794-54bb-a59e-9c1626b761d2,66% of coronavirus deaths in France are from care facilities.,fullfact,English,TRUE,3,France,['France'],1.0,10,en,44,44_coronavirus_coronavirusrelated_deaths_hospitalized
22586,27722,24517,2972,http://data.gesis.org/claimskg/creative_work/ff944f63-c650-52a5-9306-33e47696a3ba,53% of coronavirus deaths in Sweden are in care facilities.,fullfact,English,FALSE,1,Sweden,['Sweden'],1.0,10,en,44,44_coronavirus_coronavirusrelated_deaths_hospitalized
10919,15267,27689,6144,http://data.gesis.org/claimskg/creative_work/3021561a-ad7b-5e38-a927-25c9fee85059,61% of coronavirus deaths in Norway are in care facilities.,fullfact,English,FALSE,1,Norway,['Norway'],1.0,10,en,44,44_coronavirus_coronavirusrelated_deaths_hospitalized
49304,55634,27925,6380,http://data.gesis.org/claimskg/creative_work/0fbdb844-7642-5d9f-90ac-15ea34e45e42,37% of coronavirus deaths in Germany are in care facilities.,fullfact,English,TRUE,3,"37%, Germany, coronavirus","['37%', ' Germany', ' coronavirus']",3.0,10,en,44,44_coronavirus_coronavirusrelated_deaths_hospitalized
22643,27781,24224,2679,http://data.gesis.org/claimskg/creative_work/e7a23887-0590-5eda-9c6c-32c1b49e31e1,66% of coronavirus deaths in Spain are from care facilities.,fullfact,English,FALSE,1,Spain,['Spain'],1.0,10,en,44,44_coronavirus_coronavirusrelated_deaths_hospitalized
50815,57192,14934,3586,http://data.gesis.org/claimskg/creative_work/3b388098-8e1c-5e9f-90e2-6817a32b9548,Accurate infection fatality ratio for United States coronavirus cases,factcheck_afp,English,FALSE,1,"United States, coronavirus, infection fatality ratio","['United States', ' coronavirus', ' infection fatality ratio']",3.0,9,en,44,44_coronavirus_coronavirusrelated_deaths_hospitalized
