Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,claim,text,organization,lang_name,rating_label,rating_value,entity_strings,entities,nr_entities,num_words,probable_lang,Topic,Topic Name
49349,55698,27881,6336,http://data.gesis.org/claimskg/creative_work/a8c89bac-584a-5c6c-8280-ea603cf5800c,"Genetically modified yeast, animal, bacterial and viral DNA in vaccines can be incorporated into the recipient’s DNA causing unknown genetic mutations.",fullfact,English,OTHER,-1,"Genetically modified yeast, genetic mutations, viral DNA","['Genetically modified yeast', ' genetic mutations', ' viral DNA']",3.0,21,en,45,45_vaccine_vaccines_dna_infectious
33029,38351,62056,27,http://data.gesis.org/claimskg/creative_work/6b3e349f-4fff-51dc-979f-94f2777f1a98,mRNA vaccines are capable of altering or damaging human DNA.,snopes,English,False,1,"human DNA, mRNA vaccines","['human DNA', ' mRNA vaccines']",2.0,10,en,45,45_vaccine_vaccines_dna_infectious
12436,16799,45371,6544,http://data.gesis.org/claimskg/creative_work/d5f3cee5-7b58-5c36-8929-79e6eab71768,Vaccines will remove parts of your DNA and replace it with GENETIC CODING (TECHNOLOGY) that will cause people to HAVE to cooperate with the New World Order.,politifact,English,False,1,GENETIC CODING,['GENETIC CODING'],1.0,27,en,45,45_vaccine_vaccines_dna_infectious
3655,6014,25456,3911,http://data.gesis.org/claimskg/creative_work/463e2121-3882-5444-8bdf-31032854bb38,Covid-19 vaccines have the capacity to change your DNA.,fullfact,English,MIXTURE,2,,,0.0,9,en,45,45_vaccine_vaccines_dna_infectious
2708,4801,26529,4984,http://data.gesis.org/claimskg/creative_work/f8fb3ad1-5e84-5758-8416-c0fac4dcfa61,Covid-19 vaccines can change your DNA.,fullfact,English,FALSE,1,,,0.0,6,en,45,45_vaccine_vaccines_dna_infectious
3542,5900,26155,4610,http://data.gesis.org/claimskg/creative_work/cf4e4de9-1a6f-5a96-a81f-ecf1fa66a8f9,Vaccines interfere with your DNA.,fullfact,English,OTHER,-1,,,0.0,5,en,45,45_vaccine_vaccines_dna_infectious
21174,26157,14686,3338,http://data.gesis.org/claimskg/creative_work/9358a726-0388-5882-b05e-da4997f15d30,"Covid-19 vaccines alter the DNA of recipients, make people infectious",factcheck_afp,English,FALSE,1,Covid-19 vaccines,['Covid-19 vaccines'],1.0,10,en,45,45_vaccine_vaccines_dna_infectious
39229,44762,24024,2479,http://data.gesis.org/claimskg/creative_work/69ec6f2b-9394-5bd4-a490-19cd58b3a2c5,"If you’ve taken an mRNA Covid-19 vaccine, your genetic make-up has been changed, and this is confirmed in a video of World Economic Forum founder Klaus Schwab.",fullfact,English,OTHER,-1,"Covid-19 vaccine, genetic make-up","['Covid-19 vaccine', ' genetic make-up']",2.0,27,en,45,45_vaccine_vaccines_dna_infectious
3738,6098,25353,3808,http://data.gesis.org/claimskg/creative_work/97d7bd22-ab71-5550-876c-9f09b547550b,Covid-19 vaccines will change your DNA.,fullfact,English,OTHER,-1,,,0.0,6,en,45,45_vaccine_vaccines_dna_infectious
21889,26890,22568,1023,http://data.gesis.org/claimskg/creative_work/63d82149-0398-5b47-8a1d-5f7df09c11b2,Moderna’s Covid-19 vaccine is designed to change people’s DNA.,fullfact,English,FALSE,1,Covid-19 vaccine,['Covid-19 vaccine'],1.0,9,en,45,45_vaccine_vaccines_dna_infectious
34764,40100,3356,3356,http://data.gesis.org/claimskg/creative_work/9bcdd118-5ccd-53eb-9fe0-feb5efdb221d,"No, Covid-19 vaccines won’t modify human DNA",africacheck,English,FALSE,1,"Covid-19 vaccines, human DNA","['Covid-19 vaccines', ' human DNA']",2.0,7,en,45,45_vaccine_vaccines_dna_infectious
3844,6206,23463,1918,http://data.gesis.org/claimskg/creative_work/1de2c5e4-49d0-568e-a934-570fdeaad1e9,The vaccine will change your DNA.,fullfact,English,OTHER,-1,,,0.0,6,en,45,45_vaccine_vaccines_dna_infectious
