Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,claim,text,organization,lang_name,rating_label,rating_value,entity_strings,entities,nr_entities,num_words,probable_lang,Topic,Topic Name
28203,33485,46856,8029,http://data.gesis.org/claimskg/creative_work/e592c016-c153-55c4-b041-5fad20eb782c,The existence of a canine coronavirus vaccine casts doubt on statements that there isn’t one for humans.,politifact,English,False,1,"canine coronavirus, vaccine","['canine coronavirus', ' vaccine']",2.0,17,en,46,46_coronavirus_vaccine_vaccinating_outbreak
45505,51653,62474,445,http://data.gesis.org/claimskg/creative_work/5091e1bf-c3b1-5602-bbe4-4575205e7a2f,A viral photograph showing a canine coronavirus vaccine demonstrates that there should already exist a human vaccine for COVID-19.,snopes,English,False,1,"COVID-19, canine coronavirus, vaccine","['COVID-19', ' canine coronavirus', ' vaccine']",3.0,19,en,46,46_coronavirus_vaccine_vaccinating_outbreak
2218,4300,13905,2557,http://data.gesis.org/claimskg/creative_work/920a030a-48af-5efd-bf08-1f328acb04b6,Coronavirus already existed because vaccine for animal coronavirus exists,factcheck_afp,English,FALSE,1,,,0.0,9,en,46,46_coronavirus_vaccine_vaccinating_outbreak
19618,24508,9834,3596,http://data.gesis.org/claimskg/creative_work/1787a14b-9d47-593b-8735-f0a76c15aef8,"An image shared on Facebook more than 1,600 times claims a vaccine against the novel coronavirus already exists for dogs.",checkyourfact,English,FALSE,1,Facebook,['Facebook'],1.0,20,en,46,46_coronavirus_vaccine_vaccinating_outbreak
62540,69275,29892,745,http://data.gesis.org/claimskg/creative_work/2d7c235f-daad-5055-ad9b-5d5ea37594a6,"An image they keep removing from social media proves a canine coronavirus vaccine existed in 2001, and public health officials are lying about there being no vaccine for COVID-19.",truthorfiction,English,FALSE,1,"COVID-19, canine coronavirus, public health, social media, vaccine","['COVID-19', ' canine coronavirus', ' public health', ' social media', ' vaccine']",5.0,29,en,46,46_coronavirus_vaccine_vaccinating_outbreak
45429,51577,33320,1070,http://data.gesis.org/claimskg/creative_work/e8afb47c-554c-5734-8535-84f873ac9e16,The vaccine for coronavirus existed since 2001 and 19 years later they say there is no vaccine,Vishvanews,English,MIXTURE,2,"2001, coronavirus, vaccine","['2001', ' coronavirus', ' vaccine']",3.0,17,en,46,46_coronavirus_vaccine_vaccinating_outbreak
21296,26285,5470,5470,http://data.gesis.org/claimskg/creative_work/d556e395-defc-54a0-9674-392147784d34,"No, US scientists haven’t created coronavirus vaccine",africacheck,English,FALSE,1,coronavirus vaccine,['coronavirus vaccine'],1.0,7,en,46,46_coronavirus_vaccine_vaccinating_outbreak
20520,25457,7107,869,http://data.gesis.org/claimskg/creative_work/58446e59-35db-56d2-ace6-b960ae83f826,"An image shared on Facebook more than 1,900 times claims a vaccine against the novel coronavirus has been used on American cattle for years.",checkyourfact,English,FALSE,1,Facebook,['Facebook'],1.0,24,en,46,46_coronavirus_vaccine_vaccinating_outbreak
2609,4699,26612,5067,http://data.gesis.org/claimskg/creative_work/d3536dd3-1196-553d-999a-f779a2dc1f87,A coronavirus vaccine for cows shows that the virus behind the current outbreak is not new.,fullfact,English,OTHER,-1,,,0.0,16,en,46,46_coronavirus_vaccine_vaccinating_outbreak
37111,42512,35207,2957,http://data.gesis.org/claimskg/creative_work/8c0328cd-5a67-5286-b363-71ac809a930e,A new vaccine to cure coronavirus has been developed by US Scientists,Vishvanews,English,FALSE,1,"coronavirus, vaccine","['coronavirus', ' vaccine']",2.0,12,en,46,46_coronavirus_vaccine_vaccinating_outbreak
