Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,claim,text,organization,lang_name,rating_label,rating_value,entity_strings,entities,nr_entities,num_words,probable_lang,Topic,Topic Name
30805,36108,514,514,http://data.gesis.org/claimskg/creative_work/e4418431-19d4-597f-beee-acf5a3050d28,"No, heart disease in children has not ‘exploded’ because of the Covid-19 vaccine",africacheck,English,FALSE,1,"Covid-19 vaccine, heart disease","['Covid-19 vaccine', ' heart disease']",2.0,13,en,48,48_myocarditis_vaccinated_pericarditis_vaccines
9770,14111,24963,3418,http://data.gesis.org/claimskg/creative_work/0a79a0f3-d220-5517-940e-eac3fc3b2c4e,"Many people suddenly have previously rare conditions and children are having heart attacks, with the implication being this is as a result of the Covid-19 vaccines.",fullfact,English,FALSE,1,heart attacks,['heart attacks'],1.0,26,en,48,48_myocarditis_vaccinated_pericarditis_vaccines
47863,54048,23277,1732,http://data.gesis.org/claimskg/creative_work/f1e8606d-79f5-591f-ba3b-8624249cb690,There is a distinct likelihood children will develop myocarditis if they receive a Covid-19 vaccination.,fullfact,English,TRUE,3,"Covid-19, myocarditis, vaccination","['Covid-19', ' myocarditis', ' vaccination']",3.0,15,en,48,48_myocarditis_vaccinated_pericarditis_vaccines
38900,44345,22458,913,http://data.gesis.org/claimskg/creative_work/5f2c9d0c-5128-5f6c-82a3-18048169c8f8,Research has found that a massive amount of the population has a deadly heart condition after a year of Covid-19 vaccines.,fullfact,English,FALSE,1,"Covid-19 vaccines, heart condition","['Covid-19 vaccines', ' heart condition']",2.0,21,en,48,48_myocarditis_vaccinated_pericarditis_vaccines
47645,53829,22914,1369,http://data.gesis.org/claimskg/creative_work/679adac8-38e3-5eee-af51-c8f25d1ea1c5,The risks of myocarditis in children after vaccination are more serious and more prominent than post-Covid.,fullfact,English,TRUE,3,"Covid, myocarditis, vaccination","['Covid', ' myocarditis', ' vaccination']",3.0,16,en,48,48_myocarditis_vaccinated_pericarditis_vaccines
38823,44268,22145,600,http://data.gesis.org/claimskg/creative_work/04d4d7af-848e-554b-b1ef-e9f8130e8409,Fifty percent of children who acquire myocarditis caused by Covid-19 vaccines will die within five years of diagnosis.,fullfact,English,FALSE,1,"Covid-19 vaccines, myocarditis","['Covid-19 vaccines', ' myocarditis']",2.0,18,en,48,48_myocarditis_vaccinated_pericarditis_vaccines
44086,50131,17208,5860,http://data.gesis.org/claimskg/creative_work/3ef7ca4a-e367-58fb-b1c7-0602bf547b0d,Study shows 1 in 1000 develop heart inflammation after Covid-19 vaccination,factcheck_afp,English,OTHER,-1,"Covid-19, heart inflammation, vaccination","['Covid-19', ' heart inflammation', ' vaccination']",3.0,11,en,48,48_myocarditis_vaccinated_pericarditis_vaccines
38885,44330,27103,5558,http://data.gesis.org/claimskg/creative_work/65acb294-b976-591c-a0b3-f7b29bb516b4,The FDA said heart attacks following the Covid-19 vaccines are 71 times higher than following other vaccines.,fullfact,English,OTHER,-1,"FDA, heart attacks","['FDA', ' heart attacks']",2.0,17,en,48,48_myocarditis_vaccinated_pericarditis_vaccines
46186,52354,22689,1144,http://data.gesis.org/claimskg/creative_work/fe961ce4-084c-516e-8118-f5da89f56cae,A study found the risk of a group of patients having a heart attack within five years increased from 11% to 25% after they were given their mRNA Covid-19 vaccine.,fullfact,English,OTHER,-1,"Covid-19 vaccine, heart attack, mRNA","['Covid-19 vaccine', ' heart attack', ' mRNA']",3.0,30,en,48,48_myocarditis_vaccinated_pericarditis_vaccines
45713,51867,12715,1367,http://data.gesis.org/claimskg/creative_work/2047abbb-2fcd-5c7c-a183-60d35eddff6e,Sick Kids hospital cardiac unit expanded to treat vaccine side effects,factcheck_afp,English,FALSE,1,"Sick Kids hospital, cardiac unit, vaccine","['Sick Kids hospital', ' cardiac unit', ' vaccine']",3.0,11,en,48,48_myocarditis_vaccinated_pericarditis_vaccines
47689,53873,22928,1383,http://data.gesis.org/claimskg/creative_work/ac1a46d4-d472-5d07-a0b0-ffcd36bbf1d1,Myocarditis acquired after a Covid-19 vaccination is more dangerous than that acquired after a Covid infection.,fullfact,English,TRUE,3,"Covid-19, Myocarditis, vaccination","['Covid-19', ' Myocarditis', ' vaccination']",3.0,16,en,48,48_myocarditis_vaccinated_pericarditis_vaccines
46448,52617,43268,4441,http://data.gesis.org/claimskg/creative_work/b24fcb22-ee71-5eee-aaba-8313c875d08d,Teens are more likely to be hospitalized with myocarditis from the COVID-19 vaccines than to be hospitalized with COVID.,politifact,English,False,1,"COVID, COVID-19 vaccines, myocarditis","['COVID', ' COVID-19 vaccines', ' myocarditis']",3.0,19,en,48,48_myocarditis_vaccinated_pericarditis_vaccines
63357,70204,3580,3580,http://data.gesis.org/claimskg/creative_work/b0b1bff0-4216-5afd-b753-45a4d34d4f68,"Japan has never had a Covid vaccine mandate – but warns of ‘rare’ heart inflammation side effect from Moderna vaccine, among young men",africacheck,English,FALSE,1,"Covid, Japan, Moderna vaccine, heart inflammation, vaccine mandate","['Covid', ' Japan', ' Moderna vaccine', ' heart inflammation', ' vaccine mandate']",5.0,23,en,48,48_myocarditis_vaccinated_pericarditis_vaccines
40994,46873,42256,3429,http://data.gesis.org/claimskg/creative_work/f6dfb3f2-c7a3-5a53-98c3-880cb2e2cdf1,Holiday heart syndrome is a cover for deaths caused by the COVID-19 vaccine.,politifact,English,False,1,"COVID-19 vaccine, Holiday heart syndrome","['COVID-19 vaccine', ' Holiday heart syndrome']",2.0,13,en,48,48_myocarditis_vaccinated_pericarditis_vaccines
