Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,claim,text,organization,lang_name,rating_label,rating_value,entity_strings,entities,nr_entities,num_words,probable_lang,Topic,Topic Name
7559,11843,30144,997,http://data.gesis.org/claimskg/creative_work/abbef6bf-50d5-5523-962a-18974687c535,"When Covid hit New Zealand the government said 'Everybody, no going to work for two weeks, there $7k in your bank account we added.' That’s how they started, day one. Now they don’t have Covid. We can’t imagine doing that, so.... here we are",truthorfiction,English,MIXTURE,2,New Zealand,['New Zealand'],1.0,44,en,49,49_zealands_nz_zealand_zealanders
14678,19062,46973,8146,http://data.gesis.org/claimskg/creative_work/9d2d0636-c723-556a-81af-7609dfe0319d,The coronavirus has seen a big surge in New Zealand. It's terrible. We don't want that.,politifact,English,False,1,New Zealand,['New Zealand'],1.0,16,en,49,49_zealands_nz_zealand_zealanders
40720,46555,30834,1687,http://data.gesis.org/claimskg/creative_work/bbe1f636-f4dd-5439-a2d5-c3bbd3c8a58d,There’s more cases of Covid in the White House than in all of New Zealand.,truthorfiction,English,FALSE,1,"New Zealand, White House","['New Zealand', ' White House']",2.0,15,en,49,49_zealands_nz_zealand_zealanders
21436,26428,17088,5740,http://data.gesis.org/claimskg/creative_work/9c08038c-394b-53f4-afb1-38a781c3717e,Major New Zealand insurer won’t pay out if someone is inoculated against Covid-19,factcheck_afp,English,FALSE,1,Covid-19,['Covid-19'],1.0,13,en,49,49_zealands_nz_zealand_zealanders
47315,53495,173,173,http://data.gesis.org/claimskg/creative_work/1899b6f8-3038-5e4b-b4ba-16ccad3715a4,"No, New Zealand Herald didn’t report Ardern government’s ‘underhanded’ plan to release Covid vaccine into water supply",africacheck,English,FALSE,1,"Covid vaccine, New Zealand Herald, government’s","['Covid vaccine', ' New Zealand Herald', ' government’s']",3.0,17,en,49,49_zealands_nz_zealand_zealanders
47127,53307,12092,744,http://data.gesis.org/claimskg/creative_work/5cc729d9-8b4d-5f7c-bc5b-8164e43dbe23,"As of July 2020, the New Zealand Defence Force are allowed to enter homes and remove people in response to COVID-19",factcheck_afp,English,FALSE,1,"New Zealand Defence Force, allowed to enter, response to COVID-19","['New Zealand Defence Force', ' allowed to enter', ' response to COVID-19']",3.0,21,en,49,49_zealands_nz_zealand_zealanders
37598,43019,14058,2710,http://data.gesis.org/claimskg/creative_work/e74cb998-b9bd-5f8c-ad20-cbee5b3f2652,New Zealanders not using COVID-19 contact tracing app are banned from entering and purchasing from businesses,factcheck_afp,English,FALSE,1,"COVID-19 contact tracing app, New Zealanders","['COVID-19 contact tracing app', ' New Zealanders']",2.0,16,en,49,49_zealands_nz_zealand_zealanders
53649,60039,13334,1986,http://data.gesis.org/claimskg/creative_work/697c056e-1215-5691-9691-716b3af367fa,"Photo shows Chinese tourists exempted from COVID-19 lockdown in Auckland, New Zealand, in August 2020",factcheck_afp,English,FALSE,1,"Auckland, COVID-19 lockdown, New Zealand","['Auckland', ' COVID-19 lockdown', ' New Zealand']",3.0,15,en,49,49_zealands_nz_zealand_zealanders
61114,67806,51466,3596,http://data.gesis.org/claimskg/creative_work/b7a15477-9019-5e0a-a27f-24c97f969cb2,"New Zealand let health experts rather than politicians make decisions about how to deal with COVID-19, and as of today they have zero COVID cases.",politifact,English,MIXTURE,2,"COVID cases, COVID-19, New Zealand, make decisions","['COVID cases', ' COVID-19', ' New Zealand', ' make decisions']",4.0,25,en,49,49_zealands_nz_zealand_zealanders
38167,43596,14676,3328,http://data.gesis.org/claimskg/creative_work/38f2a619-2b2c-5b22-9b4b-086e61ccc3c8,NZ Herald reveals government plans to put Covid-19 vaccine in water supply,factcheck_afp,English,FALSE,1,"Covid-19 vaccine, NZ Herald","['Covid-19 vaccine', ' NZ Herald']",2.0,12,en,49,49_zealands_nz_zealand_zealanders
61599,68314,7155,917,http://data.gesis.org/claimskg/creative_work/a19332e8-4b01-517d-b64f-bea9a3e27479,An image shared on Facebook claims to show a New Zealand Herald article about the New Zealand government’s alleged plan to lace city water supplies with COVID-19 vaccines.,checkyourfact,English,FALSE,1,"COVID-19 vaccines, Facebook, New Zealand Herald, New Zealand government","['COVID-19 vaccines', ' Facebook', ' New Zealand Herald', ' New Zealand government']",4.0,28,en,49,49_zealands_nz_zealand_zealanders
