Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,claim,text,organization,lang_name,rating_label,rating_value,entity_strings,entities,nr_entities,num_words,probable_lang,Topic,Topic Name
32282,37598,1311,1311,http://data.gesis.org/claimskg/creative_work/2e7f3b35-d138-5a3b-86d6-e23d951f8b04,"Covid vaccines caused huge spike in medical conditions? No, bad US military data exploited by ‘little-known’ attorney",africacheck,English,FALSE,1,"Covid vaccines, medical conditions","['Covid vaccines', ' medical conditions']",2.0,17,en,4,4_vaccines_vaccine_covid19_covid
43456,49449,3666,3666,http://data.gesis.org/claimskg/creative_work/0fd95a36-8641-5324-957a-3b9ac5e2718e,"Covid-19 vaccines tested and approved, and haven’t caused 12,000 deaths",africacheck,English,FALSE,1,"12,000, Covid-19 vaccines","['12', '000', ' Covid-19 vaccines']",3.0,10,en,4,4_vaccines_vaccine_covid19_covid
37225,42632,16582,5234,http://data.gesis.org/claimskg/creative_work/9b2a01f8-7d6e-54d9-b2fb-d50ad2c1d6f5,Covid-19 vaccines are to blame for 1.1 million excess deaths in the US,factcheck_afp,English,FALSE,1,"Covid-19 vaccines, excess deaths","['Covid-19 vaccines', ' excess deaths']",2.0,13,en,4,4_vaccines_vaccine_covid19_covid
19922,24848,16134,4786,http://data.gesis.org/claimskg/creative_work/87138102-8775-5aa8-a232-9370a89e8e70,Covid-19 vaccines have killed hundreds in the US,factcheck_afp,English,FALSE,1,Covid-19 vaccines,['Covid-19 vaccines'],1.0,8,en,4,4_vaccines_vaccine_covid19_covid
3570,5928,23014,1469,http://data.gesis.org/claimskg/creative_work/5db93dc7-ba0f-5dc4-bc84-696a7edd9b3a,"In the USA there have been 387,087 reports of adverse events after the Covid-19 vaccination.",fullfact,English,OTHER,-1,,,0.0,15,en,4,4_vaccines_vaccine_covid19_covid
65256,72219,30190,1043,http://data.gesis.org/claimskg/creative_work/056a4dec-151e-55ad-8e48-079435340f5b,"Hot mic video from a White House coronavirus briefing revealed a far lower real case-fatality rate, as well as the existence of a vaccine provided to the government and the press corps (but not you.)",truthorfiction,English,FALSE,1,"Hot mic, White House, case-fatality rate, coronavirus, press corps, vaccine","['Hot mic', ' White House', ' case-fatality rate', ' coronavirus', ' press corps', ' vaccine']",6.0,35,en,4,4_vaccines_vaccine_covid19_covid
7535,11817,65698,3669,http://data.gesis.org/claimskg/creative_work/34469438-c330-557a-8609-5f00edeb537c,There have been more deaths from COVID-19 vaccines than deaths from the actual virus.,snopes,English,False,1,COVID-19 vaccines,['COVID-19 vaccines'],1.0,14,en,4,4_vaccines_vaccine_covid19_covid
58231,64751,28804,846,http://data.gesis.org/claimskg/creative_work/34474078-ec43-5a7b-921d-5472b1630365,Anti-Vaxxers' False Claims About COVID-19 Vaccine Deaths,polygraph,English,FALSE,1,"Anti-Vaxxers, COVID-19 Vaccine, Deaths, False Claims","['Anti-Vaxxers', ' COVID-19 Vaccine', ' Deaths', ' False Claims']",4.0,7,en,4,4_vaccines_vaccine_covid19_covid
39523,45058,22701,1156,http://data.gesis.org/claimskg/creative_work/f4a1198c-3480-50e0-b8a4-2ced32921b0d,Covid vaccines are killing people.,fullfact,English,OTHER,-1,"Covid vaccines, killing people","['Covid vaccines', ' killing people']",2.0,5,en,4,4_vaccines_vaccine_covid19_covid
12049,16405,43931,5104,http://data.gesis.org/claimskg/creative_work/51a9d06d-1d1e-5743-9ea0-1ad18de5080a,The COVID-19 vaccines were linked to the deaths of 80 Canadian doctors.,politifact,English,False,1,COVID-19 vaccines,['COVID-19 vaccines'],1.0,12,en,4,4_vaccines_vaccine_covid19_covid
39355,44889,24467,2922,http://data.gesis.org/claimskg/creative_work/9e32f266-7cee-5f97-a02b-abae498ece51,Approximately tens of thousands of people have suffered severe damage from Covid-19 vaccines.,fullfact,English,FALSE,1,"suffered severe damage, tens of thousands","['suffered severe damage', ' tens of thousands']",2.0,13,en,4,4_vaccines_vaccine_covid19_covid
2758,4851,22517,972,http://data.gesis.org/claimskg/creative_work/4c226298-a8e5-5d7c-86e3-cb435289c33d,"Over 55,000 deaths have been caused by the Covid-19 vaccines.",fullfact,English,FALSE,1,,,0.0,10,en,4,4_vaccines_vaccine_covid19_covid
