Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,claim,text,organization,lang_name,rating_label,rating_value,entity_strings,entities,nr_entities,num_words,probable_lang,Topic,Topic Name
19608,24498,13338,1990,http://data.gesis.org/claimskg/creative_work/0002a479-d521-54c5-a962-098ad13a3782,Virus removal card that can prevent infection from Covid-19.,factcheck_afp,English,FALSE,1,Covid-19,['Covid-19'],1.0,9,en,50,50_covid19_treatments_remedies_treatment
23304,28488,12774,1426,http://data.gesis.org/claimskg/creative_work/d8005c93-6dd4-520b-8ed7-4d2302fd9eb8,Virus-removing card can prevent COVID-19 infection,factcheck_afp,English,FALSE,1,COVID,['COVID'],1.0,6,en,50,50_covid19_treatments_remedies_treatment
19323,24167,13071,1723,http://data.gesis.org/claimskg/creative_work/8c70656c-8308-5f98-aea1-f8a8e5a16ca4,Guidelines to protect from COVID-19 infection,factcheck_afp,English,FALSE,1,COVID,['COVID'],1.0,6,en,50,50_covid19_treatments_remedies_treatment
59843,66461,23586,2041,http://data.gesis.org/claimskg/creative_work/251e2214-68ba-59a0-b747-438f25faf08c,"Covid-19 can be cured by antibiotic tablets, anti-inflammatory and taking anticoagulants such as aspirin.",fullfact,English,OTHER,-1,"anti-inflammatory, antibiotic, anticoagulants, aspirin","['anti-inflammatory', ' antibiotic', ' anticoagulants', ' aspirin']",4.0,14,en,50,50_covid19_treatments_remedies_treatment
29773,35067,70899,8870,http://data.gesis.org/claimskg/creative_work/3090deee-1956-57b5-bae8-52fc4c3b7ecf,Johns Hopkins University published this excellent summary on avoiding COVID-19.,snopes,English,False,1,"COVID-19, Johns Hopkins University","['COVID-19', ' Johns Hopkins University']",2.0,10,en,50,50_covid19_treatments_remedies_treatment
20422,25356,15441,4093,http://data.gesis.org/claimskg/creative_work/692bdfc9-42d4-5044-918c-720f06e98391,Tips can help cure Covid-19 at home,factcheck_afp,English,MIXTURE,2,Covid-19,['Covid-19'],1.0,7,en,50,50_covid19_treatments_remedies_treatment
19656,24551,13292,1944,http://data.gesis.org/claimskg/creative_work/79cba6b9-e8f1-5076-acf1-78da00d8e4a0,A list of Covid-19 remedies from an ‘isolation hospital’,factcheck_afp,English,FALSE,1,Covid-19,['Covid-19'],1.0,9,en,50,50_covid19_treatments_remedies_treatment
20414,25347,15310,3962,http://data.gesis.org/claimskg/creative_work/6bc94fe1-0e0f-5b59-8f51-049d9b905c32,List of COVID-19 treatments,factcheck_afp,English,FALSE,1,COVID-19 treatments,['COVID-19 treatments'],1.0,4,en,50,50_covid19_treatments_remedies_treatment
22342,27471,12117,769,http://data.gesis.org/claimskg/creative_work/325f8584-4621-52d0-acee-1d09d3905e43,Samsung Alternative Medicine Institute shared Covid-19 prevention tips,factcheck_afp,English,FALSE,1,Covid-19,['Covid-19'],1.0,8,en,50,50_covid19_treatments_remedies_treatment
36925,42313,33903,1653,http://data.gesis.org/claimskg/creative_work/d529d286-a22f-54d3-b437-44d892c82db9,COVID-19 is not new and old textbook lists its treatment,Vishvanews,English,MIXTURE,2,"COVID-19, textbook","['COVID-19', ' textbook']",2.0,10,en,50,50_covid19_treatments_remedies_treatment
