Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,claim,text,organization,lang_name,rating_label,rating_value,entity_strings,entities,nr_entities,num_words,probable_lang,Topic,Topic Name
6214,10436,4433,4433,http://data.gesis.org/claimskg/creative_work/67fd236e-3d65-597b-a6e7-d98ff534e0e7,"Yes, Covid vaccine was developed more rapidly than other vaccines, but doesn’t make it unsafe",africacheck,English,FALSE,1,,,0.0,15,en,55,55_vaccines_covid_covid19_virus
43902,49945,17215,5867,http://data.gesis.org/claimskg/creative_work/98842568-b6a2-59c8-a0c4-9750be14d896,Covid vaccines have not been properly tested and pose long-term health risks,factcheck_afp,English,FALSE,1,"Covid vaccines, health risks, long-term","['Covid vaccines', ' health risks', ' long-term']",3.0,12,en,55,55_vaccines_covid_covid19_virus
23487,28725,12703,1355,http://data.gesis.org/claimskg/creative_work/1e02cb7b-dfce-5859-a305-3fb16939f9f8,Covid-19 vaccines are the most rushed vaccines ever developed,factcheck_afp,English,FALSE,1,Covid-19 vaccines,['Covid-19 vaccines'],1.0,9,en,55,55_vaccines_covid_covid19_virus
20201,25133,15558,4210,http://data.gesis.org/claimskg/creative_work/535acdeb-591b-551b-b7e6-8e32d3b53fd7,Covid-19 vaccines are unsafe and ineffective,factcheck_afp,English,FALSE,1,Covid-19 vaccines,['Covid-19 vaccines'],1.0,6,en,55,55_vaccines_covid_covid19_virus
39517,45052,26311,4766,http://data.gesis.org/claimskg/creative_work/bd55795b-c16a-55bd-94bb-c1aab5500dab,We don’t know the Covid-19 vaccines are safe because the trial of them is still underway and won’t finish until 2023 so anyone getting the vaccine is being experimented on.,fullfact,English,OTHER,-1,"2023, vaccine","['2023', ' vaccine']",2.0,30,en,55,55_vaccines_covid_covid19_virus
41033,46912,43593,4766,http://data.gesis.org/claimskg/creative_work/f34fcba0-0ba6-5ee0-acf7-4d998e0eecde,Says the new coronavirus vaccines contain toxic ingredients and are more dangerous than getting COVID-19.,politifact,English,False,1,"COVID-19, coronavirus vaccines","['COVID-19', ' coronavirus vaccines']",2.0,15,en,55,55_vaccines_covid_covid19_virus
9467,13804,26649,5104,http://data.gesis.org/claimskg/creative_work/3b253276-8a7b-5d58-87a8-077ff840a1a4,Covid-19 barely mutated before vaccines were rolled out.,fullfact,English,FALSE,1,Covid-19,['Covid-19'],1.0,8,en,55,55_vaccines_covid_covid19_virus
20488,25425,15137,3789,http://data.gesis.org/claimskg/creative_work/d32cdd4c-713d-5994-9981-d3e3cb674634,Dr Byram Bridle says vaccines against Covid-19 are dangerous,factcheck_afp,English,MIXTURE,2,Covid-19,['Covid-19'],1.0,9,en,55,55_vaccines_covid_covid19_virus
22955,28103,23110,1565,http://data.gesis.org/claimskg/creative_work/a23129ff-50a4-59e6-a066-7299d142d06a,The current Covid vaccines are obsolete as they do not cover the new variants.,fullfact,English,OTHER,-1,Covid vaccines,['Covid vaccines'],1.0,14,en,55,55_vaccines_covid_covid19_virus
28657,33941,11364,16,http://data.gesis.org/claimskg/creative_work/8743fa30-60e9-5e67-9270-56405d48d1eb,Covid-19 vaccines are unsafe like thalidomide,factcheck_afp,English,FALSE,1,"Covid-19 vaccines, thalidomide","['Covid-19 vaccines', ' thalidomide']",2.0,6,en,55,55_vaccines_covid_covid19_virus
51423,57803,15446,4098,http://data.gesis.org/claimskg/creative_work/71d578fe-04d0-57eb-99a9-86f5f91ca766,Covid-19 vaccines in the United States have not undergone clinical trials,factcheck_afp,English,FALSE,1,"Covid-19 vaccines, United States, clinical trials","['Covid-19 vaccines', ' United States', ' clinical trials']",3.0,11,en,55,55_vaccines_covid_covid19_virus
39623,45158,23371,1826,http://data.gesis.org/claimskg/creative_work/732d60f3-83e9-54cd-9322-a96787999ae5,Reports to the Yellow Card scheme suggest that the Covid vaccine from AstraZeneca is not safe.,fullfact,English,FALSE,1,"AstraZeneca, Yellow Card scheme","['AstraZeneca', ' Yellow Card scheme']",2.0,16,en,55,55_vaccines_covid_covid19_virus
39501,45036,22976,1431,http://data.gesis.org/claimskg/creative_work/5e9a64d8-d396-56e9-965a-bad122d69bed,A PHE report shows the Covid-19 vaccines have negative effectiveness in the over-40s.,fullfact,English,FALSE,1,"40s, PHE","['40s', ' PHE']",2.0,13,en,55,55_vaccines_covid_covid19_virus
21543,26536,14637,3289,http://data.gesis.org/claimskg/creative_work/0f55b804-fb14-51e8-a9e1-f677bf78484b,Merck Scraps COVID Vaccines; Says It’s More Effective To Get The Virus And Recover,factcheck_afp,English,FALSE,1,Merck,['Merck'],1.0,14,en,55,55_vaccines_covid_covid19_virus
15691,20122,56313,8443,http://data.gesis.org/claimskg/creative_work/94d84dbf-38d4-50bb-8498-e4499a1e9572,The COVID-19 vaccines were released to the public after only two months of testing in healthy humans.,politifact,English,MIXTURE,2,COVID-19 vaccines,['COVID-19 vaccines'],1.0,17,en,55,55_vaccines_covid_covid19_virus
48899,55195,2954,2954,http://data.gesis.org/claimskg/creative_work/7bdf32f3-3831-500b-ad3c-857d43a62cb5,"Covid-19 not modified malaria, vaccine against coronavirus needed everywhere",africacheck,English,FALSE,1,"Covid-19, malaria, vaccine against coronavirus","['Covid-19', ' malaria', ' vaccine against coronavirus']",3.0,9,en,55,55_vaccines_covid_covid19_virus
