Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,claim,text,organization,lang_name,rating_label,rating_value,entity_strings,entities,nr_entities,num_words,probable_lang,Topic,Topic Name
696,2706,11917,569,http://data.gesis.org/claimskg/creative_work/5cf526f9-9aaf-527d-b87b-9331ceb09889,The novel coronavirus can be spread through fruits and vegetables because it remains viable on them for 12 hours,factcheck_afp,English,FALSE,1,,,0.0,19,en,56,56_coronavirus_pathogens_vitamin_corona
64338,71240,1961,1961,http://data.gesis.org/claimskg/creative_work/1fd71df9-d230-57d1-8229-bc7eece03394,"No, edible plant known as ewedu, bush okra and jute can’t stop coronavirus spreading in the body",africacheck,English,FALSE,1,"bush okra, can’t stop, edible plant, ewedu, jute","['bush okra', ' can’t stop', ' edible plant', ' ewedu', ' jute']",5.0,17,en,56,56_coronavirus_pathogens_vitamin_corona
44786,50838,34247,1997,http://data.gesis.org/claimskg/creative_work/78a6afb2-77cc-5812-a5d4-95de58ab9e21,Consuming large doses of Vitamin C can stop the spread of coronavirus,Vishvanews,English,FALSE,1,"Vitamin, doses, spread of coronavirus","['Vitamin', ' doses', ' spread of coronavirus']",3.0,12,en,56,56_coronavirus_pathogens_vitamin_corona
39526,45061,22710,1165,http://data.gesis.org/claimskg/creative_work/71c81a28-1de7-5077-b7dd-fa41f995a380,"If the new coronavirus is exposed to a temperature of 26-27oC it will be killed, as it does not live in hot regions. Also drinking hot water and sun exposure will do the trick and staying away from ice cream and cold food is advised.",fullfact,English,OTHER,-1,"cold food, ice cream","['cold food', ' ice cream']",2.0,45,en,56,56_coronavirus_pathogens_vitamin_corona
37181,42586,35472,3222,http://data.gesis.org/claimskg/creative_work/a0e120c5-435d-5421-a44c-41f00cd27543,Adding pepper in your food won’t cure or prevent coronavirus,Vishvanews,English,FALSE,1,"Adding, coronavirus","['Adding', ' coronavirus']",2.0,10,en,56,56_coronavirus_pathogens_vitamin_corona
15047,19435,47658,8831,http://data.gesis.org/claimskg/creative_work/a2660197-b7e1-5b06-9d3b-b5bb5623d178,Says the coronavirus can be slowed or stopped with the immediate widespread use of high doses of vitamin C.,politifact,English,False,1,vitamin,['vitamin'],1.0,19,en,56,56_coronavirus_pathogens_vitamin_corona
55924,62362,35210,2960,http://data.gesis.org/claimskg/creative_work/42ed0939-ae3d-5d4a-88e9-1b997529c949,"Bitter guard juice can cure novel coronavirus, as per Bihar Health Department",Vishvanews,English,FALSE,1,"Bihar, Bitter, Health Department, coronavirus","['Bihar', ' Bitter', ' Health Department', ' coronavirus']",4.0,12,en,56,56_coronavirus_pathogens_vitamin_corona
15867,20301,36209,3959,http://data.gesis.org/claimskg/creative_work/ef37f4bd-a7c0-5bb3-bb99-aeacaf6da3c4,Eat chiken beat coronavirus,Vishvanews,English,FALSE,1,coronavirus,['coronavirus'],1.0,4,en,56,56_coronavirus_pathogens_vitamin_corona
55376,61797,43218,4391,http://data.gesis.org/claimskg/creative_work/8f19d6d2-a89c-5d07-b1c0-dd1d50e5488f,"Vitamin D, vitamin C, colloidal silver and black seed oil can kill the coronavirus.",politifact,English,False,1,"black seed, colloidal silver, coronavirus, vitamin","['black seed', ' colloidal silver', ' coronavirus', ' vitamin']",4.0,14,en,56,56_coronavirus_pathogens_vitamin_corona
2273,4356,14054,2706,http://data.gesis.org/claimskg/creative_work/749975c6-bbd7-5639-b4d9-78a16a6845cd,herb cure coronavirus,factcheck_afp,English,OTHER,-1,,,0.0,3,en,56,56_coronavirus_pathogens_vitamin_corona
