Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,claim,text,organization,lang_name,rating_label,rating_value,entity_strings,entities,nr_entities,num_words,probable_lang,Topic,Topic Name
13012,17382,41897,3070,http://data.gesis.org/claimskg/creative_work/c18494d1-a035-5b28-807e-909a029b0a5c,Blood starts to clot in a minute or two after a Pfizer COVID-19 vaccine injection.,politifact,English,False,1,Pfizer COVID-19 vaccine,['Pfizer COVID-19 vaccine'],1.0,15,en,66,66_clotting_clots_clot_bloodclotting
56941,63441,16850,5502,http://data.gesis.org/claimskg/creative_work/38ecf096-2f1e-5928-bc09-a1d01f34b2f1,The FDA said Pfizer's Covid-19 vaccine causes blood clots,factcheck_afp,English,FALSE,1,"Covid-19 vaccine, FDA, Pfizer, blood clots","['Covid-19 vaccine', ' FDA', ' Pfizer', ' blood clots']",4.0,9,en,66,66_clotting_clots_clot_bloodclotting
44704,50756,17012,5664,http://data.gesis.org/claimskg/creative_work/a160d565-8042-56c5-bf8d-38c225522a87,Most people vaccinated against Covid-19 with mRNA shots will experience blood clots,factcheck_afp,English,FALSE,1,"Covid-19, blood clots, mRNA","['Covid-19', ' blood clots', ' mRNA']",3.0,12,en,66,66_clotting_clots_clot_bloodclotting
48961,55262,45721,6894,http://data.gesis.org/claimskg/creative_work/2819b620-0fb4-5e3f-879c-7e895c2bf227,The FDA finally came out and said that Pfizer’s COVID shot causes blood clots.,politifact,English,False,1,"FDA, Pfizer, blood clots","['FDA', ' Pfizer', ' blood clots']",3.0,14,en,66,66_clotting_clots_clot_bloodclotting
39353,44887,24625,3080,http://data.gesis.org/claimskg/creative_work/ce961318-6bb3-595b-b6e0-5cbb9b5c911e,Covid-19 has been found to cause blood clotting.,fullfact,English,MIXTURE,2,"Covid-19, blood clotting","['Covid-19', ' blood clotting']",2.0,8,en,66,66_clotting_clots_clot_bloodclotting
48603,54865,12493,1145,http://data.gesis.org/claimskg/creative_work/b56dacdd-f86d-52e3-bc1d-7e6411325612,Embalmer warns of strange blood clots linked to Covid-19 vaccine,factcheck_afp,English,OTHER,-1,"Covid-19 vaccine, Embalmer, strange blood","['Covid-19 vaccine', ' Embalmer', ' strange blood']",3.0,10,en,66,66_clotting_clots_clot_bloodclotting
46515,52685,27384,5839,http://data.gesis.org/claimskg/creative_work/2819396b-4c16-59aa-a81c-d70d7c513479,The risk of a blood clot following a Covid-19 vaccine is worse than the cold or flu symptoms you may experience if infected.,fullfact,English,OTHER,-1,"Covid-19 vaccine, blood clot, flu symptoms","['Covid-19 vaccine', ' blood clot', ' flu symptoms']",3.0,23,en,66,66_clotting_clots_clot_bloodclotting
21775,26774,22745,1200,http://data.gesis.org/claimskg/creative_work/bc4e90b0-87fd-5c53-8bf4-88223aeaaa05,"Covid-19 clots the blood causing thrombosis, stopping blood flow and oxygenating the heart and lungs.",fullfact,English,OTHER,-1,Covid-19,['Covid-19'],1.0,15,en,66,66_clotting_clots_clot_bloodclotting
23690,28944,47233,8406,http://data.gesis.org/claimskg/creative_work/d0957c8f-2b7e-52bf-b5fb-9f9a09a5db10,Recent blood clots or strokes in four major athletes are an unwanted effect of COVID-19 vaccines.,politifact,English,False,1,"COVID-19 vaccines, blood clots","['COVID-19 vaccines', ' blood clots']",2.0,16,en,66,66_clotting_clots_clot_bloodclotting
23205,28359,23484,1939,http://data.gesis.org/claimskg/creative_work/4796d6a8-ec66-54ff-91c5-4623d1f22948,The Astrazeneca vaccine in the UK causes blood clots.,fullfact,English,OTHER,-1,blood clots,['blood clots'],1.0,9,en,66,66_clotting_clots_clot_bloodclotting
