Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,claim,text,organization,lang_name,rating_label,rating_value,entity_strings,entities,nr_entities,num_words,probable_lang,Topic,Topic Name
47191,53371,53,53,http://data.gesis.org/claimskg/creative_work/254d7ab0-6268-5263-bf4e-6347e9559178,"Yes, Nigeria records Omicron variant of Covid-19 virus, but no evidence yet of elevated heart risk for the vaccinated or overweight",africacheck,English,OTHER,-1,"Covid-19 virus, Nigeria, Omicron","['Covid-19 virus', ' Nigeria', ' Omicron']",3.0,21,en,69,69_covid19_nigerian_nigeria_nigerians
29971,35268,3019,3019,http://data.gesis.org/claimskg/creative_work/71e81fa1-d4dc-538f-bd19-660e2a18ed7e,Nigeria has discovered a Covid-19 vaccine,africacheck,English,FALSE,1,"Covid-19 vaccine, Nigeria","['Covid-19 vaccine', ' Nigeria']",2.0,6,en,69,69_covid19_nigerian_nigeria_nigerians
63015,69801,4159,4159,http://data.gesis.org/claimskg/creative_work/77244092-ebd7-5bde-82dc-6ffb7e0b4ef6,"A Nigeria Centre for Disease Control study shows that over 50% of Nigerians have been exposed to the virus, and have antibodies for Covid-19.",africacheck,English,TRUE,3,"50%, Covid-19, Nigeria Centre for Disease Control, Nigerians, antibodies","['50%', ' Covid-19', ' Nigeria Centre for Disease Control', ' Nigerians', ' antibodies']",5.0,24,en,69,69_covid19_nigerian_nigeria_nigerians
48413,54654,2574,2574,http://data.gesis.org/claimskg/creative_work/b5912f12-0497-5cfb-8b27-7cfa7b28975c,"No, China has not sent Covid-19 vaccines to Nigeria",africacheck,English,FALSE,1,"China, Covid-19 vaccines, Nigeria","['China', ' Covid-19 vaccines', ' Nigeria']",3.0,9,en,69,69_covid19_nigerian_nigeria_nigerians
44288,50335,5043,5043,http://data.gesis.org/claimskg/creative_work/7fc1d299-3974-5dd9-a961-2351b72c6dd2,"No, UN not ‘unsure of any Covid-19 in Nigeria’ – country has more than 870 cases",africacheck,English,FALSE,1,"Covid-19, Nigeria, UN","['Covid-19', ' Nigeria', ' UN']",3.0,16,en,69,69_covid19_nigerian_nigeria_nigerians
48772,55051,2827,2827,http://data.gesis.org/claimskg/creative_work/a3b014a0-4b55-5a90-bff4-2243117f3558,"Nigeria has more than 8,000 confirmed cases of Covid-19",africacheck,English,FALSE,1,"Covid, Nigeria, confirmed cases","['Covid', ' Nigeria', ' confirmed cases']",3.0,9,en,69,69_covid19_nigerian_nigeria_nigerians
46656,52833,11504,156,http://data.gesis.org/claimskg/creative_work/f444fc90-b7a9-59fd-af7d-d1e42a81f24b,WHO excludes Nigeria from Covid-19 vaccine scheme,factcheck_afp,English,FALSE,1,"Covid-19 vaccine, Nigeria, WHO","['Covid-19 vaccine', ' Nigeria', ' WHO']",3.0,7,en,69,69_covid19_nigerian_nigeria_nigerians
60591,67251,3167,3167,http://data.gesis.org/claimskg/creative_work/415b1e47-1749-567e-a79e-ebc298eb7f09,"No, screenshot of Lassa fever cases, not Covid-19 numbers in Nigeria",africacheck,English,FALSE,1,"Covid-19, Lassa fever, Nigeria, screenshot","['Covid-19', ' Lassa fever', ' Nigeria', ' screenshot']",4.0,11,en,69,69_covid19_nigerian_nigeria_nigerians
32255,37571,1334,1334,http://data.gesis.org/claimskg/creative_work/90d0ae47-d834-5505-a32a-b821826d25be,No evidence ram tested positive for Covid-19 in northern Nigeria,africacheck,English,FALSE,1,"northern Nigeria, tested positive for Covid","['northern Nigeria', ' tested positive for Covid']",2.0,10,en,69,69_covid19_nigerian_nigeria_nigerians
49984,56354,2142,2142,http://data.gesis.org/claimskg/creative_work/515a968c-c99c-5464-8ee4-bf354287549f,"Yes, US mission to Nigeria congratulated Ogbuagu for contribution to Pfizer Covid-19 vaccine",africacheck,English,TRUE,3,"Covid-19 vaccine, Nigeria, Pfizer","['Covid-19 vaccine', ' Nigeria', ' Pfizer']",3.0,13,en,69,69_covid19_nigerian_nigeria_nigerians
