Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,claim,text,organization,lang_name,rating_label,rating_value,entity_strings,entities,nr_entities,num_words,probable_lang,Topic,Topic Name
19820,24743,7311,1073,http://data.gesis.org/claimskg/creative_work/ae315f3a-5152-5d4c-883c-f75af3b03204,An image shared on Facebook allegedly shows the White House website saying President Joe Biden’s winter plan to fight COVID-19 includes putting Americans into quarantine centers.,checkyourfact,English,FALSE,1,Facebook,['Facebook'],1.0,26,en,6,6_vaccine_vaccinated_unvaccinated_biden
50473,56848,9132,2894,http://data.gesis.org/claimskg/creative_work/97c60b13-ff8a-5fc0-9f14-24fd68f5a796,An image shared on Facebook claims President Joe Biden announced that Americans not vaccinated against COVID-19 before 2022 will be put in quarantine camps.,checkyourfact,English,FALSE,1,"COVID-19, Facebook, President Joe Biden","['COVID-19', ' Facebook', ' President Joe Biden']",3.0,24,en,6,6_vaccine_vaccinated_unvaccinated_biden
41359,47239,41564,2737,http://data.gesis.org/claimskg/creative_work/988c1f6a-7e0f-58a1-acd3-3023f5261c82,Says President Joe Biden told people to get vaccinated against COVID-19 to protect themselves from hurricanes.,politifact,English,False,1,"COVID-19, President Joe Biden","['COVID-19', ' President Joe Biden']",2.0,16,en,6,6_vaccine_vaccinated_unvaccinated_biden
56184,62642,76823,2476,http://data.gesis.org/claimskg/creative_work/7616973e-c817-5a13-ae72-d764c4f9619d,"In 2021, U.S. President Joe Biden announced his intention to place in camps anyone not vaccinated against COVID-19 by 2022.",snopes,English,OTHER,-1,"2021, U.S. President Joe Biden, announced his intention, vaccinated against COVID-19","['2021', ' U.S. President Joe Biden', ' announced his intention', ' vaccinated against COVID-19']",4.0,20,en,6,6_vaccine_vaccinated_unvaccinated_biden
58127,64646,8604,2366,http://data.gesis.org/claimskg/creative_work/654d8f90-8503-5d26-a851-1e127eb1b985,A tweet from the verified White House Twitter account claims there were no COVID-19 vaccines available before President Joe Biden took office in January 2021.,checkyourfact,English,FALSE,1,"January 2021, President Joe Biden, Twitter, White House","['January 2021', ' President Joe Biden', ' Twitter', ' White House']",4.0,25,en,6,6_vaccine_vaccinated_unvaccinated_biden
63845,70721,72593,1307,http://data.gesis.org/claimskg/creative_work/bda1f794-698b-5be4-9242-3d3199211cd4,U.S. President Joe Biden rolled out a plan to administer COVID-19 immunizations to detainees held at the Guantanamo Bay prison camp in Cuba before many Americans had received their first dose.,snopes,English,MIXTURE,2,"COVID, Cuba, Guantanamo Bay prison camp, U.S. President Joe Biden, immunizations","['COVID', ' Cuba', ' Guantanamo Bay prison camp', ' U.S. President Joe Biden', ' immunizations']",5.0,31,en,6,6_vaccine_vaccinated_unvaccinated_biden
48180,54392,68801,6772,http://data.gesis.org/claimskg/creative_work/0934a9c3-fb3a-5998-9597-7a2b1671be1c,U.S. President Joe Biden said that the COVID-19 vaccine would protect people against hurricanes.,snopes,English,False,1,"COVID-19 vaccine, U.S. President Joe Biden, hurricanes","['COVID-19 vaccine', ' U.S. President Joe Biden', ' hurricanes']",3.0,14,en,6,6_vaccine_vaccinated_unvaccinated_biden
63724,70597,60923,2763,http://data.gesis.org/claimskg/creative_work/f1f558d9-2dff-5e8e-8883-705e84406d12,"During a July 2021 CNN town hall, U.S. President Joe Biden falsely stated that You’re not going to get COVID if you have these vaccinations, and If you’re vaccinated, you’re not going to be hospitalized, you’re not going to be in the ICU unit, and you’re not going to die.",snopes,English,True,3,"CNN, COVID, ICU unit, July 2021, U.S. President Joe Biden","['CNN', ' COVID', ' ICU unit', ' July 2021', ' U.S. President Joe Biden']",5.0,50,en,6,6_vaccine_vaccinated_unvaccinated_biden
44518,50568,60286,2126,http://data.gesis.org/claimskg/creative_work/058eed56-eaba-5c78-90f6-7901dd2f55aa,U.S. President-elect Joe Biden said he will get the COVID-19 vaccination in public on television.,snopes,English,True,3,"COVID-19 vaccination, Joe Biden, U.S. President-elect","['COVID-19 vaccination', ' Joe Biden', ' U.S. President-elect']",3.0,15,en,6,6_vaccine_vaccinated_unvaccinated_biden
64711,71639,9602,3364,http://data.gesis.org/claimskg/creative_work/560d22d3-f357-5e0d-8240-e4c141ecc647,"A viral Instagram post claims White House staff, Centers for Disease Control and Prevention (CDC) and Food and Drug Administration (FDA) employees, Moderna and Pfizer employees, congressional staff and illegal immigrants are exempt from President Joe Biden’s COVID-19 vaccine mandate.",checkyourfact,English,FALSE,1,"FDA, Instagram, Moderna, Pfizer, White House staff, illegal immigrants","['FDA', ' Instagram', ' Moderna', ' Pfizer', ' White House staff', ' illegal immigrants']",6.0,40,en,6,6_vaccine_vaccinated_unvaccinated_biden
58091,64610,9634,3396,http://data.gesis.org/claimskg/creative_work/6c907896-2eb9-5b36-acd5-9622001aee51,Images shared on Facebook purportedly show former Vice President Joe Biden and other Democrats disregarding coronavirus precautions at the event to announce his 2020 running mate.,checkyourfact,English,FALSE,1,"2020 running, Facebook, Vice President Joe Biden, coronavirus precautions","['2020 running', ' Facebook', ' Vice President Joe Biden', ' coronavirus precautions']",4.0,26,en,6,6_vaccine_vaccinated_unvaccinated_biden
33094,38416,61286,3126,http://data.gesis.org/claimskg/creative_work/92000829-4f8c-5a37-9191-50e38da72e57,Joe Biden tweeted several weeks before the COVID-19 outbreak began that We are not prepared for a pandemic.,snopes,English,True,3,"COVID-19 outbreak, Joe Biden","['COVID-19 outbreak', ' Joe Biden']",2.0,18,en,6,6_vaccine_vaccinated_unvaccinated_biden
28038,33318,45212,6385,http://data.gesis.org/claimskg/creative_work/cad78e23-8540-5368-b0b2-b1feddb9b8b9,Jill Biden implied the COVID-19 pandemic was planned.,politifact,English,False,1,"COVID, Jill Biden","['COVID', ' Jill Biden']",2.0,8,en,6,6_vaccine_vaccinated_unvaccinated_biden
62206,68928,9255,3017,http://data.gesis.org/claimskg/creative_work/1e24fab9-c9db-58b9-b4d7-77e6ce456178,An image shared on Instagram claims President Joe Biden faked his COVID-19 vaccine booster shot in a fake White House.,checkyourfact,English,FALSE,1,"COVID-19 vaccine, Instagram, President Joe Biden, White House, booster shot","['COVID-19 vaccine', ' Instagram', ' President Joe Biden', ' White House', ' booster shot']",5.0,20,en,6,6_vaccine_vaccinated_unvaccinated_biden
49441,55796,72265,979,http://data.gesis.org/claimskg/creative_work/d0e3ddb0-68af-5527-a8ae-2c4c7e111695,"On Feb. 16, 2021, U.S. President Joe Biden falsely claimed a COVID-19 vaccine did not exist when he began his term.",snopes,English,MIXTURE,2,"COVID-19 vaccine, U.S. President Joe Biden, falsely claimed","['COVID-19 vaccine', ' U.S. President Joe Biden', ' falsely claimed']",3.0,21,en,6,6_vaccine_vaccinated_unvaccinated_biden
