Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,claim,text,organization,lang_name,rating_label,rating_value,entity_strings,entities,nr_entities,num_words,probable_lang,Topic,Topic Name
1647,3670,14417,3069,http://data.gesis.org/claimskg/creative_work/4bf4a70b-a0d4-5cd7-93c8-80784f782d71,There is a US patent for the novel coronavirus and a European one for a vaccine to prevent it,factcheck_afp,English,FALSE,1,,,0.0,19,en,78,78_patent_coronavirus_patented_covid19
3269,5625,24603,3058,http://data.gesis.org/claimskg/creative_work/e63846a4-ef99-5548-87c5-c4d781047921,European patent 3172319B1 is a vaccine for the new coronavirus.,fullfact,English,FALSE,1,,,0.0,10,en,78,78_patent_coronavirus_patented_covid19
18948,23719,14013,2665,http://data.gesis.org/claimskg/creative_work/804a09b9-7930-561e-b225-4632de1c0777,"Patent filed for coronavirus, covid-19, in 2015",factcheck_afp,English,FALSE,1,covid-19,['covid-19'],1.0,7,en,78,78_patent_coronavirus_patented_covid19
2638,4729,26378,4833,http://data.gesis.org/claimskg/creative_work/dab33b90-afdf-5013-9d69-5c2d8d617de7,US patent 2006257852 is for the new coronavirus.,fullfact,English,FALSE,1,,,0.0,8,en,78,78_patent_coronavirus_patented_covid19
2882,5228,27349,5804,http://data.gesis.org/claimskg/creative_work/fde3daee-f0c6-5d55-a7d0-61e3dac3de5f,US patent 10130701 is for coronavirus.,fullfact,English,OTHER,-1,,,0.0,6,en,78,78_patent_coronavirus_patented_covid19
3871,6235,25604,4059,http://data.gesis.org/claimskg/creative_work/ac551b74-7b22-5137-bb3f-1f14443e5219,The coronavirus patent was applied for in 2015.,fullfact,English,OTHER,-1,,,0.0,8,en,78,78_patent_coronavirus_patented_covid19
24526,29782,44904,6077,http://data.gesis.org/claimskg/creative_work/ff41c42a-1fcc-58db-b917-1d8fc1e4cf14,The Gates Foundation has the patent for this coronavirus.,politifact,English,False,1,"The Gates Foundation, coronavirus","['The Gates Foundation', ' coronavirus']",2.0,9,en,78,78_patent_coronavirus_patented_covid19
38982,44431,27928,6383,http://data.gesis.org/claimskg/creative_work/999d8002-a643-54e4-9fa8-174610841827,"The Pirbright Institute has the main patent for coronavirus, which was granted by Serco.",fullfact,English,OTHER,-1,"Serco, coronavirus","['Serco', ' coronavirus']",2.0,14,en,78,78_patent_coronavirus_patented_covid19
62664,69419,32510,260,http://data.gesis.org/claimskg/creative_work/da0c283f-9880-5433-a5ad-f1c01e0c033f,COVID-19 Testing Patent Was Submitted In 2015,Vishvanews,English,FALSE,1,"2015, COVID-19, Patent, Submitted, Testing","['2015', ' COVID-19', ' Patent', ' Submitted', ' Testing']",5.0,7,en,78,78_patent_coronavirus_patented_covid19
45625,51775,46807,7980,http://data.gesis.org/claimskg/creative_work/70597331-9f64-5af8-9e50-7acb9c14ba0f,"The Spanish High Court has announced (COVID-19) is a bio weapon with a patent, not a virus.",politifact,English,False,1,"COVID-19, Spanish High Court, bio weapon","['COVID-19', ' Spanish High Court', ' bio weapon']",3.0,17,en,78,78_patent_coronavirus_patented_covid19
9296,13633,25821,4276,http://data.gesis.org/claimskg/creative_work/e3b97457-cdbb-5905-9096-f7d9c91e8d87,Jacob Rothschild owns a patent to coronavirus.,fullfact,English,FALSE,1,Jacob Rothschild,['Jacob Rothschild'],1.0,7,en,78,78_patent_coronavirus_patented_covid19
58601,65127,25965,4420,http://data.gesis.org/claimskg/creative_work/f7cfc39b-1667-52fa-85d2-107a95201122,"A patent for coronavirus was granted in 2018 to the Pirbright Institute UK, founded by Bill and Melinda Gates.",fullfact,English,OTHER,-1,"2018, Melinda Gates, Pirbright Institute, coronavirus","['2018', ' Melinda Gates', ' Pirbright Institute', ' coronavirus']",4.0,19,en,78,78_patent_coronavirus_patented_covid19
60868,67542,33779,1529,http://data.gesis.org/claimskg/creative_work/4141ef2e-ce2e-52ed-b1bf-3ffa0e94c1ec,COVID-19 testing patent was submitted in 2015 and COVID19 is a scam,Vishvanews,English,FALSE,1,"2015, COVID-19 testing, COVID19, scam","['2015', ' COVID-19 testing', ' COVID19', ' scam']",4.0,12,en,78,78_patent_coronavirus_patented_covid19
