Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,claim,text,organization,lang_name,rating_label,rating_value,entity_strings,entities,nr_entities,num_words,probable_lang,Topic,Topic Name
26331,31597,8838,2600,http://data.gesis.org/claimskg/creative_work/76f3e3f4-0a13-5bdb-93fd-95206b9a4d94,A post shared on Facebook more than 700 times claims Microsoft co-founder Bill Gates wrote a long statement about the spiritual purpose of the new coronavirus.,checkyourfact,English,FALSE,1,"Facebook, Microsoft","['Facebook', ' Microsoft']",2.0,26,en,7,7_vaccine_vaccines_vaccinated_vaccinations
26618,31884,8606,2368,http://data.gesis.org/claimskg/creative_work/9cbfc4ae-3aed-5596-8e8d-5c69e576266a,A video shared on Facebook purportedly shows Microsoft co-founder Bill Gates presenting a proposal to vaccinate religious fanatics at the Pentagon in 2005.,checkyourfact,English,FALSE,1,"Facebook, Microsoft","['Facebook', ' Microsoft']",2.0,23,en,7,7_vaccine_vaccines_vaccinated_vaccinations
59822,66436,6797,559,http://data.gesis.org/claimskg/creative_work/1aa9d4ef-7862-5f80-9d58-a01e516c3a2d,An image shared on Facebook claims Microsoft co-founder Bill Gates and World Economic Forum executive chairman Klaus Schwab made similar remarks about how the COVID-19 pandemic will lead to greater control over mankind.,checkyourfact,English,FALSE,1,"Facebook, Microsoft, World Economic Forum, co-founder","['Facebook', ' Microsoft', ' World Economic Forum', ' co-founder']",4.0,33,en,7,7_vaccine_vaccines_vaccinated_vaccinations
64708,71636,10757,4519,http://data.gesis.org/claimskg/creative_work/0973b960-31c4-57dc-8cd9-626c9afeeef7,"An article shared on Facebook claims Microsoft co-founder Bill Gates admitted during an interview that a COVID-19 vaccine might kill nearly 1,000,000 people.",checkyourfact,English,FALSE,1,"1,000,000, Bill Gates, Facebook, Microsoft","['1', '000', '000', ' Bill Gates', ' Facebook', ' Microsoft']",6.0,23,en,7,7_vaccine_vaccines_vaccinated_vaccinations
25795,31056,7329,1091,http://data.gesis.org/claimskg/creative_work/40a1356c-5327-5ee9-ad3d-ee8aee371e0d,A video shared on Facebook purportedly shows Microsoft co-founder Bill Gates confessing to making $200 billion from vaccinations during an appearance on CNBC TV.,checkyourfact,English,FALSE,1,"Facebook, Microsoft","['Facebook', ' Microsoft']",2.0,24,en,7,7_vaccine_vaccines_vaccinated_vaccinations
47454,53635,23058,1513,http://data.gesis.org/claimskg/creative_work/dd95a5a4-9b5b-5028-b6d4-52bd4b782f74,Bill Gates created the new coronavirus and a vaccine for it.,fullfact,English,FALSE,1,"Bill Gates, coronavirus, vaccine","['Bill Gates', ' coronavirus', ' vaccine']",3.0,11,en,7,7_vaccine_vaccines_vaccinated_vaccinations
50885,57262,51332,3462,http://data.gesis.org/claimskg/creative_work/7bf43864-3ca7-5333-885a-844d98580112,Bill Gates told us about the coronavirus in 2015.,politifact,English,MIXTURE,2,"2015, Bill Gates, coronavirus","['2015', ' Bill Gates', ' coronavirus']",3.0,9,en,7,7_vaccine_vaccines_vaccinated_vaccinations
39405,44940,24317,2772,http://data.gesis.org/claimskg/creative_work/5a82e55f-55c2-57b6-9dc5-ccc62de1ad0d,Bill Gates owns the patent and vaccine for coronavirus.,fullfact,English,FALSE,1,"coronavirus, vaccine","['coronavirus', ' vaccine']",2.0,9,en,7,7_vaccine_vaccines_vaccinated_vaccinations
34455,39790,64798,2769,http://data.gesis.org/claimskg/creative_work/5c7c6f97-6674-5aca-95bb-2a51117d7884,A video shows Microsoft Co-Founder Bill Gates briefing the CIA in 2005 about a mind-altering vaccine.,snopes,English,False,1,"CIA, Microsoft","['CIA', ' Microsoft']",2.0,16,en,7,7_vaccine_vaccines_vaccinated_vaccinations
53543,59933,14428,3080,http://data.gesis.org/claimskg/creative_work/f8444ae4-591e-5a2e-b23e-9c2fcebd8db6,Bill Gates lists lessons from the fight against the novel coronavirus in an open letter,factcheck_afp,English,FALSE,1,"Bill Gates, coronavirus, open letter","['Bill Gates', ' coronavirus', ' open letter']",3.0,15,en,7,7_vaccine_vaccines_vaccinated_vaccinations
45037,51118,4386,4386,http://data.gesis.org/claimskg/creative_work/5563229f-90e7-51dd-b571-ae713e682842,Bill Gates did warn in 2015 of possible global virus outbreak – but not coronavirus specifically,africacheck,English,TRUE,3,"2015, Bill Gates, coronavirus","['2015', ' Bill Gates', ' coronavirus']",3.0,16,en,7,7_vaccine_vaccines_vaccinated_vaccinations
52381,58767,8165,1927,http://data.gesis.org/claimskg/creative_work/182d7266-9787-50bb-8eb4-0cbab0d35242,"A post shared on Facebook claims Microsoft co-founder Bill Gates said, Only those with all the required vaccinations may travel, visit churches, participate in sports, and music events, get a job, etc.",checkyourfact,English,FALSE,1,"Facebook, Microsoft, participate in sports","['Facebook', ' Microsoft', ' participate in sports']",3.0,32,en,7,7_vaccine_vaccines_vaccinated_vaccinations
53140,59529,7622,1384,http://data.gesis.org/claimskg/creative_work/d1fdce64-bd01-5394-8dcc-d30507fd519b,A post shared on Facebook claims Microsoft co-founder Bill Gates said that the public must be silenced so that they will buy his vaccine.,checkyourfact,English,FALSE,1,"Bill Gates, Facebook, Microsoft","['Bill Gates', ' Facebook', ' Microsoft']",3.0,24,en,7,7_vaccine_vaccines_vaccinated_vaccinations
