Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,claim,text,organization,lang_name,rating_label,rating_value,entity_strings,entities,nr_entities,num_words,probable_lang,Topic,Topic Name
21585,26579,22395,850,http://data.gesis.org/claimskg/creative_work/125aa28f-1f4c-53d5-b98c-07c209fce096,The influenza vaccine contains mRNA like some Covid-19 vaccines.,fullfact,English,OTHER,-1,influenza vaccine,['influenza vaccine'],1.0,9,en,97,97_vaccines_vaccine_covid19_immune
4356,8433,27707,6162,http://data.gesis.org/claimskg/creative_work/80ce1313-720e-57cc-99a3-420174f4c5d9,The mRNA Covid-19 vaccines are experimental.,fullfact,English,FALSE,1,,,0.0,6,en,97,97_vaccines_vaccine_covid19_immune
3248,5603,24493,2948,http://data.gesis.org/claimskg/creative_work/9fae9b35-5753-57b5-8b0c-30cd7c7c54f1,The mRNA Covid-19 vaccines are gene therapy.,fullfact,English,OTHER,-1,,,0.0,7,en,97,97_vaccines_vaccine_covid19_immune
55012,61428,40583,1756,http://data.gesis.org/claimskg/creative_work/8823819b-130f-51ba-be46-549fcb999dd0,The mRNA COVID-19 vaccines are really gene therapy.,politifact,English,False,1,"COVID-19 vaccines, gene therapy, mRNA","['COVID-19 vaccines', ' gene therapy', ' mRNA']",3.0,8,en,97,97_vaccines_vaccine_covid19_immune
45534,51682,17665,6317,http://data.gesis.org/claimskg/creative_work/e8203f36-e4dc-5f20-a360-2687661d253c,Covid-19 mRNA vaccines damage the human body's immune system,factcheck_afp,English,FALSE,1,"Covid-19, human body, mRNA vaccines","['Covid-19', ' human body', ' mRNA vaccines']",3.0,9,en,97,97_vaccines_vaccine_covid19_immune
54325,60725,15792,4444,http://data.gesis.org/claimskg/creative_work/946a7ad3-e75f-59c9-8d4d-779e2dfa1c7d,mRNA Covid-19 vaccines are unsafe gene therapy,factcheck_afp,English,MIXTURE,2,"Covid-19 vaccines, gene therapy, mRNA","['Covid-19 vaccines', ' gene therapy', ' mRNA']",3.0,7,en,97,97_vaccines_vaccine_covid19_immune
60179,66822,12657,1309,http://data.gesis.org/claimskg/creative_work/4a3d12b7-811a-56a6-9d8a-ee11bebc87da,mRNA COVID-19 vaccines will alter your genome and prevent treatment for Covid-19 if you develop symptoms,factcheck_afp,English,FALSE,1,"COVID-19 vaccines, Covid-19, genome, mRNA","['COVID-19 vaccines', ' Covid-19', ' genome', ' mRNA']",4.0,16,en,97,97_vaccines_vaccine_covid19_immune
54452,60856,16083,4735,http://data.gesis.org/claimskg/creative_work/8d43328d-9908-5687-8eb8-aa579d3dc77e,Sloan Kettering study says mRNA Covid-19 vaccines promote cancer,factcheck_afp,English,FALSE,1,"Covid-19 vaccines, Sloan Kettering, mRNA","['Covid-19 vaccines', ' Sloan Kettering', ' mRNA']",3.0,9,en,97,97_vaccines_vaccine_covid19_immune
55003,61419,41730,2903,http://data.gesis.org/claimskg/creative_work/52348b54-d80f-55b4-ad80-01f3a1136b01,"The Unvaccinated Beware, COVID-19 mRNA Shots Cause Death and Disease Through GMO Shedding",politifact,English,False,1,"COVID-19, GMO, mRNA","['COVID-19', ' GMO', ' mRNA']",3.0,13,en,97,97_vaccines_vaccine_covid19_immune
53884,60277,40478,1651,http://data.gesis.org/claimskg/creative_work/4a3a92de-6449-51cb-adbc-bf2dd3dc10d5,COVID-19 vaccines are gene therapy and a recent Forbes article proves that.,politifact,English,False,1,"COVID-19 vaccines, Forbes, gene therapy","['COVID-19 vaccines', ' Forbes', ' gene therapy']",3.0,12,en,97,97_vaccines_vaccine_covid19_immune
